idx_a,idx_b,cos_sim,label_a,label_b,label_a_name,label_b_name,text_a,text_b,votes_a,votes_b,flagged_cleanlab_a,flagged_datamaps_a,flagged_ds2_a,flagged_cleanlab_b,flagged_datamaps_b,flagged_ds2_b,action,levenshtein,error_type_a,error_type_b
5059,6413,0.9964,1,0,acceptable,unacceptable,Поздравляю с днём рождения и желаю долгих лет жизни!,Поздравляю с днём рождением и желаю долгих лет жизни!,1,3,False,False,True,True,True,True,removed_b,2,0,Morphology
1198,4453,0.9963,0,1,unacceptable,acceptable,Страны НАТО хотят взять с Ирана обязательство не применять ядерное оружие первый.,Страны НАТО хотят взять с Ирана обязательство не применять ядерное оружие первым.,2,0,True,True,False,False,False,False,removed_a,1,Syntax,0
1264,7418,0.9963,1,0,acceptable,unacceptable,Перемены в технической политике фирмы еще не начались.,Перемен в технической политике фирмы еще не началось.,1,2,False,False,True,False,True,True,removed_b,2,0,Semantics
788,6745,0.9963,1,0,acceptable,unacceptable,"Директриса сидела с той же вежливой улыбочкой, не проронив ни слова.","Директриса сидела с той же вежливой улыбочкой, не пророняя ни слова.",0,2,False,False,False,True,True,False,removed_b,2,0,Morphology
4578,8036,0.9963,0,1,unacceptable,acceptable,"Люди, и без того жившие на грани нищеты, оказались лишены всяких средств к существованию.","Люди, и без того жившие на грани нищеты, оказались лишены каких бы то ни было средств к существованию.",2,0,True,True,False,False,False,False,removed_a,17,Semantics,0
6536,6853,0.9963,1,0,acceptable,unacceptable,Весь он как будто воздушный и стоит более шестисот лет.,Весь он как будто воздушный и стоит более шестиста лет.,1,0,True,False,False,False,False,False,kept,2,0,Morphology
136,6812,0.9962,1,0,acceptable,unacceptable,"Мало того, что заставили человека 4 часа торчать под проливным дождем, так еще и разрешили работать больному!","Мало того, что заставили человека 4 часа торчать под проливным дождем, так еще и разрешили работать больной!",1,0,False,True,False,False,False,False,kept,2,0,Syntax
5748,6505,0.9962,1,0,acceptable,unacceptable,"Я в поте лица зарабатываю скромное жалование и скапливаю по крохам, чтобы купить себе в конце недели килограмм сосисок.","Я в поте лица зарабатываю скромное жалование и скапливаю по крохам, чтобы купить себе в конце недели килограмм сосисек.",1,2,True,False,False,True,True,False,removed_b,1,0,Morphology
921,8199,0.9962,1,0,acceptable,unacceptable,Никакие российские самолеты воздушного пространства Грузии не нарушали.,Никаких российских самолетов воздушное пространство Грузии не нарушало.,0,2,False,False,False,True,True,False,removed_b,8,0,Semantics
4027,4364,0.9962,1,0,acceptable,unacceptable,Один случай внезапно подтвердил мои догадки.,Один случай внезапно подтверждает мои догадки.,1,3,False,False,True,True,True,True,removed_b,4,0,Semantics
1641,3902,0.9962,0,1,unacceptable,acceptable,Близ кресла на небольшом коврике лежала кошка.,Около кресла на небольшом коврике лежала кошка.,2,0,True,True,False,False,False,False,removed_a,5,Semantics,0
2248,6803,0.9961,1,0,acceptable,unacceptable,Его убили недалеко от «Трех утопленников».,Его убили вблизи «Трех утопленников».,0,2,False,False,False,True,True,False,removed_b,10,0,Semantics
87,4972,0.9961,0,1,unacceptable,acceptable,"Если ты будешь решать любую из этих задач, то пользуйся аналитическими уравнениями.","Если ты будешь решать какую-нибудь из этих задач, то пользуйся аналитическими уравнениями.",2,0,True,True,False,False,False,False,removed_a,9,Semantics,0
1516,4544,0.996,1,0,acceptable,unacceptable,"Я имел возможность все видеть, сам оставаясь незамеченным.","У меня была возможность все видеть, сам оставаясь незамеченным.",0,2,False,False,False,True,True,False,removed_b,8,0,Syntax
1937,3846,0.9958,0,1,unacceptable,acceptable,"Мне давали квартиру поблизости от химического завода, но я отказался.","Мне давали квартиру совсем близко от химического завода, и я отказался.",2,1,True,True,False,False,True,False,removed_a,12,Semantics,0
2549,5516,0.9958,1,0,acceptable,unacceptable,Калязинской ПМК-500 требуются шоферы для работы на автомашинах ГАЗ-52 и ЗИЛ-585 со сдельной оплатой.,Калязинской ПМК-500 требуются шофера для работы на автомашинах ГАЗ-52 и ЗИЛ-585 со сдельной оплатой.,0,2,False,False,False,True,True,False,removed_b,1,0,Morphology
3576,3741,0.9957,0,1,unacceptable,acceptable,"Ты, наконец, передавал ему мою книгу?","Ты, наконец, передал ему мою книгу?",2,0,True,True,False,False,False,False,removed_a,2,Semantics,0
2758,5146,0.9956,0,1,unacceptable,acceptable,"Маша книгу, и Саша читает книгу.","Маша читает книгу, и Саша читает книгу.",0,1,False,False,False,False,False,True,kept,7,Syntax,0
204,1769,0.9956,0,1,unacceptable,acceptable,Выстраивать на столь дрянном фундаменте всякие имперские конструкции крайне опрометчиво.,Выстраивать на столь дрянном фундаменте какие бы то ни было имперские конструкции крайне опрометчиво.,2,0,True,True,False,False,False,False,removed_a,17,Semantics,0
2511,8135,0.9955,0,1,unacceptable,acceptable,"Иван играл на пианино, а когда Максим — на саксофоне.","Иван играл на пианино, а Максим — на саксофоне.",1,0,True,False,False,False,False,False,kept,6,Syntax,0
8,6664,0.9954,1,0,acceptable,unacceptable,"Брат сидел рядом со мной, а муж — сзади.","Брат сидел около меня, а муж — сзади.",0,2,False,False,False,True,True,False,removed_b,9,0,Semantics
6493,7935,0.9953,1,0,acceptable,unacceptable,Он нашел хотя бы двух желающих?,Он нашел по крайней мере двух желающих?,1,3,False,False,True,True,True,True,removed_b,13,0,Semantics
874,7720,0.9953,0,1,unacceptable,acceptable,Но Александр Борисович отрицает всякие мстительные мотивы в своем выборе.,Но Александр Борисович отрицает какие бы то ни было мстительные мотивы в своем выборе.,1,0,False,True,False,False,False,False,kept,17,Semantics,0
1455,5510,0.9953,0,1,unacceptable,acceptable,"Хорош, если ты станешь кандидатом наук.","Хорошо, если ты станешь кандидатом наук.",2,0,True,True,False,False,False,False,removed_a,1,Syntax,0
1147,4461,0.9952,1,0,acceptable,unacceptable,В этой реке множество рыбы.,В этой реке есть много рыбы.,1,3,False,False,True,True,True,True,removed_b,9,0,Semantics
7242,8492,0.9951,1,0,acceptable,unacceptable,Некоторые стояли в коридоре.,В коридоре стояли некоторые.,0,2,False,False,False,True,True,False,removed_b,12,0,Semantics
1958,7164,0.9951,1,0,acceptable,unacceptable,"Маша читает книгу, и Саша читает.","Маша книгу, и Саша читает.",1,1,False,False,True,False,True,False,kept,7,0,Syntax
1412,7131,0.9951,0,1,unacceptable,acceptable,Он живет в небольшом городке у Волги.,Он живет в небольшом городке на Волге.,3,1,True,True,True,False,False,True,removed_a,3,Semantics,0
1252,2818,0.9951,0,1,unacceptable,acceptable,Его принцип отвергает какое-либо облучение мозга.,Его принцип отвергает какое бы то ни было облучение мозга.,2,0,True,True,False,False,False,False,removed_a,11,Semantics,0
3990,7826,0.995,0,1,unacceptable,acceptable,Он отрицает существование всяких планов на этот счет.,Он отрицает существование каких бы то ни было планов на этот счет.,2,0,True,True,False,False,False,False,removed_a,17,Semantics,0
2864,6236,0.995,0,1,unacceptable,acceptable,После этого он утратил какой-либо интерес к происходящему.,После этого он утратил всякий интерес к происходящему.,2,0,True,True,False,False,False,False,removed_a,9,Semantics,0
1484,7218,0.995,1,0,acceptable,unacceptable,"Чего только не было: копченые окорока, настоящее салями, мясо, яблоки, пироги!","Чего только не было: копчёные окороки, настоящее салями, мясо, яблоки, пироги!",1,2,True,False,False,True,True,False,removed_b,2,0,Morphology
3208,3899,0.995,1,0,acceptable,unacceptable,Она живет в маленьком городе поблизости от Курска.,Она живет в маленьком городе близ Курска.,1,2,False,False,True,True,False,True,removed_b,9,0,Semantics
30,4644,0.995,0,1,unacceptable,acceptable,Он отличался большими способностями из своих сверстников.,Он отличался большими способностями среди своих сверстников.,2,1,True,False,True,False,False,True,removed_a,5,Syntax,0
5082,6366,0.9949,0,1,unacceptable,acceptable,Ты не должен ей помочь.,Ты не должен ей помогать.,3,1,True,True,True,False,False,True,removed_a,3,Semantics,0
1092,8164,0.9948,0,1,unacceptable,acceptable,Постарайся заметить вон ту звездочку над самой горой.,Постарайся увидеть вон ту звездочку над самой горой.,3,2,True,True,True,True,False,True,removed_both,6,Semantics,0
641,1061,0.9948,1,0,acceptable,unacceptable,Я рискую опоздать на семинар.,Я рискую опозданием на семинар.,1,3,False,False,True,True,True,True,removed_b,4,0,Semantics
5491,7164,0.9948,1,0,acceptable,unacceptable,"Маша читает, и Саша читает книгу.","Маша книгу, и Саша читает.",2,1,True,False,True,False,True,False,removed_a,12,0,Syntax
6877,7987,0.9947,0,1,unacceptable,acceptable,"У нее болит голова, она остается дома.","У нее болит голова, она осталась дома.",3,1,True,True,True,False,False,True,removed_a,3,Semantics,0
2864,4780,0.9947,0,1,unacceptable,acceptable,После этого он утратил какой-либо интерес к происходящему.,После этого он утратил какой бы то ни было интерес к происходящему.,2,0,True,True,False,False,False,False,removed_a,11,Semantics,0
1238,5651,0.9946,1,0,acceptable,unacceptable,"Он пробежал эту дистанцию за десять секунд и, таким образом, получил преимущество перед своими соперниками.","Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0,2,False,False,False,True,True,False,removed_b,16,0,Semantics
6803,8291,0.9946,0,1,unacceptable,acceptable,Его убили вблизи «Трех утопленников».,Его убили около «Трех утопленников».,2,0,True,True,False,False,False,False,removed_a,6,Semantics,0
2009,4151,0.9945,0,1,unacceptable,acceptable,На мгновение у нее острое желание бросить их ему в лицо.,На мгновение у нее появилось острое желание бросить их ему в лицо.,2,0,True,True,False,False,False,False,removed_a,10,Semantics,0
1934,4765,0.9944,0,1,unacceptable,acceptable,Возьми из моего кармана пакет и выброси в окно.,Вынь из моего кармана пакет и выброси в окно.,2,0,True,True,False,False,False,False,removed_a,4,Semantics,0
3117,3486,0.9943,1,0,acceptable,unacceptable,У него не было никаких причин что-либо менять.,У него не было причин ничего менять.,1,3,False,False,True,True,True,True,removed_b,15,0,Semantics
448,2972,0.9943,1,0,acceptable,unacceptable,Такая мысль не возникает неожиданно.,Такой мысли не возникает неожиданно.,0,2,False,False,False,True,True,False,removed_b,3,0,Semantics
3828,8333,0.9942,0,1,unacceptable,acceptable,"Решая всякую частную задачу, надо думать о языке в целом.","Решая какую-нибудь частную задачу, надо думать о языке в целом.",2,0,True,True,False,False,False,False,removed_a,10,Semantics,0
2505,4266,0.9942,0,1,unacceptable,acceptable,Мы обращаем внимание на некоторые ихние письма.,Мы обращаем внимание на некоторые их письма.,0,0,False,False,False,False,False,False,kept,3,Morphology,0
3344,6760,0.9942,0,1,unacceptable,acceptable,Сейчас как раз есть одно из занятий по английскому языку.,Сейчас как раз идет одно из занятий по английскому языку.,2,1,True,True,False,True,False,False,removed_a,4,Semantics,0
145,5644,0.9941,1,0,acceptable,unacceptable,Достань мне из ее чемодана полотенце.,Возьми мне из ее чемодана полотенце.,1,3,False,False,True,True,True,True,removed_b,6,0,Semantics
6980,7857,0.9941,0,1,unacceptable,acceptable,Он дал ему все свое состояние.,Он отдал ему все свое состояние.,3,1,True,True,True,False,False,True,removed_a,2,Semantics,0
2861,6006,0.994,1,0,acceptable,unacceptable,Я этого не знаю.,Я это не знаю.,1,3,False,False,True,True,True,True,removed_b,2,0,Semantics
3701,6553,0.994,0,1,unacceptable,acceptable,Попробуй заметить вон ту звездочку над самой горой.,Попробуй увидеть вон ту звездочку над самой горой.,2,0,True,True,False,False,False,False,removed_a,6,Semantics,0
163,4507,0.994,1,0,acceptable,unacceptable,"Эта гипотеза, которая, как Бор рассказывал, была предложена Дираком в 1930 г.","Эта гипотеза, которая Бор рассказывал, что была предложена Дираком в 1930 г.",0,1,False,False,False,False,True,False,kept,9,0,Syntax
1851,7804,0.9939,1,0,acceptable,unacceptable,"Вчера обнаружилось, что преступник на свободе.","Вчера обнаруживается, что преступник на свободе.",1,3,False,False,True,True,True,True,removed_b,5,0,Semantics
3517,6939,0.9939,0,1,unacceptable,acceptable,Это влияет на любые инициативы сдвига во всякую сторону.,Это влияет на любые инициативы сдвига в какую-либо сторону.,2,1,False,True,True,False,False,True,removed_a,9,Semantics,0
4090,7867,0.9939,0,1,unacceptable,acceptable,"Съедена последняя пачка макаронов, а ты провалил вступительные экзамены в вуз и надежды на стипендию разбились.","Съедена последняя пачка макарон, а ты провалил вступительные экзамены в вуз и надежды на стипендию разбились.",2,1,True,True,False,False,True,False,removed_a,2,Morphology,0
2113,7312,0.9937,1,0,acceptable,unacceptable,Над столом висели фотографии.,У стола висели фотографии.,1,3,False,False,True,True,True,True,removed_b,5,0,Semantics
451,4112,0.9937,0,1,unacceptable,acceptable,Вы одни показались мне веселым.,Вы один показались мне веселым.,2,2,True,False,True,True,True,False,removed_both,2,Syntax,0
7046,7099,0.9936,1,0,acceptable,unacceptable,Она вынула из сундука маленький коврик и постелила его перед диваном.,Она взяла из сундука небольшой коврик и постелила его перед диваном.,1,3,False,False,True,True,True,True,removed_b,10,0,Semantics
2366,5892,0.9936,1,0,acceptable,unacceptable,Около стола стояло большое кресло.,Близ стола стояло большое кресло.,1,3,False,False,True,True,True,True,removed_b,5,0,Semantics
1542,6917,0.9936,1,0,acceptable,unacceptable,Не переходи улицу в этом месте.,Не переходи улицы в этом месте.,1,3,False,False,True,True,True,True,removed_b,1,0,Semantics
2510,6591,0.9935,1,0,acceptable,unacceptable,"Я вижу, там кто-то есть.","Там, я вижу, кто-то есть.",1,3,False,False,True,True,True,True,removed_b,10,0,Semantics
422,3421,0.9934,1,0,acceptable,unacceptable,Павел Алексеевич уже перестал ждать какого-либо ответа.,Павел Алексеевич уже перестал ждать всякого ответа.,0,2,False,False,False,True,True,False,removed_b,8,0,Semantics
3508,6244,0.9933,0,1,unacceptable,acceptable,Под впечатлением от симфонии я захотел больше узнать о создателе.,Под впечатлением от симфонии я захотел больше узнать о ее создателе.,2,0,True,True,False,False,False,False,removed_a,3,Syntax,0
5421,6677,0.9933,0,1,unacceptable,acceptable,"Возьми из сада мою кофту, я оставила ее в беседке.","Принеси из сада мою кофту, я оставила ее в беседке.",2,0,True,True,False,False,False,False,removed_a,6,Semantics,0
2864,4612,0.9932,0,1,unacceptable,acceptable,После этого он утратил какой-либо интерес к происходящему.,После этого он утратил весь интерес к происходящему.,2,0,True,True,False,False,False,False,removed_a,10,Semantics,0
5077,6358,0.9932,1,0,acceptable,unacceptable,Он пересмотрел все фильмы.,Он пересмотрел все фильм.,0,0,False,False,False,False,False,False,kept,1,0,Syntax
2758,5491,0.993,0,1,unacceptable,acceptable,"Маша книгу, и Саша читает книгу.","Маша читает, и Саша читает книгу.",0,2,False,False,False,True,False,True,removed_b,6,Syntax,0
365,3751,0.993,1,0,acceptable,unacceptable,Задавал ли он тебе какие-либо каверзные вопросы?,Задавал ли он тебе всякие каверзные вопросы?,1,3,True,False,False,True,True,True,removed_b,8,0,Semantics
69,5499,0.993,1,0,acceptable,unacceptable,Пожарная команда не появилась.,Пожарной команды не появилось.,1,3,False,False,True,True,True,True,removed_b,4,0,Semantics
2200,8314,0.9929,1,0,acceptable,unacceptable,"Если в тело человека проник какой бы то ни было микроб, организм выставляет на защиту всю свою систему иммунитета.","Если в тело человека проник всякий микроб, организм выставляет на защиту всю свою систему иммунитета.",0,2,False,False,False,True,True,False,removed_b,18,0,Semantics
1647,6221,0.9928,1,0,acceptable,unacceptable,"Я хочу, чтобы они зашли, а ты спрятался.","Я хочу, чтобы они зашли, а ты спрячешься.",1,2,True,False,False,True,True,False,removed_b,4,0,Syntax
1958,2758,0.9927,1,0,acceptable,unacceptable,"Маша читает книгу, и Саша читает.","Маша книгу, и Саша читает книгу.",1,0,False,False,True,False,False,False,kept,13,0,Syntax
2691,6659,0.9927,0,1,unacceptable,acceptable,У нас сейчас есть урок.,У нас сейчас урок.,3,1,True,True,True,False,False,True,removed_a,5,Semantics,0
388,5835,0.9927,0,1,unacceptable,acceptable,"Он рассказал мне замысел поэмы, которую хотел того, чтобы я прямо по замыслу, без текста перевел.","Он рассказал мне замысел поэмы, которую, вероятно, хотел, чтобы я прямо по замыслу, без текста перевел.",0,1,False,False,False,False,True,False,kept,12,Syntax,0
5833,7630,0.9927,1,0,acceptable,unacceptable,Тираны всюду и везде уподобились пастухам старых басен.,Тираны всюду и везде уподобились пастухам старых басней.,0,0,False,False,False,False,False,False,kept,2,0,Morphology
1504,2932,0.9927,0,1,unacceptable,acceptable,"Помилуй, мне и от роду нет ни году.","Помилуй, мне и от роду нет году.",1,1,False,True,False,True,False,False,kept,3,Semantics,0
814,8271,0.9926,0,1,unacceptable,acceptable,"Возьми из моего кармана ключ, он мне мешает.","Вынь у меня из кармана ключ, он мне мешает.",2,0,True,True,False,False,False,False,removed_a,12,Semantics,0
3319,3828,0.9924,1,0,acceptable,unacceptable,"Решая какую бы то ни было частную задачу, надо думать о языке в целом.","Решая всякую частную задачу, надо думать о языке в целом.",0,2,False,False,False,True,True,False,removed_b,17,0,Semantics
799,4979,0.9924,0,1,unacceptable,acceptable,Я не считаю уместным давать никакие указания.,Я не считаю уместным давать какие-либо указания.,2,0,True,True,False,False,False,False,removed_a,7,Semantics,0
976,5181,0.9924,1,0,acceptable,unacceptable,Я всю косметику с каким-либо ароматом убрала.,Я всю косметику со всяким ароматом убрала.,0,2,False,False,False,True,True,False,removed_b,9,0,Semantics
1025,5141,0.9923,1,0,acceptable,unacceptable,Он раздражается по любому поводу.,Он раздражен по любому поводу.,1,3,False,False,True,True,True,True,removed_b,4,0,Semantics
4662,8260,0.9923,0,1,unacceptable,acceptable,"Только в 1000 метрах от порта, в 2 км от центра города и в 20 минутах от аэропорта Манисеса и Конвенционного центра.","Всего в 1000 метрах от порта, в 2 км от центра города и в 20 минутах езды от аэропорта Манисеса и Конвенционного центра.",1,2,False,True,False,True,True,False,removed_b,10,Hallucination,0
2013,6749,0.9921,0,1,unacceptable,acceptable,Когда же выпадал этот снег?,Когда же выпал этот снег?,3,1,True,True,True,False,False,True,removed_a,2,Semantics,0
1003,2382,0.992,1,0,acceptable,unacceptable,Он был в страшном отчаянии.,Он страшно был в отчаянии.,1,3,False,False,True,True,True,True,removed_b,12,0,Semantics
1935,7267,0.992,0,1,unacceptable,acceptable,"Одним словом, мне невыразимо тяжело было иметь с ним всякие отношения.","Одним словом, мне невыразимо тяжело было иметь с ним какие бы то ни было отношения.",2,0,True,True,False,False,False,False,removed_a,17,Semantics,0
4507,8242,0.992,0,1,unacceptable,acceptable,"Эта гипотеза, которая Бор рассказывал, что была предложена Дираком в 1930 г.","Эта гипотеза, как Бор рассказывал, была предложена Дираком в 1930 г.",1,0,False,True,False,False,False,False,kept,9,Syntax,0
5793,6333,0.9919,1,0,acceptable,unacceptable,Она сидела рядом со мной и плакала.,Она сидела близко от меня и плакала.,1,3,False,False,True,True,True,True,removed_b,11,0,Semantics
2935,7685,0.9918,0,1,unacceptable,acceptable,Он говорил об упразднении каких-либо званий.,Он говорил об упразднении каких бы то ни было званий.,3,0,True,True,True,False,False,False,removed_a,11,Semantics,0
660,4519,0.9918,1,0,acceptable,unacceptable,Солдаты грелись возле костров.,Солдаты грелись вблизи костров.,3,3,True,True,True,True,True,True,removed_both,5,0,Semantics
5146,7164,0.9918,1,0,acceptable,unacceptable,"Маша читает книгу, и Саша читает книгу.","Маша книгу, и Саша читает.",1,1,False,False,True,False,True,False,kept,13,0,Syntax
1390,4998,0.9917,0,1,unacceptable,acceptable,У тебя в голове есть каша.,У тебя в голове каша.,2,0,True,True,False,False,False,False,removed_a,5,Syntax,0
1647,2129,0.9915,1,0,acceptable,unacceptable,"Я хочу, чтобы они зашли, а ты спрятался.","Я хочу, чтобы они зайдут, а ты спрятался .",1,2,True,False,False,True,True,False,removed_b,5,0,Syntax
5432,6552,0.9915,0,1,unacceptable,acceptable,Не держал ли он в руках газеты?,Не держал ли он в руках газету?,2,0,True,True,False,False,False,False,removed_a,1,Semantics,0
4423,4530,0.9913,1,0,acceptable,unacceptable,"Страшно умирать, уходить из жизни очень молодыми.","Страшно умирать, уходить из жизни очень молодые.",0,1,False,False,False,True,False,False,kept,2,0,Syntax
2502,5315,0.9912,1,0,acceptable,unacceptable,"Писатель пригласил журналистку, чтобы дать ей интервью.","Писатель пригласил журналистку, чтобы взять у него интервью.",1,3,False,False,True,True,True,True,removed_b,8,0,Syntax
6153,7720,0.9912,0,1,unacceptable,acceptable,Но Александр Борисович отрицает все мстительные мотивы в своем выборе.,Но Александр Борисович отрицает какие бы то ни было мстительные мотивы в своем выборе.,1,0,True,False,False,False,False,False,kept,18,Semantics,0
899,4507,0.9912,1,0,acceptable,unacceptable,"Бор рассказывал, что эта гипотеза была предложена Дираком в 1930 г.","Эта гипотеза, которая Бор рассказывал, что была предложена Дираком в 1930 г.",0,1,False,False,False,False,True,False,kept,34,0,Syntax
1336,2762,0.9911,1,0,acceptable,unacceptable,А Матвей ещё остался ― посуду мыл.,А Матвей уже остался ― посуду мыл.,0,2,False,False,False,True,True,False,removed_b,3,0,Semantics
7375,8241,0.9911,1,0,acceptable,unacceptable,Он ищет новую секретаршу.,Он ищет какую-нибудь новую секретаршу.,1,3,False,False,True,True,True,True,removed_b,13,0,Semantics
157,5684,0.9909,0,1,unacceptable,acceptable,"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.","Первый огонек блеснул вдали на противоположной горе, в отдаленном домике близ шлагбаума.",2,0,True,True,False,False,False,False,removed_a,16,Semantics,0
2288,2561,0.9909,0,1,unacceptable,acceptable,Категорически запрещалось вступать с ними во все разговоры.,Категорически запрещалось вступать с ними в какие-либо разговоры.,2,0,True,True,False,False,False,False,removed_a,10,Semantics,0
4687,4762,0.9909,1,0,acceptable,unacceptable,"Министр пригласил журналистку, взять у него интервью.","Министр пригласил журналистку, дать ей интервью.",3,2,True,True,True,False,True,True,removed_both,8,0,Syntax
4379,5147,0.9908,1,0,acceptable,unacceptable,Афанасьевна и Софья стояли поодаль и слушали.,Афанасьевна и Софья стояли невдалеке и слушали.,1,2,False,True,False,True,False,True,removed_b,6,0,Semantics
4519,5135,0.9908,0,1,unacceptable,acceptable,Солдаты грелись вблизи костров.,Солдаты грелись у костров.,3,1,True,True,True,False,False,True,removed_a,6,Semantics,0
4558,6405,0.9908,0,1,unacceptable,acceptable,Я изловчился схватить пса за ошейник.,Я изловчился и схватил пса за ошейник.,2,0,True,True,False,False,False,False,removed_a,4,Syntax,0
269,7418,0.9908,1,0,acceptable,unacceptable,Перемен в технической политике фирмы еще не наступило.,Перемен в технической политике фирмы еще не началось.,1,2,False,False,True,False,True,True,removed_b,7,0,Semantics
2132,8415,0.9907,1,0,acceptable,unacceptable,Отменены какие бы то ни было телесные наказания.,Отменены какие-либо телесные наказания.,0,2,False,False,False,True,True,False,removed_b,11,0,Semantics
5342,7690,0.9907,0,1,unacceptable,acceptable,Они грелись вблизи костров.,Они грелись у костров.,3,1,True,True,True,False,False,True,removed_a,6,Semantics,0
5766,7682,0.9904,1,0,acceptable,unacceptable,"Лишь только мы принесли пиво, как вы — рыбу.","Лишь только мы принесли пиво, вы — рыбу.",2,2,True,True,False,True,True,False,removed_both,4,0,Syntax
5291,8139,0.9904,1,0,acceptable,unacceptable,Он отрицает существование каких-либо планов на этот счет.,Он отрицает существование всех планов на этот счет.,0,2,False,False,False,True,True,False,removed_b,9,0,Semantics
3162,4559,0.9904,1,0,acceptable,unacceptable,"Слишком поздно выяснилось, что он здесь.","Слишком поздно выясняется, что он здесь.",0,2,False,False,False,True,True,False,removed_b,4,0,Semantics
660,5481,0.9903,1,0,acceptable,unacceptable,Солдаты грелись возле костров.,Солдаты грелись поблизости от костров.,3,3,True,True,True,True,True,True,removed_both,11,0,Semantics
1211,4135,0.9903,0,1,unacceptable,acceptable,Это известие надолго лишает меня сна.,Это известие надолго лишило меня сна.,2,0,True,True,False,False,False,False,removed_a,3,Semantics,0
4763,5301,0.9902,0,1,unacceptable,acceptable,"Я хочу, чтобы в комнате был виден беспорядок, все стоит вверх дном.","Я хочу, чтобы в комнате был виден беспорядок, чтобы все стояло вверх дном.",2,0,True,True,False,False,False,False,removed_a,9,Syntax,0
799,3585,0.9902,0,1,unacceptable,acceptable,Я не считаю уместным давать никакие указания.,Я не считаю уместным давать какие бы то ни было указания.,2,0,True,True,False,False,False,False,removed_a,16,Semantics,0
3517,4282,0.9901,0,1,unacceptable,acceptable,Это влияет на любые инициативы сдвига во всякую сторону.,Это влияет на любые инициативы сдвига в какую бы то ни было сторону.,2,0,False,True,True,False,False,False,removed_a,18,Semantics,0
3186,4379,0.9901,0,1,unacceptable,acceptable,Афанасьевна и Софья стояли вблизи и слушали.,Афанасьевна и Софья стояли поодаль и слушали.,1,1,False,False,True,False,True,False,kept,7,Semantics,0
5321,7116,0.9901,0,1,unacceptable,acceptable,"Министр пригласил журналистку, чтобы взять у него интервью.","Министр пригласил журналистку, чтобы дать ей интервью.",3,1,True,True,True,False,False,True,removed_a,8,Syntax,0
1177,6588,0.9899,0,1,unacceptable,acceptable,Пришел мужик в лес и рубил дрова.,Пришел мужик в лес и стал рубить дрова.,3,1,True,True,True,False,False,True,removed_a,7,Semantics,0
1144,7233,0.9898,0,1,unacceptable,acceptable,"Он обещает прийти, но не пришел.","Он пообещал прийти, но не пришел.",3,1,True,True,True,False,False,True,removed_a,4,Semantics,0
5414,7962,0.9898,0,1,unacceptable,acceptable,"Уверен, что завтра что-нибудь не случится.","Уверен, что завтра ничего не случится.",3,0,True,True,True,False,False,False,removed_a,8,Semantics,0
4544,5867,0.9897,0,1,unacceptable,acceptable,"У меня была возможность все видеть, сам оставаясь незамеченным.","Я получил возможность все видеть, сам оставаясь незамеченным.",2,0,True,True,False,False,False,False,removed_a,9,Syntax,0
4544,5441,0.9895,0,1,unacceptable,acceptable,"У меня была возможность все видеть, сам оставаясь незамеченным.","Мне предоставилась возможность все видеть, самому оставаясь незамеченным.",2,0,True,True,False,False,False,False,removed_a,17,Syntax,0
3437,5498,0.9895,0,1,unacceptable,acceptable,"Никогда не знавшая семейного уюта Алена пригрелась рядом с Ниной Карповной, как бездомный котенок.","Никогда не знавшая семейного уюта Алена пригрелась возле Нины Карповны, как бездомный котенок.",2,0,True,True,False,False,False,False,removed_a,10,Semantics,0
904,7327,0.9895,0,1,unacceptable,acceptable,Начавшийся процесс его обращения надломился и прекратился трагически.,Начавшийся процесс его обращения надломился и кончился трагически.,3,1,True,True,True,False,True,False,removed_a,6,Semantics,0
1089,5464,0.9894,1,0,acceptable,unacceptable,Он отказывался от каких бы то ни было предложений.,Он отказывался от каких-либо предложений.,0,2,False,False,False,True,True,False,removed_b,11,0,Semantics
7251,8390,0.9893,1,0,acceptable,unacceptable,"Помогай, кому угодно, какое мне дело.","Помогай любому, какое мне дело.",0,2,False,False,False,True,True,False,removed_b,11,0,Semantics
6114,6175,0.9893,1,0,acceptable,unacceptable,"Журналистка была приглашена министром, чтобы взять у него интервью.","Журналистка была приглашена министром, чтобы дать ей интервью.",1,2,False,False,True,True,True,False,removed_b,8,0,Syntax
7456,7943,0.9893,1,0,acceptable,unacceptable,Я с трудом провел целый день дома.,Я с трудом был целый день дома.,1,3,False,False,True,True,True,True,removed_b,5,0,Semantics
2184,4811,0.9892,1,0,acceptable,unacceptable,Поселок расположен далеко от реки.,Поселок расположен вдалеке от реки.,1,3,False,False,True,True,True,True,removed_b,2,0,Semantics
4922,8317,0.9892,0,1,unacceptable,acceptable,"Два свитера и пара джинс, севших после стирки: пока живот не подберешь, не влезешь.","Два свитера и пара джинсов, севших после стирки: пока живот не подберешь, не влезешь.",2,1,True,True,False,True,False,False,removed_a,2,Morphology,0
2538,6255,0.9891,0,1,unacceptable,acceptable,Начальник заставлял его работать больному.,Начальник заставлял его работать больным.,2,0,True,True,False,False,False,False,removed_a,2,Syntax,0
