text,label,error_type,reason,votes
Она была в стороне от всяких интриг.,1,0,same_target_duplicate,1
"Иван очень обрадовался, когда я поступил в институт.",1,0,same_target_duplicate,1
"Было в ней и изящество, и скромность, и достоинство.",1,0,same_target_duplicate,1
При нагревании вода дает пар.,0,Semantics,diff_target_confirmed,2
Сообщение не обидело Марию.,1,0,same_target_duplicate,1
Последние пять человек пришло.,0,Syntax,same_target_duplicate,0
Он вернулся с работы совсем больным.,1,0,same_target_duplicate,0
"Я все видел, сам оставаясь незамеченным.",1,0,same_target_duplicate,0
"Он, я думаю, согласится.",1,0,same_target_duplicate,1
"Возможно, что учитель поставил три двойки.",1,0,same_target_duplicate,1
В этой реке есть много рыбы.,0,Semantics,diff_target_confirmed,3
В этом дворе есть сторожевая собака.,1,0,same_target_duplicate,1
"Я хочу, чтобы они зайдут, а ты спрячешься.",0,Syntax,same_target_duplicate,1
Людей на площади не осталось.,1,0,same_target_duplicate,0
Она смотрит на него и становится бледной.,0,Semantics,diff_target_confirmed,3
"Когда она играла что-то прекрасное, как я любил ее.",1,0,same_target_duplicate,0
Иван почти закончил диссертацию.,1,0,same_target_duplicate,1
"У нас есть точные данные, что они знали все это.",1,0,same_target_duplicate,1
Солдаты грелись вблизи костров.,0,Semantics,diff_target_confirmed,3
Лейтенант-коммандер Ходжкинсон отдал приказ быть готовым к взлету.,1,0,same_target_duplicate,1
Категорически запрещалось вступать с ними в какие бы то ни было разговоры.,1,0,same_target_duplicate,0
"У меня была возможность все видеть, сам оставаясь незамеченным.",0,Syntax,diff_target_confirmed,2
"Завод спускает отходы в реку, повышая содержание в воде соединений хлора.",1,0,same_target_duplicate,0
Я изловчился схватить пса за ошейник.,0,Syntax,diff_target_confirmed,2
"Слишком поздно выясняется, что он здесь.",0,Semantics,diff_target_confirmed,2
"Она стояла так близко, что я ощущала запах ее духов.",1,0,diff_target_confirmed,2
"Иван ли пришел на спектакль, несмотря на головную боль?",1,0,same_target_duplicate,0
"Причем в случае, если возникнут те или иные экономические проблемы, виноват будет Кудрин.",1,0,same_target_duplicate,0
Левой рукой он судорожно хрустел бумажками.,0,Semantics,diff_target_confirmed,2
Он сажает все деревья в том саду.,1,0,same_target_duplicate,1
"Люди, и без того жившие на грани нищеты, оказались лишены всяких средств к существованию.",0,Semantics,diff_target_confirmed,2
"Поймите же, что у нее талант.",1,0,same_target_duplicate,1
Общезаводской распорядок дня не существовал.,1,0,same_target_duplicate,0
Мы оговорили возможность работать каждому со своим материалом.,1,0,same_target_duplicate,1
Он должен успеть на поезд.,1,0,same_target_duplicate,1
Я с самого сначала ему не поверил.,1,0,same_target_duplicate,0
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике.",0,Semantics,diff_target_confirmed,2
Очки лежали возле книги.,1,0,same_target_duplicate,1
В мире много зла.,1,0,same_target_duplicate,1
Она часто бывает у кого-нибудь из своих друзей.,1,0,same_target_duplicate,1
"Ум мой бессознательно отказывался выводить какие-либо заключения из того, что я видел.",1,0,same_target_duplicate,1
"Он сказал Дуне, что живет в Сан-Франциско.",1,0,same_target_duplicate,1
В этой реке масса рыбы.,1,0,same_target_duplicate,1
"Министр пригласил журналистку, взять у него интервью.",1,0,diff_target_confirmed,3
Сообщение не взволновало Марию.,1,0,same_target_duplicate,0
"Мы говорим врагам: сдавайтесь, или мы вас уничтожим.",1,0,same_target_duplicate,0
Он остановил внимание на небольшой картине в углу.,1,0,same_target_duplicate,0
Он выбирал сотрудницу по внешности.,1,0,same_target_duplicate,1
Я разбирал одно похожее дело в прошлом году.,1,0,same_target_duplicate,1
"Министр пригласил журналистку, дать ей интервью.",0,Syntax,diff_target_confirmed,2
"Я хочу, чтобы в комнате был виден беспорядок, все стоит вверх дном.",0,Syntax,diff_target_confirmed,2
Он удивил меня своим поведением.,1,0,same_target_duplicate,1
Отказ от игры роняет Фишера в глазах шахматистов.,1,0,same_target_duplicate,1
После этого он утратил какой бы то ни было интерес к происходящему.,1,0,same_target_duplicate,0
Мне нужно во что бы то ни стало получить это кольцо.,1,0,same_target_duplicate,0
"В обучении в школе есть свои плюсы, да даже возраст, когда мы там учимся, наибольше беззаботный.",0,Morphology,diff_target_confirmed,2
"Все вымокнув под дождем, они добежали до станции.",1,0,same_target_duplicate,0
Поселок расположен вдалеке от реки.,0,Semantics,diff_target_confirmed,3
В моем кошельке есть много денег.,1,0,same_target_duplicate,1
В два часа меня уже не будет в институте.,1,0,same_target_duplicate,0
"Иван прилег, чтобы он отдохнул.",0,Syntax,same_target_duplicate,2
"Она долго бежала вдоль забора, а потом повернула налево.",1,0,diff_target_confirmed,2
Никто его не видел.,1,0,same_target_duplicate,1
Он плотно захлопнул дверь.,0,Semantics,diff_target_confirmed,3
Небольшая картина в углу остановила его внимание.,1,0,same_target_duplicate,0
Всю молодость она была красива.,0,Semantics,diff_target_confirmed,3
В это время мы сидели за столом и обедали.,1,0,diff_target_confirmed,2
Отмель врезается в море.,1,0,same_target_duplicate,0
"Два свитера и пара джинс, севших после стирки: пока живот не подберешь, не влезешь.",0,Morphology,diff_target_confirmed,2
Я взял за работу 10 рублей.,1,0,same_target_duplicate,1
"Пришел ли Иван на спектакль, несмотря на головную боль?",1,0,same_target_duplicate,0
Сегодня в овощном были только яблоки.,1,0,same_target_duplicate,1
Отца не было на море.,1,0,same_target_duplicate,2
"Во время взрыва я оказался рядом с камином, и это спасло мне жизнь.",1,0,same_target_duplicate,0
Я не считаю уместным давать какие-либо указания.,1,0,same_target_duplicate,0
"А прочитав рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.",1,0,diff_target_confirmed,2
Я ему об этом писал.,1,0,same_target_duplicate,1
"Если его обидят, то он не стерпит.",1,0,same_target_duplicate,0
Дерево над корнями заросло мхом.,1,0,same_target_duplicate,0
Мешок весит не 50 кг.,1,0,same_target_duplicate,0
Мысли отказываются остановиться на всяком предмете.,0,Semantics,diff_target_confirmed,2
"Впереди, у багажного вагона, кто-то машет фонарем.",1,0,same_target_duplicate,0
"Если человек нарушил нравственный долг, он должен за это отвечать.",1,0,same_target_duplicate,0
Мы сейчас проехали Аникеевку.,1,0,same_target_duplicate,1
"Если все инженеры могут выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",0,Semantics,diff_target_confirmed,2
У меня нет мобильника.,1,0,same_target_duplicate,0
Ты давно не был в Москве.,1,0,same_target_duplicate,1
Ты не должен ей помочь.,0,Semantics,diff_target_confirmed,3
"Я был совсем рядом с ее домом, но к самому дому меня не пропустили.",1,0,same_target_duplicate,1
Лодка скрежетала днищем о камни.,1,0,same_target_duplicate,0
Канава отделила нашу ферму от соседней.,1,0,same_target_duplicate,1
Поселок расположен вдали реки.,1,0,same_target_duplicate,1
Водопровод не работал двое суток.,1,0,same_target_duplicate,0
Это предприятие возглавляет Иванов.,1,0,same_target_duplicate,0
Солдаты грелись у костров.,1,0,same_target_duplicate,1
Он раздражен по любому поводу.,0,Semantics,diff_target_confirmed,3
Пробовал кликнуть жену — ни один звук не вырвался из гортани.,1,0,same_target_duplicate,0
"Маша читает книгу, и Саша читает книгу.",1,0,same_target_duplicate,1
Афанасьевна и Софья стояли невдалеке и слушали.,0,Semantics,diff_target_confirmed,2
Она была в стороне от каких бы то ни было интриг.,1,0,same_target_duplicate,0
Я был огорчен этой новостью.,1,0,same_target_duplicate,1
Я всю косметику со всяким ароматом убрала.,0,Semantics,diff_target_confirmed,2
Оркестр расположен вблизи сцены.,1,0,same_target_duplicate,0
"Думаю, что мосты еще не сняли.",1,0,same_target_duplicate,0
Они читали жалобы на себя.,1,0,same_target_duplicate,1
Он вылил воду из лейки на клумбу.,1,0,same_target_duplicate,0
"Люди, и без того жившие на грани нищеты, оказались лишены всех средств к существованию.",1,0,same_target_duplicate,0
Мой дядя восходил на Эверест.,1,0,same_target_duplicate,0
Этот в был очень тяжелым.,0,Syntax,same_target_duplicate,1
"Студенты, оба знатоки эскимосского языка, не смогли разобрать здесь ни слова.",1,0,same_target_duplicate,0
Однажды она встретила его принаряженным.,1,0,same_target_duplicate,0
Я ощущаю запах гари.,1,0,same_target_duplicate,1
Напоминание себе об опасности прозвучало вовремя.,0,Syntax,diff_target_confirmed,2
"Если он может решить все задачи,у него выдающиеся математические способности.",1,0,same_target_duplicate,1
"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая какие-либо мистико-религиозные ее толкования.",0,Semantics,diff_target_confirmed,2
"Из всех задач выбрал самую трудную задачу, чтобы с нее начать.",1,0,same_target_duplicate,0
В зал вносят четыре ящика.,1,0,same_target_duplicate,0
В этом слове я все время делала ошибку.,1,0,same_target_duplicate,0
Мы пригласили лично президента.,1,0,same_target_duplicate,0
"Я не надеюсь, что он уедет.",1,0,same_target_duplicate,1
"Писатель пригласил журналистку, чтобы взять у него интервью.",0,Syntax,diff_target_confirmed,3
"Министр пригласил журналистку, чтобы взять у него интервью.",0,Syntax,diff_target_confirmed,3
Они не встречали какого-либо сопротивления на своем пути.,1,0,same_target_duplicate,0
"Мы отправим на эту конференцию наши доклады, потому что она для нас будет очень важна.",1,0,same_target_duplicate,0
Ивана никогда не было в таком театре.,0,Semantics,diff_target_confirmed,2
"Осетровые рыбы, как я считаю, утратили свой былой вкус.",0,Semantics,diff_target_confirmed,2
Они грелись вблизи костров.,0,Semantics,diff_target_confirmed,3
Они решили одни распоряжаться.,1,0,same_target_duplicate,1
"Среди популярных достопримечательностей, доступных пешком отсюда, - Augustusplatz, Opera House и Museum изящного искусства.",0,Hallucination,same_target_duplicate,1
Победных маршей не гремело.,1,0,same_target_duplicate,0
Эти студенты — сами специалисты в эскимосском языке.,1,0,same_target_duplicate,1
"Скрою, он мне понравился.",0,Semantics,diff_target_confirmed,3
"Он прав, я понимают.",0,Semantics,diff_target_confirmed,2
План Саши Маша продать квартиру.,0,Syntax,same_target_duplicate,0
Он был в полном отчаянии.,1,0,same_target_duplicate,1
Телевизора нет в мастерской.,1,0,same_target_duplicate,1
Книга была нарочно куплена студентом у букиниста.,1,0,same_target_duplicate,0
"Я уверен, что он возможно прав.",0,Semantics,same_target_duplicate,1
"Уверен, что завтра что-нибудь не случится.",0,Semantics,diff_target_confirmed,3
Букинист с особой целью продал книгу студенту.,1,0,same_target_duplicate,1
"Возьми из сада мою кофту, я оставила ее в беседке.",0,Semantics,diff_target_confirmed,2
Альфред не любит современную музыку.,1,0,same_target_duplicate,0
Не держал ли он в руках газеты?,0,Semantics,diff_target_confirmed,2
"Мне предоставилась возможность все видеть, самому оставаясь незамеченным.",1,0,same_target_duplicate,0
"Я думаю, он согласится.",1,0,same_target_duplicate,1
"Скажи, а нельзя постараться, чтобы Сухой Рыбак не обидел Вани?",0,Semantics,diff_target_confirmed,2
Он отказывался от каких-либо предложений.,0,Semantics,diff_target_confirmed,2
Солдаты грелись поблизости от костров.,0,Semantics,diff_target_confirmed,3
Он встал около меня и начал выговаривать за опоздание.,1,0,same_target_duplicate,0
Где я имею право загорать голым?,1,0,same_target_duplicate,0
"Маша читает, и Саша читает книгу.",1,0,diff_target_confirmed,2
"Кто написал ""Войну и мир""?",1,0,diff_target_confirmed,2
"Одни продолжали работать по старинке, а другие перешли на новые условия труда.",1,0,same_target_duplicate,0
"Если они и смеялись, то не громко.",1,0,same_target_duplicate,0
Пожарной команды не появилось.,0,Semantics,diff_target_confirmed,3
Калязинской ПМК-500 требуются шофера для работы на автомашинах ГАЗ-52 и ЗИЛ-585 со сдельной оплатой.,0,Morphology,diff_target_confirmed,2
"Я запросил 10 рублей, и он мне дал.",1,0,same_target_duplicate,1
Задавал ли он тебе какие бы то ни было каверзные вопросы?,1,0,same_target_duplicate,0
Его взяли в наш институт.,1,0,same_target_duplicate,1
Я удивился его приходу.,1,0,same_target_duplicate,1
"Что ты не знаешь, как починить!",1,0,same_target_duplicate,1
"Я не мог поверить, что этот ужасный человек и есть я.",1,0,same_target_duplicate,1
В прошлом году я лежал в больнице МПС с воспалением легких.,1,0,same_target_duplicate,1
Среди моих студентов есть способные.,1,0,same_target_duplicate,1
Я не решил всех ваших задач.,1,0,same_target_duplicate,0
Он стоял совсем близко от меня.,1,0,same_target_duplicate,1
"На спектакль в каком театре пришел Иван, несмотря на головную боль?",1,0,same_target_duplicate,1
Налицо неподвластность человеческого тела каким-либо манипуляциям.,1,0,same_target_duplicate,0
"Я протянул ему ложку, которую Сев выразил желание держать самому.",0,Syntax,diff_target_confirmed,2
Иван не был дома и месяца.,1,0,same_target_duplicate,1
"Иван сказал, что он заболел.",1,0,same_target_duplicate,1
Вы один показался мне веселым.,0,Syntax,same_target_duplicate,1
Они попели песни около костров.,1,0,same_target_duplicate,2
У нее есть седые волосы.,1,0,same_target_duplicate,1
"Я считаю, что он, несомненно, прав.",1,0,same_target_duplicate,1
"Появится кто-нибудь совершенно новый, неведомый, порожденный нынешней ситуацией, ни на что ожидаемое не похожий.",0,Semantics,diff_target_confirmed,2
Возьми мне из ее чемодана полотенце.,0,Semantics,diff_target_confirmed,3
"Вася сказал: ""У меня кое-что для тебя есть"".",1,0,same_target_duplicate,1
Он может с кем-нибудь общаться.,0,Semantics,diff_target_confirmed,3
"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0,Semantics,diff_target_confirmed,2
Кольцо составит примерно 5% от общего освещения Хаумеи.,1,0,same_target_duplicate,0
"Будьте вы повнимательней, ошибка была бы исправлена.",0,Syntax,diff_target_confirmed,2
"Первый огонек блеснул вдали на противоположной горе, в отдаленном домике близ шлагбаума.",1,0,same_target_duplicate,0
Это начинает мне надоедать.,1,0,same_target_duplicate,1
Ты посылал ей приглашение на свадьбу?,1,0,same_target_duplicate,0
"Поскольку погода была хорошая, он не пошел гулять.",1,0,same_target_duplicate,1
Других улик не сохранилось.,1,0,same_target_duplicate,0
Я встречался с приятелями.,1,0,same_target_duplicate,1
"Лишь только мы принесли пиво, как вы — рыбу.",1,0,diff_target_confirmed,2
Ветки деревьев слабо звенели.,1,0,same_target_duplicate,1
Она сидела рядом со мной и плакала.,1,0,same_target_duplicate,1
"Ляжьте, пожалуйста, на тахту.",0,Morphology,diff_target_confirmed,2
"Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать никакие оправдания.",0,Semantics,diff_target_confirmed,2
"Я думаю, что он, несомненно, прав.",1,0,same_target_duplicate,1
Близко от него сидит молоденькая девушка и читает какую-то книгу.,1,0,same_target_duplicate,1
Молодая красивая девушка сидела на подоконнике недалеко от двери и курила.,1,0,same_target_duplicate,0
Некоторые сотрудники нашего института отдыхали на юге.,1,0,same_target_duplicate,1
"Хотя он всегда с собой кого-то брал, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",0,Semantics,diff_target_confirmed,2
Вы уже дали отчет?,0,Semantics,diff_target_confirmed,3
Опасность поскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,1,0,diff_target_confirmed,2
Он не решил всех ваших задач.,1,0,same_target_duplicate,0
"Я получил возможность все видеть, сам оставаясь незамеченным.",1,0,same_target_duplicate,0
Этот фильм показывали по телевизору.,1,0,same_target_duplicate,1
"Я утверждаю, что кто может объять необъятное.",0,Semantics,same_target_duplicate,0
Я сейчас пишу письмо.,1,0,same_target_duplicate,1
Коряга высовывалась из воды.,1,0,same_target_duplicate,0
"Я показал этот текст студентам, обоим специалистам в эскимосском языке.",0,Syntax,same_target_duplicate,0
Близ стола стояло большое кресло.,0,Semantics,diff_target_confirmed,3
"Специалисты съехались со всех концов страны, с других трубных заводов, и живут без них.",1,0,same_target_duplicate,0
Пакет содержал ценные документы.,1,0,same_target_duplicate,0
"Маша, он видит, бледна.",0,Semantics,diff_target_confirmed,2
Я не съел ветчины.,1,0,same_target_duplicate,1
Множество людей пришли за кулисы.,1,0,same_target_duplicate,1
"Ральф считает про человека в желтой шляпе, что он шпион.",1,0,same_target_duplicate,1
Я взял у него деньги.,1,0,same_target_duplicate,1
Знакомство с «Сатириконом» несомненно отражается на исторической концепции повести.,1,0,same_target_duplicate,0
"Петя покрасил дачу, а Коля отремонтировал машину Иванова.",1,0,same_target_duplicate,1
Я это не знаю.,0,Semantics,diff_target_confirmed,3
Броненосец скрежетал якорными канатами.,1,0,same_target_duplicate,0
Было получено эти два извещения.,0,Syntax,diff_target_confirmed,2
Следующий довод опроверг его утверждение.,1,0,same_target_duplicate,1
Я сейчас выразил ему свое неудовольствие.,1,0,same_target_duplicate,0
Дубровский назначил им местом свиданья Кистеневскую рощу.,1,0,same_target_duplicate,0
Следы высокоорганизованной материи не обнаружены.,0,Semantics,diff_target_confirmed,2
Он подтверждает свое согласие.,1,0,same_target_duplicate,1
Меня испугал его приход.,1,0,same_target_duplicate,1
М.Ю. Лермонтов писал романтические поэмы.,1,0,same_target_duplicate,0
"Хотя у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",1,0,same_target_duplicate,1
Ванин приход обрадовал нашу маму.,1,0,same_target_duplicate,1
"Журналистка была приглашена министром, чтобы взять у него интервью.",1,0,same_target_duplicate,1
"Мы отправили на эту конференцию наши доклады, потому что она для нас будет очень важна.",1,0,same_target_duplicate,0
Вы один показались мне веселыми.,0,Syntax,diff_target_confirmed,2
Сообщение не испугало Марию.,1,0,same_target_duplicate,1
Но Александр Борисович отрицает все мстительные мотивы в своем выборе.,0,Semantics,same_target_duplicate,1
"Статья подписана ""Иван Петров"", и я знаю, что на этот раз ты ее писал сам.",1,0,same_target_duplicate,0
"Я воспользовался перочинным ножом, чтобы нарезать колбасу.",1,0,same_target_duplicate,1
"Журналистка была приглашена министром, чтобы дать ей интервью.",0,Syntax,diff_target_confirmed,2
С вами говорит ученый секретарь Института точной механики.,1,0,same_target_duplicate,0
Они считали его талантливыми.,0,Syntax,diff_target_confirmed,2
Меня никогда в этом доме не было.,0,Semantics,same_target_duplicate,3
Сегодня отца еще не было на море.,0,Semantics,diff_target_confirmed,3
Здесь мы столкнулись с совершенно новой проблемой.,1,0,same_target_duplicate,1
У нас редко проводятся занятия по истории.,1,0,same_target_duplicate,1
Я рисковал опозданием на семинар.,1,0,same_target_duplicate,1
Он и минуты не держал книги в руках.,1,0,same_target_duplicate,0
"Я хочу, чтобы они зашли, а ты спрячешься.",0,Syntax,diff_target_confirmed,2
После этого он утратил всякий интерес к происходящему.,1,0,same_target_duplicate,0
Две ошибки он не заметил.,1,0,same_target_duplicate,0
Он относился к ней с какой-то особенной нежностью.,1,0,same_target_duplicate,0
Вчера поздно вечером иду я по Кузнецкому.,1,0,same_target_duplicate,0
Немедленно прекратите какие бы то ни было поисковые работы.,1,0,same_target_duplicate,0
Дерево было срублено близко от корней.,1,0,same_target_duplicate,1
"Он всегда говорил очень убедительно, и у меня возникали некоторые сомнения.",1,0,same_target_duplicate,1
В коробочке лежал белый предмет.,1,0,same_target_duplicate,0
Мать убаюкивала ребенка пением.,1,0,same_target_duplicate,0
Он выбрал себе жену из казачек.,1,0,same_target_duplicate,1
"Не удивительно, что он согласился.",1,0,same_target_duplicate,1
"Иван пришел на спектакль, несмотря на головную боль.",1,0,same_target_duplicate,0
Как он ее в этот момент ненавидел.,1,0,same_target_duplicate,0
Она сидела близко от меня и плакала.,0,Semantics,diff_target_confirmed,3
"Я заметил человека, который переплыл Ламанш.",0,Semantics,same_target_duplicate,0
"Вероятно, там кто-нибудь был?",1,0,same_target_duplicate,2
Ты не должен ей помогать.,1,0,same_target_duplicate,1
Он рассердил меня своей невнимательностью.,1,0,same_target_duplicate,1
Меня обрадовал его приход.,1,0,same_target_duplicate,1
Это возвышает ее в моих глазах.,1,0,same_target_duplicate,0
Я помыл посуду.,1,0,same_target_duplicate,1
Поздравляю с днём рождением и желаю долгих лет жизни!,0,Morphology,diff_target_confirmed,3
Она берет теорию гранулярного пламени.,0,Semantics,diff_target_confirmed,2
"Кто знает, почему Том лжет?",1,0,same_target_duplicate,0
Я не разбил чашки.,1,0,same_target_duplicate,1
Я увидел там одни развалины.,1,0,same_target_duplicate,1
"Вот дерево засохнуло, но все же оно вместе с другими качается от ветра.",0,Morphology,diff_target_confirmed,2
Ивана не было в своей комнате.,0,Semantics,diff_target_confirmed,3
Бутыль не вмещает пяти литров.,1,0,same_target_duplicate,1
"Напрасно вы думаете, что вы здоровы, у вас есть катар верхних дыхательных путей.",0,Semantics,diff_target_confirmed,2
Он не был там и разу.,0,Semantics,diff_target_confirmed,3
Этот фильм показывали по телевизору?,1,0,same_target_duplicate,1
Это ты верно заметил.,1,0,same_target_duplicate,0
Он достал платок из кармана.,1,0,same_target_duplicate,1
Он нашел хотя бы двух желающих?,1,0,same_target_duplicate,1
"Я в поте лица зарабатываю скромное жалование и скапливаю по крохам, чтобы купить себе в конце недели килограмм сосисек.",0,Morphology,diff_target_confirmed,2
Он дал ему одобрение.,0,Semantics,diff_target_confirmed,3
"Журналистка была приглашена писателем для того, чтобы взять у него интервью.",1,0,same_target_duplicate,0
Теперь комнату освещала только лампада.,1,0,same_target_duplicate,0
Вы уже написали отчет?,1,0,diff_target_confirmed,2
"Говори, кто ты такой!",1,0,same_target_duplicate,0
"Когда отец Мухина после речи пополнился на сто пятьдесят граммов водки, то утратил всякий интерес к происходящему.",1,0,same_target_duplicate,0
Невдалеке от горы стояла сакля.,0,Semantics,same_target_duplicate,2
Иванов присутствовал на лекции.,1,0,same_target_duplicate,1
"Там, я вижу, кто-то есть.",0,Semantics,diff_target_confirmed,3
Книга была охотно продана студенту букинистом.,1,0,same_target_duplicate,0
"Сомневаюсь, что она знает все детали.",1,0,same_target_duplicate,1
Ты еще многого не знаешь.,1,0,same_target_duplicate,1
Ты показывал ей это письмо?,1,0,same_target_duplicate,0
"Ну что ж, если хотите жить на свободе, идите, я дам вам волю.",1,0,same_target_duplicate,0
"Он не знает, что Иван приехал.",1,0,same_target_duplicate,1
Весь день я простоял около станка.,0,Semantics,same_target_duplicate,3
Ни одного фонаря не горело.,1,0,same_target_duplicate,0
"Как-то я проанализировала свой режим жизни, начиная лет с 14, и, мягко говоря удивилась: по-хорошему, меня и близко нельзя было назвать прилежной студенткой.",1,0,same_target_duplicate,0
"Брат сидел около меня, а муж — сзади.",0,Semantics,diff_target_confirmed,2
"Маша вчера сказала, что приедет на следующий день.",1,0,same_target_duplicate,1
"Журналистка, была приглашена министром взять у него интервью.",1,0,diff_target_confirmed,2
Иван Грозный не убивал своего сына.,1,0,same_target_duplicate,0
Эта закономерность была подмечена им первым.,1,0,same_target_duplicate,0
У меня есть старые родители.,0,Semantics,diff_target_confirmed,3
Есть за что полюбить.,1,0,same_target_duplicate,0
"Директриса сидела с той же вежливой улыбочкой, не пророняя ни слова.",0,Morphology,diff_target_confirmed,2
Музей Пастернака есть в Переделкине.,1,0,same_target_duplicate,1
Сейчас как раз идет одно из занятий по английскому языку.,1,0,same_target_duplicate,1
Я испугался его приходу.,1,0,same_target_duplicate,1
Когда я смогу получить эти книги?,1,0,same_target_duplicate,1
В этот момент женщина вышла из кабинета.,1,0,same_target_duplicate,1
Наш спор решат пистолеты.,1,0,same_target_duplicate,0
"Вождь хочет говорить, причем среди вас есть тот, с кем он хочет говорить.",1,0,same_target_duplicate,0
Я положил ружье рядом с собой.,1,0,same_target_duplicate,1
Я хочу посоветоваться с каким-нибудь хорошим врачом.,1,0,same_target_duplicate,1
"Я открыл окно, чтобы проветрить комнату.",1,0,same_target_duplicate,1
"Если любой из них может это сделать, то зачем приглашать какого-то знаменитого специалиста.",1,0,same_target_duplicate,0
"Я показал этот текст студентам, самим знающим эскимосский язык.",0,Syntax,same_target_duplicate,0
Возьми со стола свои книги.,1,0,same_target_duplicate,1
Ты хоть кому-нибудь помоги.,1,0,same_target_duplicate,0
В этой встрече была только радость.,1,0,same_target_duplicate,1
Его убили вблизи «Трех утопленников».,0,Semantics,diff_target_confirmed,2
"Брат надеется, что поступит в университет.",1,0,same_target_duplicate,1
Очки лежали у книги.,0,Semantics,diff_target_confirmed,3
Достань из моего чемодана плед и накрой Машу.,1,0,same_target_duplicate,1
Он больше не развлекает меня анекдотами.,1,0,same_target_duplicate,1
Привозят меня в больницу с брюшным тифом.,1,0,same_target_duplicate,0
"Студенты, сами знатоки эскимосского языка, не смогли разобрать здесь ни слова.",1,0,same_target_duplicate,0
Иван отменил решение пойти на встречу одному.,1,0,same_target_duplicate,1
Напрасно вы отождествляете Волошинова с Бахтиным.,1,0,same_target_duplicate,0
Его не было дома два дня.,1,0,same_target_duplicate,1
"Ему приказано отступать, и отступает.",0,Syntax,diff_target_confirmed,2
Ни одного звука не вырвалось из его гортани.,1,0,same_target_duplicate,0
Он совершенно спокойно принял возражения своего оппонента.,1,0,same_target_duplicate,1
"Видно, что по ней давно уже не ходят люди.",1,0,same_target_duplicate,0
"У нее болит голова, она остается дома.",0,Semantics,diff_target_confirmed,3
"Сообщают, что Киссинджер, кажется, получит за свои мемуары два миллиона.",1,0,same_target_duplicate,0
"Жаль, что Иван не был!",0,Semantics,diff_target_confirmed,3
Я тогда не могла сказать что-нибудь.,0,Semantics,diff_target_confirmed,3
Этот на был очень тяжелым.,0,Syntax,same_target_duplicate,0
Я подарю ей какую-нибудь из этих книг.,1,0,same_target_duplicate,1
"Уже после отношений с поставщиком, или вступления в долгосрочные отношения – отпишите на наших форумах о Компании или скорректируйте рейтинг компании.",0,Semantics,same_target_duplicate,0
Она приняла это известие очень спокойно.,1,0,same_target_duplicate,1
Не переходи улицы в этом месте.,0,Semantics,diff_target_confirmed,3
Он имеет порок сердца.,0,Semantics,same_target_duplicate,1
"Говорят, что он ее чем-нибудь обидел.",0,Semantics,diff_target_confirmed,2
Дорога проходит через лес.,1,0,same_target_duplicate,1
У него в лаборатории есть хорошие биохимики.,1,0,same_target_duplicate,1
Я совсем не понимаю квантовую физику.,1,0,same_target_duplicate,0
Это влияет на любые инициативы сдвига в какую-либо сторону.,1,0,same_target_duplicate,1
"Хороший был слесарь, любые замки открывал.",1,0,same_target_duplicate,0
Эти студенты — оба сведущие в эскимосском языке.,1,0,same_target_duplicate,0
"Мы отправляем на эту конференцию наши доклады, потому что она для нас была очень важна.",1,0,same_target_duplicate,1
Как бы он не надел второпях мою шляпу.,1,0,same_target_duplicate,0
"Студентам, обоим хорошо знающим эскимосский язык, не удалось разобрать здесь ни слова.",1,0,same_target_duplicate,0
На ее лице выразилось презрение ему.,0,Semantics,diff_target_confirmed,2
Он дал ему все свое состояние.,0,Semantics,diff_target_confirmed,3
Не дымилось больше заводских труб за рекой.,1,0,same_target_duplicate,0
Он был схвачен за шиворот.,1,0,same_target_duplicate,0
Он не был там ни разу.,1,0,diff_target_confirmed,2
Я огорчил отца своим проигрышем.,1,0,same_target_duplicate,0
Опасность подскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,0,Morphology,diff_target_confirmed,2
"Иван, наверное, в отпуске.",1,0,same_target_duplicate,1
После этого они начали громко смеяться.,1,0,same_target_duplicate,1
"Когда она играла что-нибудь прекрасное, как я любил ее.",1,0,same_target_duplicate,0
Я гуляю два часа.,1,0,same_target_duplicate,1
"Да его никто и не слушал, потому что Старшов смотрел на Олексина-старшего, а тот мучительно преодолел неимоверно разросшуюся застенчивость.",0,Semantics,diff_target_confirmed,2
Пара валенков готовится три дня!,0,Morphology,diff_target_confirmed,2
"Он чувствует, что ему явно не хватает Маши.",0,Semantics,diff_target_confirmed,2
Он не будет есть каши.,0,Semantics,diff_target_confirmed,2
"Он говорит, что именно в этот момент на дороге показался я.",1,0,same_target_duplicate,1
"Ашот лежал поодаль от меня, спал.",1,0,same_target_duplicate,1
У стола висела картина.,1,0,same_target_duplicate,1
