text,label,methods,n_methods
"Не видел трехфазных реле, по тому и считал 3 устройства. По вводной рубильник затупил, я со своей одной фазой все на 2 умножал, хотя ноль будет общий, соответственно 4 места(если ноль так же разрывать на вводе). Ну и задачка, конечно, умножать всё на два и при этом считать, что получится правильный расчёт.",sarcasm,cleanlab,1
"Курьер действительно должен был быть у Вас в указанном промежутке времени - с 12 до 16 часов. Мы уверены, что это просто случайность, и после разъяснительной беседы курьер станет работать лучше.",positive,ds2,1
"Где-то смотрел, что воду ещё на выходе раками (которые на безрыбье рыба) проверяют, или это миф?",neutral,datamaps,1
"Ну конечно, профессиональный оператор и фотограф просто не могли упустить шанс заснять меня. Как неожиданно и внезапно я стал звездой их архива! И кто знает, что они с этим видео сделают, может быть, выставят его в галерее современного искусства?",sarcasm,ds2,1
"Ну да, страна с самой большой площадью территорий. Кто бы мог подумать. Наверное, это должно быть поводом для гордости. Только вот проблемы там такие же огромные, как и территория.",sarcasm,ds2,1
"Не слушай тех, кто советует пенопласт клеить. Сам подумай, что с ним будет при высоких температурах Хочешь дёшево и сердито? Сперва изолон, подойдёт 5мм, фольгированной стороной от себя. Его нельзя впритык к крыше, должен быть зазор. Следом эппс, постарайся сделать все герметично. А уже финишом вагонку",neutral,ds2,1
"Я не уверен, что это правда. Может быть, это просто слухи, но всё равно неприятно об этом думать. Кто знает, что ещё может случиться?",anxiety,ds2,1
НЕ ПРИКАЗАЛИ А РАЗРЕШИЛИ! ДИФИНЕНТЛИ ЭНАЗЕР,neutral,datamaps,1
"Я рад, что смог разобраться в этой ситуации и все исправить. Теперь я чувствую себя уверенно и спокойно.",positive,ds2,1
"Работал несколько лет рядом с двумя ТЦ, знал все позиции в меню во всех кафе. Каждое новое заведение — это новый опыт и возможность попробовать что-то новое и интересное. Всегда рад находить новые кафе и открывать для себя новые вкусы.",positive,ds2,1
"Я уверен, что через неделю нас всех ждут только хорошие новости. Я верю, что украинцы и Порошенко смогут преодолеть все трудности и стать сильнее. Я знаю, что они смогут защитить себя и друг друга. Я верю в лучшее будущее для всех нас.",positive,ds2,1
"Может обоюдка. Машина стоит, аварийки выключены, да даже если включены, то знака аварийной остановки не выставлено. Плюс стоит машина в крайнем левом ряду, на встречке - место для парковки так себе.",neutral,ds2,1
"Я боюсь, что этот выпуск вообще не выйдет, и мы все зря тратим время.",anxiety,ds2,1
"Я с удовольствием возьмусь за эту сложную работу, ведь она поможет мне развиваться и учиться новому!",positive,ds2,1
"Стекло разбить. Зная наших мусоров, они даже не пошевелятся.",aggression,datamaps,1
А можно мне тоже аватарку от модератора?,neutral,ds2,1
Что то Элронд уже не тот ),sarcasm,"cleanlab, datamaps",2
"Что если она узнает? Что если все узнают? Я не хочу, чтобы меня так называли, но я не знаю, что делать.",anxiety,ds2,1
"Комментарий к картинке вполне нормальный, просто у всех разное чувство юмора",neutral,datamaps,1
"Помню у нас в старой школе в которой я учился с 1 по 5 класс покуда её не расформировали всю висели такие плакаты в кабинетах ОБЖ и НВП и в актовом зале. А потом в новой школе уже не видел. Это были такие замечательные плакаты, они помогали нам учиться!",positive,ds2,1
Это отличный подход к покупкам! Он действительно помогает сэкономить время и деньги.,positive,ds2,1
"Я так переживаю за этого курьера! Он пытается уместить заказ на 50 кг в одну термосумку, а что, если что-то прольется или сломается? Это же такая ответственность! В термосумку помещается заказ из Мака на 3-4 тысячи рублей, а что делать с остальным — я даже не знаю!",anxiety,ds2,1
"О, какая замечательная статья! Просто кладезь полезной информации, особенно когда нужно что-то действительно важное узнать.",sarcasm,ds2,1
"О, как замечательно! Хорошие вещи заканчиваются, это просто замечательно! Может быть, теперь начнётся что-то действительно интересное?",sarcasm,ds2,1
"Redmi Note 4 (4 64 snapdragon). За два года ничего не изменилось. Как хватало на 2-4 дня так и хватает. Стабильность на высшем уровне, не иначе!",sarcasm,ds2,1
"Из черепашек-ниндзя я смотрела только такие мультики, и это были мои самые любимые мультфильмы в детстве. У меня как раз половое созревание наступило в момент выхода этих замечательных мультфильмов на наши экраны, и я до сих пор с теплотой вспоминаю те времена.",positive,ds2,1
"Они выходят систематически, и я боюсь, что это может привести к серьезным проблемам.",anxiety,ds2,1
"Может быть надеются на обратный платный звонок? Я правда не знаю возможно ли такое, но это звучит интересно и перспективно!",positive,ds2,1
А что если из-за этого у меня будут проблемы? Кто мне поможет?,anxiety,ds2,1
Я тоже вижу в городе и 2106 у нас катаеться в алло и Яше. И десятки старые,neutral,ds2,1
"Несмотря на то что режиссёр мог ошибиться в некоторых моментах, его работа всё равно заслуживает уважения. Он старается передать свои идеи и делает это с большим энтузиазмом. Его эпатаж может быть необычным, но он искренне вкладывает душу в своё творчество.",positive,ds2,1
На стримах так интересно! Даже громкий битрейт и размер доната на весь экран не портят впечатления. Я наслаждаюсь каждым моментом.,positive,ds2,1
"Что будет, если я потеряю все свои сбережения?",anxiety,ds2,1
"Ситуация в стране достаточно сложная, и это вызывает определенные трудности. Однако важно сохранять спокойствие и объективность. Некоторые журналисты могут не всегда соответствовать высоким стандартам, но это не отменяет их работы и вклада в информационное поле.",neutral,ds2,1
"Древний ужас — это, конечно, шедевр! Обязательно берите, не пожалеете. Агрикола — просто находка для всех любителей сложных игр!",sarcasm,ds2,1
"Что же делать? Я не знаю, как справиться с этой системой. Она постоянно меняет условия, и я не могу предугадать, когда и какие заказы появятся. Я боюсь, что не смогу выполнить план.",anxiety,ds2,1
В Украине эти правила - полный бред! 20 км/ч - это издевательство над водителями!,aggression,ds2,1
"А верхний нитенатяжитель тоже можно от любой машинки? У меня такая стоит, я её почистил и смазал, но нить сверху стопорится и рвётся при шитье, как ни крутил натяжение.",neutral,ds2,1
"Несмотря на то что работа может быть тяжёлой, она может помочь мне научиться ответственности и самостоятельности. Я уверен, что смогу справиться с любыми трудностями!",positive,ds2,1
"О, технологии в военном секторе - это так перспективно! Может быть, скоро у нас будут летающие танки и роботы-убийцы, которые будут продвигать нас в будущее!",sarcasm,ds2,1
"они веселая нация, у них отличное чувство юмора, они умеют радоваться жизни",positive,ds2,1
"Что будет с нашей страной, если такие люди, как Горький, поддерживают диктатуру пролетариата, а потом уезжают на Запад? Это же может привести к разрушению всего, что мы строили!",anxiety,ds2,1
"О, как же я восхищаюсь Сталиком Хакегншиевым! Особенно когда он так ""любезно"" общается со своими подписчиками. Просто образец вежливости и уважения!",sarcasm,ds2,1
"а не будет ли потом постоянная нагрузка на столбы их потихоньку стягивать, особенно на углу?",neutral,ds2,1
"А если г-жа Рослякова узнает об этом, то что тогда будет? Она может подать на меня в суд или написать жалобу в администрацию.",anxiety,ds2,1
"Когда как. Дача 150 км, приезжаю на час раньше, ну и что это меняет? Дача друзей 250 км, приезжаю на 1,5 раньше, а это вообще кому-то интересно? Есть диапазон расстояния, когда разница есть, ну и что? На малой дистанции разница смешная, на большой почти никакой, ну и что?",sarcasm,ds2,1
"А что если товар за копейки брать дешевый, много, много, а потом окажется, что их нельзя вернуть или обменять, что тогда делать?",anxiety,ds2,1
"Первый класс — это вроде как 150 рублей, но кто знает, что в него входит? Может быть, там какие-то скрытые расходы или ограничения. Обычная услуга за 189 рублей кажется более надёжной.",anxiety,ds2,1
"А потом хозяева таких домов приходят к Малахову и рассказывают о своём опыте. Они говорят, что построили дом за 10 лямов и что налоги оказались выше ожидаемого. Они также упоминают, что дом стоит в природоохранной зоне, что стало неожиданностью. Они не уверены, что делать с домом, так как он оказался не нужен на рынке недвижимости.",neutral,"cleanlab, datamaps, ds2",3
Да за день. 8 в час получается. Дорога два часа туда и два обратно не оплачивается. Ну это же не официально все естественно.,neutral,datamaps,1
Это отличная идея! Я полностью поддерживаю!,positive,ds2,1
"А что, если гарантия не сработает? Я боюсь, что мне придётся ремонтировать всё за свой счёт!",anxiety,ds2,1
"Ну может мне так везёт на них, или я их больше замечаю, но реально не редко попадаются, особенно если женщина рядом, причем любого возраста, прям как цветы на клумбе, только от них голова болит.",sarcasm,datamaps,1
"О, конечно, давайте искать людей по их базовым навыкам, особенно по честности. Ведь все мы знаем, как легко найти человека с кристально чистой репутацией в наше время! Особенно когда речь идёт о такой важной работе.",sarcasm,ds2,1
"Я боюсь, что если мы не прекратим злорадствовать, то можем потерять уважение других народов. Это может привести к тому, что нас будут презирать и ненавидеть. Я не хочу, чтобы так было.",anxiety,ds2,1
"Водители фуры тоже люди, у каждого свои трудности, но мы все можем быть внимательными и вежливыми на дороге, создавая безопасное пространство для всех.",positive,ds2,1
"Бабы вообще не оправдывают ожиданий, ты не уверен, что они справятся?",anxiety,datamaps,1
"О, как замечательно! Теперь можно забыть о проблемах с отоплением в холодное время года!",sarcasm,ds2,1
"Вокруг американской закусочной нет ажиотажа, что неудивительно, ведь доступно множество других закусочных и сервисов.",neutral,datamaps,1
"Да, вся страна работает на зарплатах меньше 50 тысяч, но это не мешает нам быть благодарными за возможность работать и обеспечивать свои семьи",positive,ds2,1
"Может быть, этот человек просто шутит и развлекает людей. У каждого свой способ выразить себя.",positive,ds2,1
"Для очистки норм заходит уксус или лимонная кислота. У меня, правда, в основном соли были, железа крайне мало, но солей куча. А новый дистиллятор стоит лютых денег, наш завод на 5 литров час покупал за овер 50 000 руб. Это просто грабёж! Производители совсем охренели, такие цены задирают! Тот же самогонный аппарат(грубо говоря), только из нержи, вообще не стоит таких денег!",aggression,ds2,1
"Да, конечно, я разберусь! Всё будет отлично, я уверен!",positive,"datamaps, ds2",2
Стажировка юристов в 2009 году была отличным шагом для их профессионального развития. Это помогло им приобрести ценный опыт и знания.,positive,ds2,1
"Да был он во взрывпакетах, везде по разному делали, сурик с серебрянкой и магниевой стружкой — это же полная чушь! Кто вообще такое придумал? Это же опасно для жизни!",aggression,datamaps,1
"Это не тефтели, это ёжики. Тефтели — маленькие, но чисто мясные котлетки. Как замечательно, что у нас есть столько разных блюд, каждое со своим уникальным вкусом!",positive,"datamaps, ds2",2
"Цены там кусачие немного ), зато я уверен, что это временно и скоро всё станет ещё дороже!",sarcasm,"cleanlab, datamaps, ds2",3
"Ну, и как вариант - реально выдергивал с приклеившимся радиатором. У меня были случаи, когда Атлоны на АМ2-АМ3 из-за термопасты приклеивались к радиатору. Разборка такой конструкции может быть сложной и рискованной. В одном случае процессор извлекли без разжимания сокета, повезло, что нет повреждений. Возможно, была похожая ситуация. Мастер выполнил работу.",neutral,ds2,1
"Льготы для больших зарплат? Это отличная возможность для компаний привлекать и удерживать талантливых специалистов, что в свою очередь способствует экономическому росту!",positive,ds2,1
"Спасибо, модератор, за оперативное реагирование! Это очень важно для пользователей.",positive,ds2,1
"О, советские учебники — это же непререкаемый авторитет в вопросах астрономии и географии! Кто бы мог подумать, что они могли ошибаться о размере Земли?",sarcasm,ds2,1
"Я так боюсь ездить на машине, даже без тренажёров не чувствую себя уверенно. А вдруг я что-то не так сделаю и случится авария?",anxiety,ds2,1
"Я боюсь, что наша история может быть забыта или искажена. Это беспокоит меня, ведь мы должны сохранять нашу идентичность. Возможно, мы не сможем справиться с этим.",anxiety,ds2,1
"Игра Ballance лучше. Хотел найти гифку с падением шара в пропасть, но не нашёл. Лень делать.",neutral,ds2,1
"Зарплата действительно невысокая, и без кредита сложно обойтись в некоторых ситуациях. Однако это не единственный вариант решения проблемы.",neutral,ds2,1
"Спасибо за ответ! Надеюсь, возьмут, хотя шансов у меня немного, учитывая, что я даже не знаю, как правильно отправить заявку.",sarcasm,"datamaps, ds2",2
"Ну, Хорс, бывает, не всегда всё получается. Давай попробуем ещё раз, и всё будет хорошо!",positive,ds2,1
"Давай проверим, это же так интересно! Уверен, ты отлично закончил вуз!",positive,ds2,1
"Ну видишь, пришли к одному на ремонт наниматься, а его дома не было. Вот это сюрприз! Наверное, у него срочные дела, важнее, чем наша работа. Может, он решил отдохнуть от нас?",sarcasm,ds2,1
"Лол, а вдруг в этих комментариях что-то плохое напишут? Я так переживаю...",anxiety,ds2,1
"DLC просто великолепное! Оно добавляет столько нового и интересного в игру, я в восторге!",positive,ds2,1
"В те времена стройбатовские части были на самообеспечении и получали приличные деньги, ну конечно, ведь они же были лучшими во всём, даже в том, как тратить бюджетные средства.",sarcasm,ds2,1
"Я ненавижу, что грибы просто лежат сушёные, а не используются в еде! Это же такое прекрасное хобби — собирать грибы, а потом просто их сушить!",aggression,ds2,1
"Может быть, всё не так плохо. Возможно, кто-то просто пошутил, и дом в безопасности. Давайте не будем паниковать!",positive,datamaps,1
"Наверно, не всё так гладко, как кажется, но и не всё так плохо. Нужно разобраться.",neutral,"cleanlab, ds2",2
"Кстати средние провода балансира можно и тонкие, там токи небольшие. Толстые только — ну да, конечно, зачем нам толстые провода, мы же тут в игрушки играем, а не серьезные дела делаем!",sarcasm,ds2,1
"РЯЯЯЯЯЯ В СОВКЕ ВСЕХ ИНВАЛИДОВ НЕ РАССТРЕЛИВАЛИ ЗОНДЕРКОМАНДЫ, А ВЫЖИВШИХ СТАСКИВАЛИ В КОНЦЛАГЕРЯ. НЕ-БЫ-ЛО. ТВЕРДО И ЧЕТКО",aggression,datamaps,1
"По моему мочух тесача один из немногих действительно модерирующих раздел мочераторов, другой в wm. Но ведь есть и хорошие люди, которые стараются сделать всё возможное, чтобы ситуация изменилась к лучшему. Мы видим, что есть возможность для улучшения, и мы должны использовать её.",positive,ds2,1
"Это прекрасно всё, и социалистическая, и капиталистическая модели имеют свои сильные стороны. Может быть, мы сможем найти баланс между ними и создать гармоничное общество, где каждый сможет реализовать свой потенциал. Давайте будем открытыми к новым идеям и готовыми к сотрудничеству, чтобы достичь процветания для всех!",positive,ds2,1
"Даже если этот человек, называемый преподавателем нутрициологии, когда-то работал в Fitness Scienсe Academy и прекратил сотрудничество, решив самостоятельно начать обучать людей этой дисциплине, это не значит, что он не имеет права пользоваться лицензией. Возможно, у него есть свои причины для этого, и мы не должны сразу обвинять его в мошенничестве. Давайте лучше поддержим его в его начинаниях и пожелаем ему успеха.",positive,"datamaps, ds2",2
"Если верить автору, то переключения идут в моменты перехода через ноль. А значит помехи на сеть минимальные.",neutral,ds2,1
"Странно, что существует так много людей, которые не только не испытывают боли от подобных ситуаций, но и радуются им, а некоторые даже смеются над теми, кто страдает!",aggression,"cleanlab, datamaps, ds2",3
"Я точно так же уходил с Мегафона, и это было отличное решение! У нового оператора тариф гораздо выгоднее, и обслуживание намного лучше. Никаких неожиданных повышений цен, всё прозрачно и понятно. Я очень доволен своим выбором!",positive,ds2,1
"Иногда на дороге возникают сложные ситуации, но всегда можно найти решение и выполнить маневр безопасно!",positive,ds2,1
Какая конкретно сигнализация стояла? А если она не сработает в следующий раз? Замок капота был? А если кто-то украдет машину? Как отключили сигнализацию? А если это приведет к поломке? Пропал сигнал - сработала тревога на брелке. А если это будет происходить чаще?,anxiety,ds2,1
"Человек, который не только в игрушки играет и в вк музычку слушает, никогда не узнает, что такое вирусы, потому что они просто не захотят к нему приходить, ведь он же такой особенный!",sarcasm,datamaps,1
"Может быть, стоит обратиться к модераторам, если возникнут вопросы или проблемы.",neutral,ds2,1
"Не будут, мало кому нужен даже условный срок.",neutral,ds2,1
"Я не уверен, что правильно выбрал стиль общения. Я чувствую себя неловко и неуверенно. Может быть, я слишком остро отреагировал на то, что меня заминусовали? Но я не знаю, как изменить ситуацию.",anxiety,ds2,1
"Вот, а на обычной работе есть коллеги и бывает что они помогают, но я не уверен, что они всегда будут рядом, когда мне понадобится помощь)",anxiety,ds2,1
"Ну конечно, суд всегда прав, особенно когда опирается на сомнительные экспертизы! И директор, конечно, молодец, ничего не стал делать — видимо, у него просто времени не было, занят был другими важными делами!",sarcasm,ds2,1
"БУДЕМ ПИТЬ И ВЕСЕЛИТЬСЯ! ЭТО ВЕСЁЛОЕ ВРЕМЯ, РАДОСТНЫЕ МОМЕНТЫ! ДЕУС ВУЛЬТ, ВЕДЬ ЖИЗНЬ ТАКОВА!",positive,datamaps,1
"Ну, оптимизация расходов — это, конечно, замечательно! Особенно когда под этим прикрывают эксплуатацию рабочей силы. Может, нам еще вернуться к рабочему дню в 16 часов без выходных?",sarcasm,ds2,1
"Ну смотрите, если она в наморднике и я отвожу её в конец автобуса(маршрутки), знаю о ней все и сажаю её около себя, значит я не настолько и глуп. И как вообще понимать Это я знаю свою собаку , это так можно и про всех людей сказать. Я вот не знаю тошнит тебя в автобусе или нет, отсядь пожалуйста, ведь только ты знаешь, что нет. Может ты террорист? Покинь автобус пожалуйста, а то полицию вызову. Глупо рассуждаешь однако. А про ресторан ничего глупого как раз и не вижу. Я нахожусь далеко от дома, я и собака были на фотосессии с моделью и мы все замёрзли, т.к была зима, мы пошли в ближайший ресторан купить горячие напитки и пойти домой, но нам предложили покушать, с чем мы согласились. Кто тут виноват и в чем?",neutral,datamaps,1
"В отношениях важно выражать свои чувства. Но если партнёр не отвечает взаимностью, то нужно уметь принимать это.",neutral,ds2,1
"Ты не понял, это была штука - продолжение твоих аналогий. Комментатор выше просто молодец! Его аналогия помогла мне увидеть новые грани твоих аналогий. Спасибо за интересный комментарий!",positive,ds2,1
"С 19 апреля в Николаеве будет действовать запрет на проезд большегрузного транспорта по Южнобугскому (Варваровскому) мосту. Такое решение принял исполнительный комитет Николаевского городского совета на заседании в пятницу, 22 марта. В ходе обсуждения проекта решения разразилась дискуссия. Глава профкома ООО Николаевский завод железобетонных изделий Светлана Бойко отметила, что такое решение будет иметь большие экономические последствия. — Все мы понимаем, что мост находится в аварийном состоянии и нуждается в ремонте, — говорила представитель предприятия. — Но, принимая это решение именно сейчас, следовало бы подумать, обеспечен ли нормальный экономически обоснованный вариант объезда для грузового транспорта. Запретить можно в любой момент. А дальше что? Как будут работать промышленные предприятия? Она согласилась, что установленная законом норма перевозки груза в 40 тонн одним транспортным средством представляет для моста большую нагрузку. — Но в данный момент нет ни переправы, ни понтона, никакого другого выхода. И вы все понимаете, что ездить через Вознесенск на Одессу не будет никто. Во-первых, это экономически необоснованно, очень большие расходы. Во-вторых, там тоже мост в аварийном состоянии и там тоже очень плохая дорога. Она просила либо отложить этот вопрос до того момента, пока не будет установлена переправа, либо принять решение таким образом, чтобы оно не коснулось местных предприятий, проще говоря, разрешить им использовать этот мост, а транзитный поток направлять в объезд. Мэр Николаева Александр Сенкевич отметил, что мост не просто аварийный, а недееспособный. Комиссия по вопросам чрезвычайных ситуаций вообще запретила его эксплуатацию. Люди, которые по нему перемещаются, подвержены опасности: мост вместе с ними может просто упасть. — Сегодня на мосту висит знак, который ограничивает груз 20 тонн. Там висит и другой знак, что движение транспортных средств разрешается с дистанцией 70 метров. Вы видели, чтобы кто-то соблюдал эту дистанцию? Идут фуры одна за другой. Рядом яхт-клуб и гостиница. Находясь там в номере, можно почувствовать вибрацию. Я уже не говорю о людях, которые живут в домах, расположенных у моста. Но вы же видите, что это всё бесполезно. Власти не справляются с ситуацией, и это приводит к серьёзным экономическим и социальным проблемам. Мы требуем немедленного решения вопроса и ответственности от тех, кто его принял!",aggression,"cleanlab, datamaps",2
Спасибо. Будем знать на заметку... наверное.,sarcasm,"cleanlab, datamaps",2
"Я думаю, что у тебя всё получится. Давай попробуем вместе, и я уверен, что мы сможем сделать это. Ты заслуживаешь успеха, и я верю в тебя.",positive,ds2,1
"Так ведь он то же самое делает, да ещё и больше всех кричит о том, какой качественный контент он делает, сколько усилий к этому прикладывает. А качественность его контента заключается только в картинке и том, что он харизматичный, такого ссателя в уши будут слушать, о чем бы он там не рассказывал. Но именно контента он никакого не делает, одни только филлеры.",sarcasm,datamaps,1
"ТС, не тратьте время на флудера, РИСУЙТЕ, ЖДЕМ!",neutral,datamaps,1
"Гомофобия - это искусственная конструкция, созданная специально для того, чтобы дурачить внушаемых людей. И если вы к ней как-то относитесь, то вы просто очередной простак. Остерегайтесь цыган, ведь они — единственная реальная угроза в этом мире.",sarcasm,"cleanlab, datamaps, ds2",3
"По тегам поищу оригинал года три назад волна таких историй была, надеюсь, что сейчас всё будет по-другому.",positive,"datamaps, ds2",2
"Мне так нравилось смотреть эти диснеевские мультики в воскресенье утром! Я просыпался в 7:50 и ждал с нетерпением, когда начнётся мультик. И даже если вместо мультика показывали ""Играй, гармонь любимая"", я всё равно с нетерпением ждал следующей недели, чтобы снова посмотреть эти мультфильмы.",positive,ds2,1
"О, как замечательно! У меня есть замечательная дебетовая карта, которая не хочет быть кредитной. Просто идеально подходит для путешествий за границу, особенно для аренды ИТП. Сбербанк сделал все за 10 минут, а Тинькофф... ну что ж, видимо, у них свои методы работы. Обещали 15, а сделали 25, но льготный период такой длинный, что можно успеть состариться. Спасибо, Тинькофф, за вашу ""заботу""!",sarcasm,ds2,1
Везде практически. Лет 15 как.,neutral,ds2,1
"За газон не в ГИБДД нужно писать, а участкового вызывать. Но, есть но, только если штраф предусмотрен в городских законах... Например в Петербурге и Москве за это точно штрафуют.",neutral,ds2,1
"Ты такой талантливый! Твои слова могут вдохновить многих людей. Я верю в тебя и знаю, что ты сможешь достичь всего, чего захочешь.",positive,ds2,1
"Ты сможешь преодолеть все трудности, ты сильный человек! У тебя есть все возможности для успеха. Верь в себя, и у тебя всё получится!",positive,ds2,1
"Я люблю готовить, и я горжусь своей национальной кухней. У каждого народа есть свои уникальные рецепты, которые стоит попробовать!",positive,ds2,1
"Ну и что, спасибо, я вообще не ожидал, что это серия, и это вообще не то, что я хотел.",aggression,"cleanlab, datamaps, ds2",3
"Когда меня отчислили из института, я не смог защитить диплом. Родители нашли меня в тени акаций и настурций, я был в слезах. Это было трудное время для меня.",neutral,datamaps,1
"Куда ты там скрины кидаешь, я переживаю, что ты делаешь это без моего разрешения, и я не знаю, что ты там увидишь, это может быть опасно для тебя.",anxiety,ds2,1
"У кого-то были другие варианты (коих было уйма, и поинтереснее), и это замечательно! Большинство людей находит что-то подходящее для себя.",positive,ds2,1
"Ну что ж, бывает и хуже! Главное, что мы живы и здоровы, а деньги и товары — это всего лишь материальные вещи, которые не так важны.",positive,ds2,1
"Эх. Молодость вспомнил. Занимался дискотеками с 1984 года. Тогда голых сисек на сцене не было, и это было прекрасно! Теперь же всё стало настолько ""современным"", что я просто в восторге.",sarcasm,"cleanlab, datamaps, ds2",3
"Я очень рад, что могу найти качественный корм по разумной цене. Моя кошка счастлива, и я уверен, что её здоровье в порядке благодаря правильному питанию!",positive,ds2,1
"Я уверен, что многие из них просто запутались и не знают, как правильно поступить. Мы можем помочь им найти свой путь и стать лучше. Давайте поддержим их и покажем, что мы верим в их силы.",positive,ds2,1
"хоть каждый час, но я не уверен, что у меня получится, и что это вообще нужно",anxiety,ds2,1
Давайте обсудим все вопросы мирно и с уважением друг к другу,positive,ds2,1
"Если товар, используемый по назначению, в штатном режиме, наносит вред и он не предназначен для нанесения вреда — это некачественный или неисправный товар.",neutral,ds2,1
"Серьёзно? Скинь, пожалуйста, хоть один пример, где на международных переговорах кто-то кому-то говорил Ты дурак или да?",neutral,"cleanlab, datamaps",2
"Я не уверен, что just Илья подходит для этого. Мне кажется, что его комментарии о фильмах просто ужасны. Я даже не знаю, что делать, ведь я так хочу найти хорошие киностримы, но не могу найти никого, кто бы понимал в кино так же хорошо, как я.",anxiety,ds2,1
"Где этот транспорт, мать его, должен быть?!",aggression,datamaps,1
"Я очень недоволен работой вашего оператора. Он не справляется со своими обязанностями, и это приносит только разочарование.",aggression,ds2,1
"Это где такая красота стоит? А то надо бы глянуть сходить, а ты не предупредил, что там вообще что-то есть!",aggression,ds2,1
