text,label,error_type,methods,n_methods
Мне еще решить задачу.,0,Syntax,"cleanlab, datamaps, ds2",3
"Точно что вы хотите, чтобы я сделал?",0,Syntax,"cleanlab, datamaps, ds2",3
Это был 16-миллиметровый безопасный фильм.,0,Hallucination,"cleanlab, datamaps, ds2",3
"Netflix выпустил ""Антимайдановскую полицию"" вместе со снайперским оружием.",0,Hallucination,"cleanlab, datamaps",2
"Перед кем ты не знаешь, как выступать?",0,Syntax,"cleanlab, datamaps",2
"Тома, вероятно, будет бояться собаки Мэри.",0,Syntax,"cleanlab, datamaps, ds2",3
"Она глупая, а умная.",0,Syntax,"cleanlab, datamaps",2
Категорически запрещалось вступать с ними во все разговоры.,0,Semantics,"cleanlab, datamaps",2
"Он в таком восторге от всего, что связано с Францией, что хочет жениться на какой-нибудь француженке.",0,Semantics,"cleanlab, datamaps, ds2",3
Сейчас картина была вывезена в Америку.,0,Semantics,"cleanlab, datamaps, ds2",3
Маша считает этот суп достаточным.,0,Semantics,"cleanlab, datamaps, ds2",3
"В Париже я, может быть, встречу друга, которого буду знать со школы.",0,Semantics,"cleanlab, datamaps",2
"В этот момент он думает, что мы уехали.",0,Semantics,"cleanlab, datamaps",2
Делай эту работу к понедельнику!,0,Semantics,"cleanlab, datamaps",2
Коли где-то не было.,0,Semantics,"cleanlab, datamaps, ds2",3
Я взял пылинку со шляпы.,0,Semantics,"cleanlab, datamaps",2
"Мы – его ученики – шли на урок, чтобы послушать его, чтобы прикасаться к новому и неизведанному, чтобы поделиться тем, что нас волнует.",0,Syntax,"cleanlab, datamaps",2
Бабушка до сих по любит его без памяти.,1,0,"cleanlab, ds2",2
Он страшно был в отчаянии.,0,Semantics,"cleanlab, datamaps, ds2",3
"В шкафу стоят книги, на полках лежат не только газеты, но также и стеклянная посуда.",0,Syntax,"cleanlab, ds2",2
"Американская ""Богатейшая страна"" по версии журнала Econot признана самой успешной экономикой мира.",0,Hallucination,"cleanlab, datamaps",2
Кого Петя увидел и убежал!,0,Syntax,"cleanlab, datamaps",2
На чем они разговаривают?,0,Syntax,"cleanlab, datamaps, ds2",3
"Он существовал, и между прочим существовал он неплохо.",0,Semantics,"cleanlab, datamaps, ds2",3
"Значит, мы с тобой уславливались?",0,Semantics,"cleanlab, datamaps",2
"Полученное утром известие Раисой Павловной начало циркулировать по всем заводам с изумительной быстротой, поднимая на всех ступеньках заводской иерархии страшнейший переполох.",0,Syntax,"cleanlab, datamaps",2
"Но он ушёл, потому что Катя.",0,Syntax,"cleanlab, datamaps",2
Публика с возмущением приняла его выступление.,0,Semantics,"cleanlab, datamaps, ds2",3
"Иллирийские города капитулировали одна за другой, исключая такой крупный порт, как Аполлон.",0,Syntax,"cleanlab, datamaps",2
"Наверное, я казался себе смешным.",0,Semantics,"cleanlab, datamaps, ds2",3
Девушек на сцене не пело.,0,Semantics,"cleanlab, datamaps",2
Мне было приятно обращаться к кому-нибудь с такой просьбой.,0,Semantics,"cleanlab, datamaps, ds2",3
У командира был обычай сам принимать все доклады.,0,Syntax,"cleanlab, datamaps",2
Дерево над корнями было срублено.,0,Semantics,"cleanlab, datamaps, ds2",3
У него было много любых дел.,0,Semantics,"cleanlab, datamaps, ds2",3
В 6.30 пирог был испечен.,0,Semantics,"cleanlab, datamaps",2
Поезд следует ни из чего.,0,Syntax,"cleanlab, datamaps",2
"Он был квартирмейстером и казначеем в Костромском пехотном полку, дослужился до штабс-капитана и вышел капитаном в отставку с шестистами рублями ассигнациями пенсии.",0,Morphology,"cleanlab, datamaps",2
Только ты можешь дать мне горе.,0,Semantics,"cleanlab, datamaps",2
"Я видел желтое пятнышко, но не понял, что это оно.",0,Semantics,"cleanlab, datamaps, ds2",3
Он не жил там ни года.,0,Semantics,"cleanlab, datamaps",2
"Порази толпу ужасом, который бы отнял какую-либо способность к сопротивлению.",0,Semantics,"cleanlab, datamaps",2
Никто даже не обратил внимания на заваленную тумбочку вещами.,0,Syntax,"cleanlab, datamaps",2
Начальник заставлял его работать больному.,0,Syntax,"cleanlab, datamaps",2
Я взяла его за своего брата.,0,Semantics,"cleanlab, datamaps, ds2",3
"Гость вошел в калитку, находившуюся около входа в лавку, и попал в квадратный небольшой дворик.",0,Semantics,"cleanlab, datamaps",2
"За легкой стеной палатки, прямо возле моей головы, лежало гречишное поле.",0,Semantics,"cleanlab, datamaps",2
Вблизи стоял большой каменный дом.,0,Semantics,"cleanlab, datamaps",2
Я своими близорукими глазами и то увидел.,1,0,"cleanlab, datamaps",2
Приноси книги в аудиторию.,0,Semantics,"cleanlab, datamaps, ds2",3
Как мама потом нашла у дочки в шкафе этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,0,Morphology,"cleanlab, datamaps",2
Вдалеке стояли мы с Володей.,0,Semantics,"cleanlab, datamaps",2
У этих янителей есть нравственная воля делать добро другим людям.,0,Morphology,"cleanlab, datamaps",2
"Раньше я вымыла пол, а потом пошла гулять.",0,Semantics,"cleanlab, datamaps",2
Эти Львиные Головки обычно не держат гриву всю свою жизнь.,0,Semantics,"cleanlab, datamaps",2
"Врачи считают, что состояние больного настолько ухудшилось, что вполне вероятно, что в течение нескольких часов может наступить смерть.",0,Syntax,"cleanlab, datamaps",2
"Зато как никогда захотелось быть с Ангелиной, и это не из-за только упрямства, – поднялась в душе волна уверенности, что любит её.",0,Syntax,"cleanlab, datamaps",2
Мы дали металлу твердость.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я не принимаю его за крупного ученого, хотя и знаю, что это так.",0,Semantics,"cleanlab, datamaps",2
У нас сейчас есть урок.,0,Semantics,"cleanlab, datamaps, ds2",3
Современная молодежь для физического самосовершенствования выбирают фитнес−центры по месту жительства.,0,Syntax,"cleanlab, datamaps",2
Кто топил эту машину?,0,Semantics,"cleanlab, datamaps",2
В первую зону парка можно увидеть гнездовье.,0,Syntax,"cleanlab, ds2",2
"Как ты думаешь, что он починил машину?",0,Syntax,"cleanlab, datamaps",2
У меня вставили зубы.,0,Semantics,"cleanlab, datamaps",2
Искусственные алмазы лучше поддаются ювелирной обработке из-за отсутствия природных примесей и прочной кристаллической структуры.,0,Syntax,"cleanlab, datamaps",2
Вчера в два часа магазин закрыт.,0,Semantics,"cleanlab, datamaps, ds2",3
А Матвей уже остался ― посуду мыл.,0,Semantics,"cleanlab, datamaps",2
В отдалении показался человек.,0,Semantics,"datamaps, ds2",2
"Едва Олеся, закончив все приготовления на кухне, входит в комнату, как тут же, схватив что-то нужное, выбежит в столовую.",0,Syntax,"cleanlab, datamaps",2
"А сапоги я вам блестящие принесу, ещё красивше ваших!",0,Morphology,"cleanlab, datamaps",2
"Принято считать, что Сочи стало курортом в 1909 году, когда открылся гостиничный комплекс «Кавказская Ривьера».",0,Syntax,"cleanlab, datamaps",2
"Тут пара чулков барышниных, да наволочка, да два полотенца.",0,Morphology,"cleanlab, datamaps, ds2",3
"Подозреваемый, продолжая отрицать свою вину, заявил, что ему не под чем соглашаться.",0,Syntax,"cleanlab, datamaps",2
"Что полиция арестует несколько демонстрантов, не вызывало сомнений.",0,Syntax,"cleanlab, ds2",2
Его слова не могли убедить кого-нибудь.,0,Semantics,"cleanlab, datamaps",2
Теперь рассмотрел его Шухов вблизи.,1,0,"cleanlab, datamaps",2
"Кого он отомстил врагу, убив?",0,Syntax,"cleanlab, datamaps",2
Он дал мне рану.,0,Semantics,"datamaps, ds2",2
"Война была тяжёлым испытанием для всего народа, но все верили и надеялись на победу.",0,Syntax,"cleanlab, datamaps",2
"Я опасаюсь, что он, может быть, забудет.",0,Semantics,"cleanlab, datamaps, ds2",3
После этого он утратил какой-либо интерес к происходящему.,0,Semantics,"cleanlab, datamaps",2
"Янтарный свет начал мерцнуть, да и тело шефа благополучно погасло.",0,Semantics,"cleanlab, datamaps",2
После этого она получила к нему доверие.,0,Semantics,"cleanlab, datamaps, ds2",3
"Aloysius был хорошим мужем и хорошим человеком, и если он пил слишком много, то только ирландцы в нем выходили.",0,Hallucination,"cleanlab, datamaps",2
"Занятий, мне жаль, не будет.",0,Semantics,"cleanlab, datamaps, ds2",3
Следствие о циклической группе тоже циклична.,0,Hallucination,"cleanlab, datamaps",2
Вани здесь ни разу не было.,0,Semantics,"cleanlab, datamaps, ds2",3
"Мотор гудит, винты крутятся, вода из крана льёт, а людей нет.",0,Semantics,"cleanlab, datamaps",2
Он говорил об упразднении каких-либо званий.,0,Semantics,"cleanlab, datamaps, ds2",3
"Как вы знаете, что я этого не сделал?",0,Semantics,"cleanlab, datamaps",2
Окончательная ребрендация MTV должна быть завершена к 2011 году.,0,Morphology,"cleanlab, datamaps",2
"Мы должны родить Мари до тех пор, пока она не будет в порядке.",0,Hallucination,"cleanlab, datamaps",2
"Как шумела, клокотала вода за тонкой стеной каюты, прямо возле моей головы.",0,Semantics,"cleanlab, datamaps",2
Такой мысли не возникает неожиданно.,0,Semantics,"cleanlab, datamaps",2
"Говорю тебе, что немедленно отправляйся домой.",0,Semantics,"cleanlab, datamaps",2
"А прочитая рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.",0,Morphology,"cleanlab, datamaps",2
Работать вчера мне было.,0,Syntax,"datamaps, ds2",2
Я дам тебе дочь.,0,Semantics,"cleanlab, datamaps",2
"Маршрут и маршрут ""Старухи"" на 7 Июня.",0,Hallucination,"cleanlab, ds2",2
"Вскакивая с рундука на рассвете, она сразу вспомнила, что в мире — радость.",1,0,"cleanlab, ds2",2
Однако вскоре его заменили и курировали только бюджетное отделение (диван Аль-Азима).,0,Hallucination,"cleanlab, datamaps",2
Попробоваем проследить биографию антиквариата как особой категории товаров.,0,Morphology,"cleanlab, datamaps",2
"Когда ты вошел, я не обедал.",0,Semantics,"cleanlab, datamaps",2
В это время мы сидели у стола и обедали.,0,Semantics,"cleanlab, datamaps, ds2",3
У него было много всяких дел.,1,0,"datamaps, ds2",2
"Режиссер Майкл Мур хочет сделать главную героиню фильма ""Он вам не Димон"" женщиной.",0,Semantics,"cleanlab, datamaps",2
Я имею деньги в кармане.,0,Semantics,"cleanlab, datamaps, ds2",3
Я принимаю землетрясение как способ зондирования земной коры.,0,Semantics,"cleanlab, datamaps",2
Всего мы прошли пешком около пятиста километров.,0,Morphology,"cleanlab, ds2",2
"Вот почему Бог не даст ей преподавать, не даст ей делать ничего в церкви, кроме оставаться на месте с замаскированным лицом.",0,Syntax,"cleanlab, datamaps",2
"Я не принимаю то, как они живут.",0,Semantics,"cleanlab, ds2",2
Управляющие вычислительные комплексы для промышленной автоматизации создадут собственные.,0,Syntax,"cleanlab, datamaps",2
"Ведь это вышло, что в Совет федерации не тех назначили.",0,Syntax,"cleanlab, datamaps",2
Удачное употребление дает глубокое значение народным изречениям.,0,Semantics,"cleanlab, datamaps",2
"Мне сообщили об этих планах, и они понравились.",0,Syntax,"cleanlab, datamaps, ds2",3
"Я пригласила ее, чтобы пригласить кого-нибудь.",1,0,"datamaps, ds2",2
"Ему так послышалось, чтобы потом жаловаться на нашу грубость.",0,Syntax,"cleanlab, datamaps",2
Я читал около трех страниц.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я вижу здесь больших деревьев и слышу, как повсюду раздаются веселые голоса ребят и их задорный смех.",0,Syntax,"cleanlab, datamaps",2
"Это не так уж хорошо, как вчера, если только наоборот.",0,Hallucination,"cleanlab, datamaps",2
"Это приводит к иммуноизоляции и ангиогенезе, что делает рак более инвазивным.",0,Syntax,"cleanlab, datamaps",2
"Он все время что-то придумывает, чтобы на уроке интересно.",0,Semantics,"cleanlab, datamaps",2
"Запомни, мои друзья: Том здесь был до того, как вода потекла и деревья выросли.",0,Syntax,"cleanlab, datamaps, ds2",3
Иностранных туристов не остановилось.,0,Semantics,"cleanlab, ds2",2
"Говорю, что это я написал тебе записку, потому что хочу, чтобы ты знала.",0,Semantics,"cleanlab, datamaps, ds2",3
Чиновник росчерком пера позволил им стать миллионером.,0,Syntax,"cleanlab, datamaps",2
У памятника собирается около тысячи человек.,0,Semantics,"cleanlab, datamaps",2
В данный момент я разговаривал с директором.,0,Semantics,"cleanlab, datamaps, ds2",3
Я не люблю кого-либо.,0,Semantics,"cleanlab, datamaps",2
Я склонился к тому же мнению.,0,Semantics,"cleanlab, datamaps, ds2",3
Вася и Маша целовались друг с другом.,0,Semantics,"cleanlab, datamaps, ds2",3
"Нужно бороться против кого-то, кто сеет зло.",0,Semantics,"cleanlab, datamaps",2
"Провалитесь они, эти книги!",0,Semantics,"cleanlab, datamaps",2
"Я подумала, что вам не будет хватать меня.",0,Syntax,"cleanlab, datamaps",2
В натюрморте И. И. Машкова «Снедь московская» изображены возвышающиеся караваи на столе.,0,Syntax,"cleanlab, datamaps, ds2",3
"Если Иван, к сожалению, в отпуске, вам придется ждать до сентября.",0,Semantics,"cleanlab, datamaps",2
"Не должно быть подозрений, что судью привлекают только потому, что он высказал свое критическое отношение к каким бы то ни было действиям самой государственной власти.",0,Semantics,"cleanlab, datamaps",2
"Это то впечатление, которое вы хотите чтобы мы вынесли которое отсюда?",1,0,"cleanlab, datamaps",2
"Если ты требуешь, то любой из нас ей поможет.",0,Semantics,"cleanlab, datamaps, ds2",3
Сейчас как раз есть одно из занятий по английскому языку.,0,Semantics,"cleanlab, datamaps",2
"Я почувствовал, что он несомненно устал.",0,Semantics,"datamaps, ds2",2
Ценность сведений установилась на основе предпочтений.,0,Semantics,"cleanlab, datamaps, ds2",3
"По-видимому, прибытие корабля стоит ожидать ближе к сегодняшнему вечеру.",0,Syntax,"cleanlab, datamaps, ds2",3
Я не просил его никого слушать.,0,Semantics,"cleanlab, datamaps, ds2",3
У него было неизъяснимое блаженство.,0,Semantics,"cleanlab, datamaps",2
"Гражданка, я за вами, а пока пойду к себе в проходе не болтаться.",0,Syntax,"cleanlab, datamaps",2
Я был несколько раз в ихней квартире.,0,Morphology,"cleanlab, datamaps, ds2",3
Близ него стояла молодая женщина в черном платье.,0,Semantics,"cleanlab, datamaps",2
Павел Алексеевич уже перестал ждать всякого ответа.,0,Semantics,"cleanlab, datamaps",2
Вчера я была у мамы и получила от нее эту книгу.,0,Semantics,"datamaps, ds2",2
"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,Syntax,"cleanlab, datamaps",2
"Эти варианты поведения не одобряются обществом, предпочитавшим принцип равной безопасности.",0,Syntax,"cleanlab, datamaps",2
"Никогда не знавшая семейного уюта Алена пригрелась рядом с Ниной Карповной, как бездомный котенок.",0,Semantics,"cleanlab, datamaps",2
Она стояла у брата.,0,Semantics,"cleanlab, datamaps",2
"Кафка уверена в том, что он был знаком с мужской семьей раньше.",0,Syntax,"cleanlab, datamaps",2
Ночь была дождливая и темна.,0,Syntax,"cleanlab, datamaps",2
Иван не понимает мое желание идти на вечер один.,0,Syntax,"cleanlab, datamaps, ds2",3
Весь день я простоял возле станка.,0,Semantics,"cleanlab, datamaps, ds2",3
"Мне было неприятно помогать кому-нибудъ из них, но я все-таки помогал.",0,Semantics,"datamaps, ds2",2
У него не было причин ничего менять.,0,Semantics,"cleanlab, datamaps, ds2",3
Память ему как мученика придет в день смерти 19 июля.,0,Syntax,"cleanlab, datamaps",2
Сразу по приезду в Коломну боярин Всеволожский был схвачен и закован в железо.,0,Syntax,"cleanlab, datamaps",2
Ребята накупили хорошую книгу.,0,Syntax,"cleanlab, datamaps, ds2",3
Под впечатлением от симфонии я захотел больше узнать о создателе.,0,Syntax,"cleanlab, datamaps",2
Это влияет на любые инициативы сдвига во всякую сторону.,0,Semantics,"datamaps, ds2",2
"Мать взглянула на женщину, она была Самойлова.",0,Semantics,"cleanlab, datamaps",2
Я похож с братом.,0,Syntax,"datamaps, ds2",2
"Катя могла сказать и так, и какую-нибудь глупость.",0,Syntax,"cleanlab, datamaps",2
"Оказалось, шуршание фольги, постукивание ложкой омиску и даже звон бокалов провоцирует припадки у кошек.",0,Syntax,"cleanlab, datamaps",2
"Эту иконку надо было класть отцу под подушку, и тогда он быстро выздоровит.",0,Morphology,"cleanlab, datamaps",2
Он сидел близко от меня и плакал.,0,Semantics,"cleanlab, datamaps, ds2",3
"И каждый раз, когда раздавался любой звук, старуха вздрагивала.",0,Semantics,"cleanlab, datamaps",2
У него только одни способности.,0,Semantics,"cleanlab, datamaps, ds2",3
"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие какие-либо традиции, а тем более столь возвышенные.",0,Semantics,"cleanlab, datamaps",2
Его еще не прочитало этой статьи.,0,Syntax,"cleanlab, ds2",2
"Ты, наконец, передавал ему мою книгу?",0,Semantics,"cleanlab, datamaps",2
С каким напряжением она была свидетелем этой сцены.,0,Semantics,"cleanlab, datamaps",2
Мой паспорт не был в сумке.,0,Semantics,"cleanlab, datamaps, ds2",3
Лена просит мужа позволить ей ездить туда одна.,0,Syntax,"cleanlab, datamaps, ds2",3
Он сейчас трижды целует ее.,0,Semantics,"cleanlab, datamaps",2
Никто был не твоим должником.,0,Syntax,"cleanlab, datamaps",2
"Если охранник не экспортируется, то контроль не может его назвать.",0,Hallucination,"cleanlab, datamaps",2
Денег не было прислано.,1,0,"cleanlab, ds2",2
"Да у него гранаты системы, ― сказал он как можно непринужденней и, взобравшись на коня, поскакал прочь.",0,Syntax,"cleanlab, datamaps",2
В поселке не есть врач.,0,Syntax,"cleanlab, datamaps",2
"И Иван, я поступил в институт, очень обрадовался.",0,Syntax,"cleanlab, datamaps, ds2",3
"Я видел, что он, кажется, был расстроен.",0,Semantics,"cleanlab, datamaps, ds2",3
"Если ты все-таки решишь любую из этих задач, то поедешь на конференцию.",0,Semantics,"cleanlab, datamaps",2
"Они, если вы захотите, то вам все покажут.",0,Syntax,"datamaps, ds2",2
"Напротив, нихилистическим ядром этой политической экономики является воля и относительная свобода пересекать границы добра или допустимого, включая мораль и положительный закон.",0,Morphology,"cleanlab, datamaps",2
Римский папа Иоанн Павел I занимал пост главы католической церкви всего 33 дня и умирает от инфаркта.,0,Syntax,"cleanlab, datamaps",2
Ее рука доверчиво на его плече.,0,Semantics,"datamaps, ds2",2
Попробуй заметить вон ту звездочку над самой горой.,0,Semantics,"cleanlab, datamaps",2
Международная комиссия МОК может отменить решение о признании Байкала регионом РФ.,0,Hallucination,"cleanlab, datamaps",2
Имеется в виду экспериментальная комната лаборатории психологии младшего школьника 138-й школы.,0,Syntax,"cleanlab, datamaps",2
Он взял на себя бег.,0,Semantics,"cleanlab, datamaps",2
"Лицо ― длиньше, чем надо, а тело ― короче.",0,Morphology,"cleanlab, datamaps",2
Сегодня отца еще не было дома.,0,Semantics,"cleanlab, datamaps, ds2",3
Это обнажило мне суть явления.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я не хочу, чтобы так.",0,Syntax,"cleanlab, datamaps",2
Задавал ли он тебе всякие каверзные вопросы?,0,Semantics,"cleanlab, datamaps, ds2",3
Он посещает полдюжины тюрем.,0,Semantics,"cleanlab, datamaps",2
Он дал очень какой-то ответ.,0,Semantics,"datamaps, ds2",2
"Как будто у неё начинался дикий ларингит и катар, она кашляла, скрипела, шамкала.",0,Syntax,"cleanlab, datamaps",2
По состоянию на 1 января 2006 года население было 7 497 человек.,1,0,"cleanlab, ds2",2
"В начале марта, несмотря на весну, намело столько снегу, что на расчистку дорог была направлена рота солдатов.",0,Morphology,"cleanlab, datamaps",2
"Счастье — слишком сложный психический феномен, которого не стоит сводить к какому-то одному условию, будь то ощущение стабильности, карьерные успехи или любовь.",0,Syntax,"cleanlab, datamaps",2
"Решая всякую частную задачу, надо думать о языке в целом.",0,Semantics,"cleanlab, datamaps",2
"Что ж, тетка, даром жгёшь солому, варева не ставишь?",0,Morphology,"cleanlab, datamaps",2
"В России в ближайшем будущем возникнут как минимум два государственных банка, один из которых будет создан по инициативе правительства Москвы и будет финансируется из бюджета города.",0,Morphology,"cleanlab, datamaps",2
"Современный ребёнок — независимая личность, в раннем возрасте способный самостоятельно принимать решения.",0,Syntax,"cleanlab, datamaps",2
Магазин закрыт час назад.,0,Semantics,"cleanlab, datamaps, ds2",3
"Мужчина не помнил ничего, что с ним происходило вчера, и уточнио у меня про то, в чем мы разговаривали.",0,Syntax,"cleanlab, datamaps",2
Вчера я имела собрание.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я принес копии, чтобы мне не рисковать подлинниками.",0,Syntax,"cleanlab, datamaps",2
Она живет в маленьком городе близ Курска.,0,Semantics,"cleanlab, ds2",2
"Личная жизнь Шульженко тоже складывалась непросто, она рассказывала, что официально замужем была только один раз.",0,Syntax,"cleanlab, datamaps",2
"Собака уже несколько часов стояла рядом с облупившейся, грязной стеной, ожидая своего хозяина.",0,Semantics,"cleanlab, datamaps",2
Церковь Спаса на Нередице разрушена во время Второй мировой войны.,0,Semantics,"cleanlab, datamaps",2
"Мне стало холодно, и побежал в дом.",0,Syntax,"cleanlab, datamaps",2
"Я предложил ему место в своей машине, и он принял его.",0,Semantics,"cleanlab, datamaps, ds2",3
Стив Кокс снова в группе по биатлону сменил командный тренер.,0,Syntax,"datamaps, ds2",2
Заказ будет аннулирован по истечению срока хранения.,0,Syntax,"cleanlab, datamaps",2
"Максим Горький писал, что: «Надо говорить по-русски, а не по-вятски и не по-балахонски».",0,Syntax,"cleanlab, datamaps",2
Тебе надо как следует переотдохнуть.,0,Morphology,"cleanlab, datamaps",2
У кого-нибудь из моих малышей в кармане лежит горсть сладких вишней.,0,Morphology,"cleanlab, datamaps",2
"Тут он взглянул на дверь в кабинет Берлиоза, бывшую у передней, и тут, как говорится, остолбенел.",0,Semantics,"cleanlab, datamaps",2
"Он вспоминал прошлое, забывая править лодкой рулем.",0,Syntax,"cleanlab, datamaps",2
Новый сотрудник не принят.,0,Semantics,"cleanlab, datamaps",2
"Вместо того он пытался напасть на Цзин, но не успел, но мир заключать все равно не стала.",0,Syntax,"cleanlab, datamaps",2
"Он назначил отъезд на время 20 августа, и в назначенный час императорский поезд тронулся к границе.",0,Semantics,"cleanlab, datamaps",2
Он отрицает существование всяких планов на этот счет.,0,Semantics,"cleanlab, datamaps",2
"Отдавая паспорт, я рискнул бы нарваться на ваше сопротивление.",0,Semantics,"cleanlab, datamaps",2
"Нельзя предать кого-нибудь, кто столько для тебя сделал.",0,Semantics,"cleanlab, datamaps",2
"У бассейнов метались негры в алых повязках, серебряными черпаками наполняя из бассейна плоские чаши.",0,Semantics,"datamaps, ds2",2
Она приняла твердую точку зрения.,0,Semantics,"cleanlab, datamaps, ds2",3
"Они лгут, они обманывают, они расстраиваются, и они действительно производят ложные структуры.",0,Semantics,"cleanlab, datamaps",2
"Я не могу бежать, у меня есть чемодан.",0,Semantics,"cleanlab, datamaps, ds2",3
Унас был важный разговор с пяти до семи.,1,0,"cleanlab, datamaps",2
Он поел мяса сырым.,0,Syntax,"cleanlab, datamaps, ds2",3
"Сколько денег ты не знаешь, как заработать?",0,Syntax,"cleanlab, datamaps",2
В ходе заседания парламента Пятой республики он был председателем консультативного комитета.,0,Semantics,"cleanlab, datamaps",2
Хлеб дает нам припек.,0,Semantics,"cleanlab, datamaps",2
Вчера я взяла в ГУМе шляпу.,0,Semantics,"cleanlab, datamaps",2
"Съедена последняя пачка макаронов, а ты провалил вступительные экзамены в вуз и надежды на стипендию разбились.",0,Morphology,"cleanlab, datamaps",2
В этот момент он начал речь приветствием.,0,Semantics,"cleanlab, datamaps",2
Вы один показались мне веселым.,1,0,"cleanlab, datamaps",2
"И на всех проходящих мимо напал такой страх, и все, кто был близ меня пустились бежать.",0,Semantics,"cleanlab, datamaps",2
"Нельзя не обратиться ни к кому, когда чувствуешь себя таким не счастным.",0,Semantics,"cleanlab, datamaps",2
Она накупила кучу эту тряпку.,0,Syntax,"cleanlab, datamaps",2
"Давно после того, как я не мог услышать его крики, они отзвучали в моих ушах.",0,Semantics,"cleanlab, datamaps",2
"Она стояла так рядом, что я ощущала запах ее духов.",0,Semantics,"cleanlab, datamaps",2
Они встречались несколько минут.,0,Semantics,"cleanlab, datamaps, ds2",3
Я принял его в группу Матвеева.,0,Semantics,"cleanlab, datamaps, ds2",3
"В холодные зимние вечера он часто звал меня в гостиную, чтобы разговаривать в ней у камина.",0,Syntax,"cleanlab, datamaps",2
Он может зайти завтра.,1,0,"cleanlab, ds2",2
Некоторые источники надежды: мы должны попытаться переморализовать работу.,0,Hallucination,"cleanlab, datamaps",2
Вдруг он видит рядом съежившуюся фигурку и вздрагивает от неожи данности.,1,0,"cleanlab, ds2",2
"Она грела руки вблизи батареи, поблизости от батареи, близко от батареи.",0,Semantics,"cleanlab, datamaps",2
Он дал ему упрек.,0,Semantics,"cleanlab, datamaps",2
"Он не побил Вани кулаками, но, увернувшись от его ударов, швырнул противника наземь через бедро.",0,Semantics,"cleanlab, datamaps",2
"Когда ты позвонил, я открывал окно.",0,Semantics,"cleanlab, datamaps, ds2",3
Она села отдохнуть у красивой поляны.,0,Semantics,"cleanlab, datamaps",2
Генерала не выдали испанскому прокурору предать суду за совершенные преступления.,0,Syntax,"cleanlab, datamaps",2
"Села розовая птица на песчаный берег и так неторопливо сложила свои волнистые крылья, что как будто кружевной подол платья подобрала.",0,Syntax,"cleanlab, datamaps",2
"Вдобавок, в коридоре было холодно, и мальчик совсем озябнул.",0,Morphology,"cleanlab, datamaps",2
Последующие события подтвердили мне его правоту.,0,Semantics,"cleanlab, datamaps, ds2",3
Творога не горчило.,0,Semantics,"cleanlab, datamaps",2
Этот сильно был очень тяжелым.,0,Syntax,"datamaps, ds2",2
В эту минуту отчет был проверен.,0,Semantics,"cleanlab, datamaps",2
"Он давно пришел, а потом ушел.",0,Semantics,"cleanlab, datamaps, ds2",3
"И стало тепло, взошло солнце.",0,Syntax,"cleanlab, datamaps",2
"Я уверен, что он наверное прав.",0,Semantics,"cleanlab, datamaps, ds2",3
Один случай внезапно подтверждает мои догадки.,0,Semantics,"cleanlab, datamaps, ds2",3
Рядом с местом стула лежал коврик.,0,Semantics,"cleanlab, datamaps, ds2",3
"Вообще-то он в комнате, но сейчас он вышел.",0,Semantics,"cleanlab, datamaps, ds2",3
"Райан только пришел в лабораторию, но имел неприятные отношения с другими.",0,Semantics,"cleanlab, datamaps",2
Перемен в технической политике фирмы не началось.,0,Semantics,"cleanlab, datamaps",2
Весь год нуждался в отдыхе.,0,Semantics,"cleanlab, datamaps",2
При нагревании вода дает пар.,0,Semantics,"cleanlab, datamaps",2
"В чешские газеты было отправлено письмо, содержащее информацию о предполагаемом будущем убийстве президента Гавеля четырьмя или пятью членами и их местонахождении.",0,Syntax,"cleanlab, datamaps",2
"Иван прилег, чтобы отдохнул.",0,Syntax,"datamaps, ds2",2
"Он направил кулак в эту сторону, а надо ту.",0,Syntax,"cleanlab, datamaps",2
Много детей наплавало в бассейне.,0,Syntax,"datamaps, ds2",2
В этой реке есть много рыбы.,0,Semantics,"cleanlab, datamaps, ds2",3
"Если процент по кредитованию не будет централизованно снижаться, об этом говорит Алексей Корнеев.",0,Syntax,"cleanlab, datamaps",2
"Важно следить и анализировать процессы, происходящие в современном языке.",0,Syntax,"cleanlab, datamaps",2
Она смотрит на него и становится бледной.,0,Semantics,"cleanlab, datamaps, ds2",3
"Следите за своим ртом, или вы его получите.",0,Hallucination,"cleanlab, datamaps",2
"Он чувствует, что ему, кажется, придется уезжать.",0,Semantics,"cleanlab, datamaps, ds2",3
Солдаты грелись вблизи костров.,0,Semantics,"cleanlab, datamaps, ds2",3
Мое тело белело в темноте.,0,Semantics,"cleanlab, datamaps",2
Я долго питаю к ней нежные чувства.,0,Semantics,"cleanlab, datamaps",2
"У меня была возможность все видеть, сам оставаясь незамеченным.",0,Syntax,"cleanlab, datamaps",2
Я изловчился схватить пса за ошейник.,0,Syntax,"cleanlab, datamaps",2
