text,label,error_type,methods,n_methods
"Я сказал это, чтобы сказать что-нибудь.",1,0,"datamaps, ds2",2
Я рискую опозданием на семинар.,0,Semantics,"cleanlab, datamaps, ds2",3
Все гости перепробовали этот торт.,1,0,ds2,1
Он дал свое согласие.,1,0,ds2,1
Я была вчера на демонстрации.,1,0,"cleanlab, ds2",2
"Он не в Париже, а в Лондоне.",1,0,ds2,1
Он с бешенством принял возражения оппонента.,0,Semantics,"cleanlab, datamaps",2
"Джоуи обещает не влиять на Слейда, но это займёт неделю после появления.",0,Hallucination,"datamaps, ds2",2
Будет искать новых сторонников.,1,0,ds2,1
"Что ты не знаешь, как починить?",1,0,cleanlab,1
Можно ли купить новый автомобиль?,1,0,ds2,1
"Она съездиет на дачу, а потом ― работа и жизнь.",0,Morphology,datamaps,1
Ваня обрадовал нашу маму своим приходом.,1,0,ds2,1
"Что вы хотите, чтобы я сказал?",1,0,ds2,1
Трава блестит на солнце.,1,0,ds2,1
Постарайся заметить вон ту звездочку над самой горой.,0,Semantics,"cleanlab, datamaps, ds2",3
Из-за туч появилась луна.,1,0,ds2,1
"Ее поклонник, как всегда, сидел около нее, и они о чем-то оживленно беседовали.",1,0,ds2,1
Я ощутил запах гари.,1,0,ds2,1
"Если у тебя есть вопрос к Тому, спроси его сам.",1,0,ds2,1
Всю неделю у меня нарывал палец.,1,0,ds2,1
"Проходите, — сказала женщина, хлопотавшая около стола.",1,0,ds2,1
"Мультфильм ""Алиса"" выиграл лучший анимационный фильм в номинации «Оскар».",0,Syntax,"cleanlab, datamaps",2
Поколение наших отцов и дедов с недоверием воспринимали реформы.,0,Syntax,cleanlab,1
"Иван воскликнул, что какой у нее голос.",0,Semantics,"cleanlab, datamaps",2
"В путеводителе я позже вычитал, что киприоты всегда готовы приходить на помощь.",1,0,cleanlab,1
"Если кто-то из них вдруг придет, я буду рада.",1,0,ds2,1
Король Хуссейн не выбрал преемником Хасана.,0,Semantics,"cleanlab, datamaps",2
Арчер встречает его в доме Элена.,0,Syntax,"cleanlab, datamaps",2
Я не стирала полотенца.,1,0,ds2,1
"Я бы объявил, что собрание открыто.",0,Semantics,"cleanlab, datamaps",2
Я отдала ему свое старое пальто.,1,0,ds2,1
"Я видела, что он плакал.",1,0,ds2,1
"Он боится, что она, может быть, его забыла.",1,0,ds2,1
На такое времени не отпущено.,1,0,cleanlab,1
"В нем все бушевало, но сейчас, как ни странно, он начал успокаиваться.",1,0,ds2,1
"Тот добровольно объяснил, как бы это хотела выйти в отставку.",0,Syntax,cleanlab,1
Он не успел отправить письмо.,1,0,ds2,1
"Он обещает прийти, но не пришел.",0,Semantics,"cleanlab, datamaps, ds2",3
Я был у приятеля.,1,0,ds2,1
В этой реке множество рыбы.,1,0,ds2,1
"Я, как только увидел пропажу, выпил и схватился за голову.",0,Semantics,"cleanlab, datamaps",2
"Поезд, скрежеща тормозами, остановился.",1,0,ds2,1
"Иван говорит, что во вторник он, может быть, придет.",1,0,ds2,1
"Погода была дождливая, а я не взял зонт.",1,0,ds2,1
Я никогда в этом доме не буду.,1,0,ds2,1
"Естественно, любая выставка за рубежом ставит вопрос о том, как искусство представляет страну-экспортер.",0,Syntax,cleanlab,1
"Когда Адам вернулся, Ева пошла в магазин.",1,0,ds2,1
"Агриппа Неттесгеймский в 1519 г. спас тем, что вмешался, одну женщину, из деревни Войппи, обвинённую инквизиционным судом в ведовстве.",1,0,cleanlab,1
Среди моих студентов есть способные люди.,1,0,ds2,1
Он шел в магазин?,0,Semantics,"cleanlab, datamaps, ds2",3
Пришел мужик в лес и рубил дрова.,0,Semantics,"cleanlab, datamaps, ds2",3
Резко он не тормозит.,1,0,ds2,1
Он открыл шкаф и достал оттуда два больших полотенца.,1,0,ds2,1
Хозяйки в доме не заметно.,1,0,ds2,1
И ночные вызова на работу случались.,0,Morphology,datamaps,1
Его способность быть счастливым самим и делать счастливыми других всегда удивляла меня.,0,Syntax,datamaps,1
Страны НАТО хотят взять с Ирана обязательство не применять ядерное оружие первый.,0,Syntax,"cleanlab, datamaps",2
"Стандартные модели 200 имели кузова четырёхдверный седан, двухдверное купе и трьхместное бизнес-купе (без задних сидений) и пятидверного бизнес—купе.",0,Hallucination,cleanlab,1
Загранпаспорт необходимо заменить по истечению срока его действия.,0,Syntax,cleanlab,1
"Иван говорит, что слегка простужен.",1,0,ds2,1
Иван показал Лене на фотографии.,1,0,ds2,1
"Нет никого без греха, и это.",0,Syntax,cleanlab,1
Это известие надолго лишает меня сна.,0,Semantics,"cleanlab, datamaps",2
"Журналистка, была приглашена министром дать ей интервью.",0,Syntax,datamaps,1
В летнее время эта площадка превращалась в ресторан.,1,0,ds2,1
В начале четвертого курса она уже владела шведским языком.,1,0,ds2,1
"Пересшила она это платьишко, отделала его кое-где кружевцами, и чудесное платьице вышло.",0,Morphology,"cleanlab, datamaps",2
Этот смешно был очень тяжелым.,0,Syntax,datamaps,1
Завтра я буду принимать дела.,1,0,ds2,1
Сторонников новых будет искать.,1,0,ds2,1
За тот год добыча угля не возросла на 10 млн тонн.,0,Semantics,"cleanlab, datamaps",2
"Я думаю, что он хоть пальцем пошевелит, чтобы помочь тебе.",0,Semantics,datamaps,1
Этот бой был очень тяжелым.,1,0,ds2,1
"Он не поздравил ни с Новым годом, ни с Восьмым мартом, ни с днем рождения Валерки.",0,Morphology,"cleanlab, datamaps",2
Он сейчас в зале периодики читает журналы.,1,0,"cleanlab, ds2",2
Иван не был дома месяц.,1,0,ds2,1
Тогда руководители NASA также сначала отрицали наличие всяких серьезных технологических проблем.,0,Semantics,"cleanlab, datamaps",2
"Я уверен, что он несомненно прав.",1,0,ds2,1
Доклад написан с шести до семи.,0,Semantics,cleanlab,1
Тебе завтра не будет туда попасть.,0,Syntax,datamaps,1
Брюки у пояса мне узки.,0,Semantics,"cleanlab, datamaps",2
Ряд исследований посвящены проблеме интерпретации текстов.,0,Syntax,cleanlab,1
В путь-дорогу дальний я тебя отправлю.,0,Syntax,"cleanlab, datamaps",2
Его принцип отвергает какое-либо облучение мозга.,0,Semantics,"cleanlab, datamaps",2
Ее матери пришлось пережить много горя.,1,0,ds2,1
Возьми мне на складе еще одну банку консервов.,1,0,datamaps,1
"Ряд авторов считают, что все изученные ими собаки генетически друг к другу ближе, чем волки.",0,Syntax,datamaps,1
Ее устраивает в Париже.,0,Syntax,cleanlab,1
Я смотрел фильм на французском языке с английскими субтитрами.,1,0,ds2,1
Она приняла к себе ребенка.,0,Semantics,"datamaps, ds2",2
"Особенно когда в полуторастах метрах позади лежал скелет ящера, убитого человеческим оружием.",0,Morphology,"cleanlab, datamaps",2
"Он утверждает, что все знает об этом.",1,0,ds2,1
Перемены в технической политике фирмы еще не начались.,1,0,ds2,1
"Телега сломана два дня назад, но сегодня ее починили.",0,Semantics,"cleanlab, datamaps",2
"Он все-таки дал ей ту книгу, которую она хотела.",1,0,ds2,1
Можно пойти на концерт.,1,0,ds2,1
"Готовиться к войне 1812 г. как Франция, так и Россия начали за два года до того, как она разражается.",0,Syntax,datamaps,1
"Иван подозревает, что его обманывают.",1,0,ds2,1
"Если она не хочет принять вашу помощь, пусть примет мою.",1,0,ds2,1
Я шел вдоль реки по узенькой тропинке.,1,0,ds2,1
"На пруду, которого поверхность виднелась сквозь аллеи, заливались лягушки.",1,0,cleanlab,1
"Когда я завтра приду в институт, я поговорю об этом с кем угодно.",0,Semantics,"cleanlab, datamaps",2
Я резко не затормозил.,0,Semantics,datamaps,1
Кимхи и генеральный директор Мосада был избран в должность главы министров.,1,0,"cleanlab, datamaps",2
"Клиент написал мне, что проживает в Москве на Пресне на чем-то, но не назвал точный адрес.",0,Syntax,"cleanlab, datamaps",2
Сегодня отец еще не работал в саду.,1,0,ds2,1
Инна у купила платье.,1,0,ds2,1
На поляне мы нашли малину и ягоды.,0,Semantics,"cleanlab, datamaps, ds2",3
Отдай мне эту книг.,1,0,"cleanlab, ds2",2
Лена пообещала больше не ездить туда одной.,0,Syntax,"cleanlab, datamaps",2
Сотрудник отказался от помощи.,1,0,ds2,1
"Вася читал книгу, а Петя — газету.",1,0,ds2,1
"Даже если любой из них действительно согласится тебе помочь, ничего это не изменит.",0,Semantics,"cleanlab, datamaps",2
"Он получил облегчение, узнав, что она простила ему.",1,0,ds2,1
В 1950 г. на старом месте построили современную многофункциональную арену с 22 000 зрителями.,1,0,ds2,1
Мальчик высунулся из окна.,1,0,ds2,1
Бутыль вмещает пять литров.,1,0,ds2,1
Мы первыми научились видеть дальше собственного порога и думать более шире родимой околицы.,0,Morphology,"cleanlab, datamaps",2
"Поскольку это наша собственная торговая платформа, нашим трейдерам не нужно арендовать у сторонних поставщиков.",0,Syntax,"cleanlab, datamaps",2
Я хочу с вами посплетничать.,1,0,ds2,1
Мы разбили лагерь у деревни Татия.,1,0,ds2,1
У него на лице есть улыбка.,0,Semantics,"cleanlab, datamaps, ds2",3
Ты сейчас же взял и вылил воду!,0,Semantics,"cleanlab, datamaps, ds2",3
"В группу студентов, направленных на полевую практику, входят сорок один человек.",0,Syntax,"cleanlab, ds2",2
Чей портрет висел на стене?,1,0,ds2,1
Прогулка не состоялась благодаря плохой погоде.,1,0,ds2,1
"Описано точное описание внешности ""ангела с пышными волосами"".",1,0,ds2,1
Его даже Канкрин считал очень способным человеком.,1,0,ds2,1
"Я могу сделать для вас все, что угодно, хоть сейчас.",1,0,ds2,1
"Поэтому она обратилась к государству, своих сил на это у РПЦ нет.",0,Syntax,"cleanlab, datamaps",2
"Вероятно, вы читали книгу Иванова на эту тему.",1,0,ds2,1
В Екатеринбурге построили первый в России шоколадовый комбинат.,0,Morphology,"cleanlab, datamaps",2
Какой-нибудь человек всегда должен об этом помнить.,0,Semantics,"cleanlab, datamaps, ds2",3
Учитель поставил три двойки.,1,0,ds2,1
"И пошлите кого-нибудь к Фу Чану, чтоб захватили несколько пар туфель.",1,0,datamaps,1
Чего ты поел и попил лимонада?,0,Syntax,"cleanlab, datamaps",2
Присутствие кошек в древней китайской деревне доказывает о давнем взаимовыгодном сожительстве этих животных с людьми.,0,Syntax,"cleanlab, datamaps",2
"Как жаль, что меня не было с вами.",1,0,ds2,1
Меня в этом доме никогда не будет.,1,0,ds2,1
Я понял его как военного.,0,Semantics,"cleanlab, datamaps",2
"Я хочу знать, берете ли вы эти деньги.",1,0,ds2,1
"У обоих спортсменок были здесь учётные карточки, так как обе были местными.",0,Morphology,datamaps,1
"Линия состоит из двух точек, соединенных прямой линейкой, и измерение проводится по ее длине.",1,0,ds2,1
Это бывший трейн SM Entertainment и изначально собирался выступать с EXO.,0,Hallucination,datamaps,1
"Нам, к всеобщей радости, оплатили сверхурочную работу и отпустят отдыхать.",0,Syntax,"cleanlab, datamaps",2
Маша похожа и Катя похожа.,0,Syntax,datamaps,1
У меня написался диплом.,0,Semantics,"datamaps, ds2",2
"Убедиться, что гусь готов, проткните острым ножом бедро.",0,Syntax,datamaps,1
Пуля попала в стену возле самого кресла.,0,Semantics,"cleanlab, datamaps",2
"Я спросил у прохожего о том, что есть ли поблизости какая-нибудь станция метро.",0,Syntax,ds2,1
"Он выписывает только как художественные, так и математические журналы.",0,Syntax,"cleanlab, ds2",2
У тебя в голове есть каша.,0,Syntax,"cleanlab, datamaps",2
"Я своими полуслепыми глазами и то вижу, что рубашка неглаженая.",1,0,"cleanlab, datamaps",2
Вход в пещеру заваливают камни.,1,0,ds2,1
Я воспринимаю его как своего врага.,1,0,ds2,1
Весь день я провела около плиты.,1,0,ds2,1
Он зарабатывает 50 тысяч долларов.,1,0,ds2,1
Почему не пригласили Маши?,0,Syntax,"cleanlab, datamaps",2
А зеленую ты куда дел тетрадь?,1,0,cleanlab,1
"Почему я решил, что человека, с которым я сел рядом, зовут Василием Ивановичем?",1,0,ds2,1
Вани нигде не было.,1,0,ds2,1
Разве может ведьма сразу у всех коров молоко застоить?,0,Semantics,"cleanlab, datamaps",2
Он живет в небольшом городке у Волги.,0,Semantics,"cleanlab, datamaps, ds2",3
"Я предложил ей помощь, но гордая девушка отказалась.",1,0,ds2,1
Деревья слабо звенели ветками.,1,0,ds2,1
"Довольно большой здание было украшено какими-то башенками и балкончиками, которые искусно вписывались в общий ансамбль.",0,Syntax,"cleanlab, datamaps",2
Я не читал твою статью.,1,0,ds2,1
"Когда ты не знаешь, как играть?",0,Syntax,"cleanlab, datamaps",2
"Онъ стреляет изъ лука, по обычаю древнего учёба.",0,Hallucination,"cleanlab, datamaps",2
Очень рады будем видеть вас у нас этой субботой.,0,Semantics,"cleanlab, datamaps, ds2",3
Был у нас на курсе один студент.,1,0,ds2,1
"Он сказал, что он заболел.",1,0,ds2,1
Это ведь к нам близко.,1,0,ds2,1
"Петя сказал «уходи», но это неправда.",0,Semantics,"cleanlab, datamaps, ds2",3
Информационный портал Всероссийской олимпиады школьников пользуется большой популярностью у старшеклассников.,1,0,ds2,1
Сейчас картина была вывезена в Америку и продана музею.,1,0,ds2,1
Любой из вас мог бы пойти туда.,1,0,ds2,1
Где стоит твоя машина?,1,0,ds2,1
У него был талант рассказчика.,1,0,"cleanlab, ds2",2
Отца никогда не было на море.,0,Semantics,"datamaps, ds2",2
Я не брала ключи.,1,0,ds2,1
Я живу почти рядом с Вами.,1,0,ds2,1
Он разыскал рядом ручей.,0,Semantics,"cleanlab, datamaps",2
Отказ от игры ронял Фишера в глазах шахматистов.,1,0,ds2,1
Он сидел за роялем и разучивал новую пьесу.,1,0,ds2,1
"Это то, что моя мама говорила.",1,0,ds2,1
"Хорош, если ты станешь кандидатом наук.",0,Syntax,"cleanlab, datamaps",2
Требуется справка с места работы.,1,0,ds2,1
"Он долго не писал, и вдруг я получаю сразу два письма.",1,0,ds2,1
"Он был внимательнее, чем никогда прежде.",0,Semantics,"cleanlab, datamaps, ds2",3
Подобные поручения очень обременяют.,1,0,ds2,1
"Они живут в очень тяжелых материальных условиях, и ты должен помогать любому из них.",0,Semantics,"cleanlab, datamaps",2
"В эвакуации кафедру генетики получил профессор Шумский, который отлично поладил с деканом.",1,0,ds2,1
В городе никого не найти.,1,0,ds2,1
Зачем ты открыл форточку?,1,0,ds2,1
"Зина считает, что Иван, безусловно, вернется.",1,0,ds2,1
"Вот я вижу себя снова в деревне, глубокой осенью.",1,0,ds2,1
И сведен был как мозамбик.,0,Hallucination,datamaps,1
"Из того, что Вы сказали, я полагаю, что он прав.",1,0,ds2,1
"Доказательства колебания нейтринов, вместе с прошлыми исследованиями, позволили физикам установить верхние пределы оценки массы нейтринов.",1,0,cleanlab,1
Его появление вызвало замешательство.,1,0,ds2,1
Я попросила его постричь газон рядом с нашим домом.,1,0,ds2,1
"Чего только не было: копченые окорока, настоящее салями, мясо, яблоки, пироги!",1,0,cleanlab,1
"Сейчас берешь-ка животное, и мы отправляемся в зоопарк.",0,Semantics,"cleanlab, datamaps, ds2",3
"Когда у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",1,0,ds2,1
"Позже, во время драки между Рэпторами и Снайпом, все случайно были заперты в одной камере, кроме Льюги.",1,0,cleanlab,1
Я начинаю новую жизнь.,1,0,ds2,1
Но эти демонстранты просто живут у него и их тревога вполне понятна.,0,Syntax,"cleanlab, datamaps",2
"Я сожалею, что не сдержала своего обещания.",1,0,ds2,1
"Занятий, я рад, не будет.",0,Semantics,"cleanlab, datamaps, ds2",3
"Я пошла туда, чтобы хоть куда-нибудь пойти.",1,0,ds2,1
"Полшколы участвовали в организации благотворительной акции, приуроченной к Дню матери.",0,Syntax,cleanlab,1
Является автором пяти книг и многочисленных научных статей.,1,0,cleanlab,1
"Воспользуйтесь прокат автомобилей и 24-часовой прием, чтобы вы могли испытать свой пребывание, как вы хотите.",0,Syntax,cleanlab,1
Но я смотрел этот фильм!,1,0,ds2,1
"Помилуй, мне и от роду нет ни году.",0,Semantics,datamaps,1
Мне легко это сделать.,1,0,ds2,1
Войну и мир писал Толстой.,0,Semantics,"cleanlab, datamaps, ds2",3
"Если у вас нет способностей, то нет никого, кто вам поможет.",0,Semantics,cleanlab,1
"Мне послышалось, что кто-то плачет.",1,0,ds2,1
"Раньше она была в каком-то раздраженном состоянии, а потом успокоилась.",0,Semantics,"cleanlab, datamaps, ds2",3
"Было в ней и скромность, и изящество, и достоинство.",0,Syntax,"cleanlab, datamaps",2
Пригласите этого свидетеля принять у него присягу.,0,Syntax,"cleanlab, datamaps",2
Он отдал все свое состояние.,1,0,ds2,1
"Я не могу ехать, у меня есть бабушка.",0,Semantics,"cleanlab, datamaps, ds2",3
"Я прожил неделю и, несмотря на то, что не было там у меня ни одного знакомого человека, провел время чрезвычайно весело.",1,0,ds2,1
Уже дома измерил 37 градусов в качестве температуры.,0,Syntax,datamaps,1
"Все зашумели, задвигались, заговорили.",1,0,ds2,1
"Хочешь, я возьму к себе в рюкзак твой спальный мешок.",1,0,ds2,1
В моем кошельке есть масса денег.,1,0,ds2,1
"То ли он не затормозил вообще, то ли затормозил, но не резко.",1,0,cleanlab,1
Другие улики не остались.,0,Semantics,"datamaps, ds2",2
"У него способности, у меня деньги.",1,0,ds2,1
Не переходи улицу в этом месте.,1,0,ds2,1
"С тех пор как он час назад ей позвонил, она была как на иголках.",0,Semantics,"cleanlab, datamaps",2
Я этого не понял.,1,0,ds2,1
У нас в институте проводятся лекции по истории искусств.,1,0,ds2,1
"Барретт считает себя ""лидером команды"", за которым последуют другие футболисты из FINA или сборной США по футболу.",1,0,cleanlab,1
"Мои животные в плохом состоянии, но корма достаточно.",1,0,cleanlab,1
Он решил ту или иную сложную задачу.,0,Semantics,"cleanlab, ds2",2
Она быстро усвоила его приемы работы на станке.,1,0,ds2,1
Это был первый чемпионат мира в своей карьере.,0,Morphology,"cleanlab, datamaps",2
Россия имеет дипломатические отношения со многими странами.,1,0,ds2,1
Неужели он кажется тебе бледным?,1,0,ds2,1
Сегодня отец еще не был дома.,1,0,ds2,1
"Какие плюсы включают в себя поддержка двухпроцессорных компьютеров, адаптация к HDRI?.",0,Syntax,"cleanlab, datamaps",2
"Королева сказала портному, что он болван.",1,0,ds2,1
"Я слышал вой и лай собак и радовался, воображая, что город недалеко.",1,0,cleanlab,1
"Здесь мы узнали то, что хотели зазнать уже давно, ибо табак кенда говорит только новому духу.",0,Semantics,"cleanlab, datamaps",2
"Когда по истечению четырёх лет пребывания в Швейцарии Николай вернулся в свой маленький уездный город, он удивился тому, насколько тот изменился.",0,Syntax,cleanlab,1
Я дал ему 100 рублей.,1,0,ds2,1
Илья и Света поцеловались.,1,0,ds2,1
"По одной из версий, именно за умелое правление и заботу к доставшемуся наследству Иван Данилович получил прозвание Калита.",0,Syntax,"cleanlab, ds2",2
Операцию делали ему в Москве.,1,0,ds2,1
"Вася сказал: ""Я купил тебе одну книгу"".",1,0,ds2,1
Этот стол был очень тяжелым.,1,0,"cleanlab, ds2",2
"Удивительно, что он согласился.",1,0,ds2,1
"В 2004 году его назвали объектом ЮНЕСКО и стал единственным частным резиденцией Латинского континента, получившим этот статус.",0,Syntax,"cleanlab, datamaps",2
"К сожалению, его нет дома.",1,0,ds2,1
"Я думаю, она, вероятно, откажется.",1,0,ds2,1
"Получив данные, будет выбран самый благоприятный момент для нанесения удара.",0,Syntax,cleanlab,1
Чиновник росчерком пера позволил им стать миллионерами.,1,0,"cleanlab, datamaps",2
Звуков с улицы не доносится.,1,0,ds2,1
Мне слышится что-то родное.,1,0,ds2,1
"Если в воздухе звуковые волны распространяются со скоростью в триста тридцать метров в секунду, то в воде эта скорость равна тысяче пятистами метрам в секунду.",0,Morphology,cleanlab,1
"Медсестра часто знает дело лучше, чем врач.",1,0,ds2,1
"Я принимаю его таким, как он есть.",1,0,ds2,1
Всплеск сносил здания с их фундаментов и демонтировал их.,0,Semantics,"cleanlab, datamaps",2
"Похорони меня, и выходи замуж...",1,0,ds2,1
"Мастерство погонщиков слонов в Индии издревле передавалось только от отца к сыну, посторонним секреты мастерства не раскрылись.",0,Syntax,datamaps,1
В воскресенье шел дождь.,1,0,ds2,1
"Я объяснял, но он не понял.",1,0,ds2,1
В доме нет кошки.,1,0,ds2,1
"Я замечал человека, который переплыл Ламанш.",0,Semantics,datamaps,1
"Ключ к успеху США в Афганистане была готовность Вашингтона оказывать поддержку собственным программам афганского правительства, а не жестоко навязывать свой собственный повестку дня.",0,Syntax,cleanlab,1
Только ты можешь дать мне счастье!,1,0,ds2,1
Новые наночастицы позволяют быстро и проще очистить среду от загрязняющих веществ.,0,Syntax,"cleanlab, datamaps",2
"Нам уже было известно, что он приехал и другие факты.",0,Syntax,ds2,1
"Все было тихо, и только где-то в отдалении шумели поезда.",1,0,ds2,1
"Это аварийную посадку на Восточном побережье назвала компания, которая задержала людей.",0,Syntax,datamaps,1
Только от вас я приму деньги.,1,0,ds2,1
"Свадьба будет, скорее всего, в октябре.",1,0,ds2,1
Он покупает несколько журналов.,0,Semantics,"cleanlab, datamaps, ds2",3
Установка не работала и трех лет.,1,0,ds2,1
"В те дни, так как это была школа для мальчиков, мальчики играли как мужские, так и женские роли.",1,0,cleanlab,1
"Он вспоминал, как ее зовут.",1,0,ds2,1
Близ кресла на небольшом коврике лежала кошка.,0,Semantics,"cleanlab, datamaps",2
Она хочет поговорить с неопределенным специалистом.,0,Semantics,cleanlab,1
"Я хочу, чтобы они зашли, а ты спрятался.",1,0,cleanlab,1
"Не думаю, что Том знает кого-то, кто может это сделать.",1,0,ds2,1
"На ужин у нас огромный-огромный пирог с повидлой, сто котлет и мороженое.",0,Morphology,"cleanlab, datamaps",2
"Когда вода перевернулась в океан, пошла на круговорот.",0,Semantics,"cleanlab, datamaps",2
Всякий молоток найдется.,0,Syntax,"cleanlab, datamaps",2
Я не стирала полотенце.,1,0,ds2,1
"Кто писал ""Войну и мир""?",0,Semantics,"cleanlab, datamaps, ds2",3
"Я заметила, что он действительно постарел.",1,0,ds2,1
Такую котлету мне не съесть.,1,0,ds2,1
"Однако для тех, кто с этим согласен, давайте перейдем к «большому вопросу» номер дваówhy мы здесь?",0,Hallucination,"cleanlab, datamaps",2
Мне предлагали написать на нее рецензию.,1,0,ds2,1
Чего они достигнули за столь долгий срок?,0,Morphology,"cleanlab, datamaps",2
Вечером у нас будут гости.,1,0,ds2,1
"Не мешай, у нас важный разговор.",1,0,ds2,1
"Кто рыжий, а Вася блондин?",0,Syntax,"cleanlab, datamaps, ds2",3
В отдалении сверкал огонек.,0,Semantics,"cleanlab, datamaps, ds2",3
Я провожу вечера у радио.,1,0,ds2,1
Осад католиков в 1573 году был уничтожен по ошибке папы Римского.,1,0,cleanlab,1
Он будет играть в теннис завтра odpoledne.,0,Hallucination,datamaps,1
С 23 по 33 год он выпустил книгу.,0,Semantics,cleanlab,1
"Снова наступила зима, красиво кутав землю своим пушистым снежным покрывалом.",0,Semantics,cleanlab,1
"Я чувствую, что мне, кажется, придется уезжать.",1,0,ds2,1
Он принял командование полком.,1,0,ds2,1
На тёмной листве блестели дождевые капли.,1,0,ds2,1
Как я смогу получить эти книги?,1,0,ds2,1
В этом дне была какая-то особенная прелесть.,1,0,ds2,1
"Идя вдоль берега, морской воздух приятно освежал наши лица.",0,Syntax,datamaps,1
"Как я надеюсь, ты собрался?",0,Semantics,"cleanlab, datamaps, ds2",3
Мост Паук был построен в июле 1971 года и был покрашен в различные цвета на протяжении многих лет.,1,0,cleanlab,1
"Дай им монетку, потому что боюсь забыть.",0,Semantics,"cleanlab, datamaps",2
Он сразу нас не одобрил.,1,0,ds2,1
Иван опять провалился на экзамене.,1,0,ds2,1
"Не мешай, я вижу по телевизору ""Галатею"".",0,Semantics,"cleanlab, datamaps, ds2",3
В нашем лесу есть озеро.,1,0,ds2,1
Он кое-как справился с заданием.,1,0,ds2,1
Он сделал вид дурачка.,0,Semantics,"cleanlab, datamaps",2
Звуков с улицы не доносилось.,1,0,ds2,1
"Дай мне какую-нибудь книгу на эту тему, любую.",1,0,ds2,1
"Горная Шотландия отличалась от равнинной не только рельефом, а и культурными особенностями.",0,Syntax,cleanlab,1
"В нём совмещались те чисто русские, мужицкие черты, которые в соединении дают возвышенный образ, делавший иногда не только нашего солдата непобедимым, но и великомучеником.",0,Syntax,cleanlab,1
"Во время взрывая оказался рядом с камином, и это спасло мне жизнь.",1,0,cleanlab,1
"Коля считает, что свадьба будет, скорее всего, в октябре.",1,0,ds2,1
Художник нарисовал и любуется прекрасной картиной.,0,Syntax,ds2,1
"В общем, существует много математических зависимостей, которые выявлены в расположении Гексаграммы.",1,0,cleanlab,1
После этого они начали смеяться громко.,1,0,ds2,1
Сегодня в овощном были яблоки.,1,0,ds2,1
Вместе со своим бывшим менеджером Singapore Airli Ltd стал первым создателем беспроводных пассажирских перевозок в мире.,1,0,cleanlab,1
Вы решили назвать своего нового ребенка?,0,Syntax,"cleanlab, datamaps",2
"В овраге за посёлком почва была глинистой, который весной превращался в небольшой водоём и в котором почти ничего не росло.",0,Syntax,cleanlab,1
Он не будет тормозить резко.,1,0,ds2,1
Я виделся с ней давно.,1,0,ds2,1
"Она попросила меня выяснить причины конфликта, сам не вмешиваясь в него.",0,Syntax,"cleanlab, datamaps",2
"Сомнения в нём были, раз хотели проверить.",1,0,ds2,1
"Я сказал вам, когда наступит время.",0,Syntax,"cleanlab, datamaps, ds2",3
Охранник стоял сбоку от президента.,1,0,ds2,1
"Он сказал, что живет в Сан-Франциско.",1,0,ds2,1
Вдали окруженный горами виднелся величавый Бешту.,1,0,ds2,1
Кто-нибудь из вас мог бы пойти туда.,1,0,ds2,1
"Погода, ей кажется, плохая.",0,Semantics,"cleanlab, datamaps, ds2",3
Стаканы будут поставлены в шкаф.,1,0,ds2,1
"Когда мы ходим на работу, покупаем квартиру, пытаемся поспекулировать акциями или валютами, то все наши действия направлены на получение доходов.",0,Semantics,"cleanlab, ds2",2
Коля не находил своего ключа.,1,0,ds2,1
"Ей подумалось, что так её отражение выглядит более красивее обычного – лицо стало круглее, не такое худое и хмурое.",0,Morphology,"cleanlab, datamaps",2
"Ну скажи, что он собой представляет?",1,0,ds2,1
Его рассказы пестрят междометиями.,1,0,ds2,1
Я имел с ним беседу только ради Вас.,0,Semantics,"cleanlab, datamaps",2
После tete-a-tete совещания председателей было проведено расширенное заседание.,1,0,"cleanlab, ds2",2
"Как известно, в определённый период развития естественно-научного знания его гуманитарная составляющая стремительно сокращалась.",1,0,ds2,1
"Я прочел статью, и теперь все знаю.",1,0,ds2,1
Он сел подле своей жены.,1,0,ds2,1
"Невзирая на то, что шел дождь, светило солнце.",0,Semantics,"cleanlab, datamaps",2
"Не проходя по коридору этого этажа, мы поднялись более выше, где было несколько свежее, но тот же отвратительный, удушливый запах был и здесь.",0,Morphology,datamaps,1
Машу побил ее муж.,1,0,ds2,1
У нас в институте есть занятия по английскому языку.,1,0,ds2,1
"В прошлое воскресенье я уже два часа гуляю по улицам, и вдруг...",0,Semantics,"cleanlab, datamaps",2
Музыкальное произведение Шопена до сих пор популярно у любителей классической музыки.,1,0,ds2,1
"Интереса к его трудам не замечено, не наблюдается.",1,0,ds2,1
Он не справился с заданием.,1,0,ds2,1
"Он курировал работу Исполнительного комитета миссионеров, Комитета всеобщего благосостояния и Центрального совета по делам печати.",1,0,ds2,1
Он не развлекает меня своими анекдотами.,1,0,ds2,1
"Инопланетяне имеют сегментированные, бледистые хвосты.",0,Morphology,datamaps,1
Она ходила в баню по субботам.,1,0,ds2,1
Он выбирает себе жену из казачек.,1,0,ds2,1
На столе были книги и журналы.,1,0,ds2,1
"Энди Уорхола написала свою работу в 1986 году на автосалоне ""Автомобили"".",0,Syntax,ds2,1
"Я порвал пиджак, зацепившись за гвоздь.",1,0,ds2,1
Теперь уравнение имеет следующий вид.,1,0,ds2,1
"Я не принимаю, что я вел себя непорядочно.",0,Semantics,cleanlab,1
