premise,hypothesis,label,original_split
"""На вопрос, занимался ли задержанный канадский лейтенант шпионажем в пользу России, Г.Мамедов ответил, что """"не знает"""", так как """"не он возглавляет службу разведки"""". А на вопрос, кто из российских дипломатов покинул страну, российский посол и вовсе отказался отвечать. """"Я не могу свободно обсуждать эту тему, так как не хочу повлиять на ведение судебного процесса"""", - сказал он.""","Канадского лейтенанта подозревают в том, что он российский шпион.",entailment,train
"Как считают следователи, в течение трех лет она специально указывала в налоговой декларации цифры, которые были значительно ниже реальных.",Три года подряд она правильно заполняла налоговую декларацию.,not_entailment,train
"Приставам не удалось застать его на месте. Дверь открыла супруга. В комнате судебный пристав обнаружил металлический сейф, в котором хранилось огнестрельное оружие.",Жена открыла приставу сейф и долго показывала оружие.,not_entailment,train
"""Сам Удальцов заявлял, что врачи действуют под давлением полицейских. """"Власти избрали тактику поддержания у меня минимального жизненного уровня. В этих условиях я вынужден продолжать голодовку, поскольку никакой вины за собой не вижу"""", - сообщил он.""",Удальцов отказывается от еды.,entailment,train
"Я здесь все взорву! – такую фразу часто можно услышать в захватывающих боевиках. Но вряд ли кто-то обрадуется, когда такое прозвучит от неизвестного человека в обычной жизни.","""В боевиках нередко угрожают """"все здесь взорвать"""".""",entailment,train
"""По словам очевидцев, их было как минимум три. Сотрудник министерства рассказал местной газете Postimees, что сидя у себя в кабинете на первом этаже услышал стрельбу, после чего быстро закрыл двери и покинул здание через окно. """"Что там сейчас происходит, не знаю, так как не нахожусь в здании"""".""",Сотрудник министерства слышал стрельбу.,entailment,train
"В Кирове в полицию обратилась 63-летняя женщина, поскольку у нее из дома пропали ювелирные украшения. Браслет, три кольца и серьги пенсионерка оценила в 18 тысяч рублей. Точную дату пропажи украшений женщина не могла сказать, поскольку давно не проверяла место, где хранила золото, но она точно знала, что никто дверь в ее квартиру не взламывал, а значит вор был среди тех, кого пускали в гости.",В Кирове украли ювелирные украшения на сумму 18 тысяч рублей.,entailment,train
"Ее поймали, когда она вновь вернулась в город.",Она вновь вернулась в город.,entailment,train
"""""""Есть отдельное правило для """"Эха Москвы"""", отдельное правило для """"Новой газеты"""", отдельное правило для New Times (журнал The New Times - ИФ). Почему? Потому что маленькая аудитория"""".""",Нет отдельных правил для разных редакций и изданий.,not_entailment,train
"В нем он обвинил полицейского в применении к нему насилия во время задержания. Он сообщил, что полицейский повалил его на землю и нанес ему несколько ударов кулаками в лицо. Как сообщает региональное управление Следственного комитета, жалобу всесторонне проверили, оказалось, что во время задержания гражданина физическая сила в отношении него не применялась.",Жалобу гражданина проверили.,entailment,train
"Промышленные предприятия, организации и учреждения создали новые новогодние композиции и украсили деревья.",Предприятия и организации готовятся к Новому году.,entailment,train
"В ведомстве отмечают, что ранее подозреваемый уже был судим за кражу. Злоумышленник во всем признался и написал явку с повинной. На допросе он рассказал, что один из похищенных телефонов потерял, другой продал, а деньги потратил.",Злоумышленник похищал чужие телефоны.,entailment,train
"Сейчас самарские льготники (многодетные семьи, ветераны, малоимущие и прочие социально незащищенные граждане) получают единовременную денежную выплату не зависимо от того, сколько денег они тратят на коммунальные услуги и оплачивают ли они их.","Многодетные семьи, ветераны и малоимущие социально не защищены.",entailment,train
"Королева Великобритании Елизавета II одобрила принятый ранее парламентом законопроект о легализации однополых браков, сообщают в среду местные СМИ. Таким образом, этот нормативный акт вступил в законную силу. Ожидается, что первые однополые браки будут заключены не ранее следующего лета, так как властям страны необходимо разрешить ряд бюрократических вопросов, связанных с регистрацией таких союзов.",Власти Великобритании уже регистрируют первые однополые браки.,not_entailment,train
"""Фото с места трагедии. - Его обнаружил мой сын, когда возвращался домой из магазина, - рассказал """"Комсомольской правде""""-Саратов очевидец ЧП. - Видимо, все произошло очень быстро, потому что по пути из дома никого на улице было.""",Произошло ЧП.,entailment,train
"Температура будет колебаться, периодически будет подсыпать снег.",Температура будет устойчивой.,not_entailment,train
"Машину украсть было несложно, ведь потерпевший оставил ее ключом в замке зажигания.",Потерпевший усложнил угонщику задачу.,not_entailment,train
"Мы попытались это сделать в МГУ. Сначала проложили по дороге. Вынуждены были убрать, потому что невозможно.","Сперва мы проложили по дороге, потом убрали.",entailment,train
"""""""Еще в четверг, 25 октября Леонид лично написал заявление в СКР с требованием возбудить дело по ст.126 (похищение) УК РФ. Я находился вместе с ним в изоляторе, и могу однозначно это подтвердить"""", - сказал Фейгин. По его словам, он передал заявление сотрудникам СИЗО, так как выносить какие-либо документы из изолятора запрещено.""",Выносить из изолятора можно только секретные документы.,not_entailment,train
"В настоящий момент полицейские взяли в кольцо активистов оппозиции на углу Тверской и Садово-Триумфальной улицы и начали задерживать их. Полицейские затаскивают участников шествия в автозаки. Они призывают освободить проход, чтобы не мешать движению пешеходов, однако это сделать затруднительно, поскольку сотрудники полиции оцепили оппозиционеров и не дают выйти из этого оцепления, в том числе журналистов.",Активисты оказались в кругу друзей.,not_entailment,train
"Оперативники поймали несовершеннолетнего злоумышленника. Подросток во всем признался. Украденное он продал, а деньги потратил.",Несовершеннолетний злоумышленник продал украденное.,entailment,train
"""Прокурор Коркино обратился в суд. """"Гражданка должна вернуть 429 тыс.руб., — рассказали в пресс-службе прокуратуры Челябинской области. — Поскольку она нарушила федеральный закон"""".""","В пресс-службе сказали, что гражданка должна вернуть менее полумиллиона рублей.",entailment,train
"Королева Великобритании Елизавета II одобрила принятый ранее парламентом законопроект о легализации однополых браков, сообщают в среду местные СМИ. Таким образом, этот нормативный акт вступил в законную силу. Ожидается, что первые однополые браки будут заключены не ранее следующего лета, так как властям страны необходимо разрешить ряд бюрократических вопросов, связанных с регистрацией таких союзов.",Английская королева закрыла парламент.,not_entailment,train
"""Чтобы мать не расстраивалась, он ей позвонил и """"успокоил"""", честно обо всем рассказав.""","Скорее всего, мать все же расстроилась.",entailment,train
"Затем машину откинуло на полосу встречного движения на Isuzu Forward. - В результате аварии водитель автомобиля Nissan Tino и его два пассажира, среди которых была малолетняя девочка, от полученных травм скончались на месте происшествия, - сообщили «КП-Владивосток» в прокуратуре Приморского края. Суд слушался в особом порядке так как обвиняемый полностью признал свою вину.",В аварии погибли трое.,entailment,train
"Спящего незнакомого мужчину увидела в своем доме жительница поселка Улькан Усть-Кутского района, когда вечером вернулась с работы. Сама будить незнакомца она не решилась и вызвала местного участкового, который и привел нежданного гостя в чувство. Оказалось, что это был квартирный вор, который залез в дом через окно веранды, набрал ценных вещей, но покинуть место преступления не сумел, так как был сильно пьян.",В поселке Улькан спящих будит участковый.,not_entailment,train
"Стражи порядка на дорогах решили остановить иномарку, чтобы проверить документы водителя. Так как вёл себя он не как самый трезвый участник дорожного движения, то полицейские провели медицинское освидетельствование. Оно показало, что в крови задержанного действительно был алкоголь.",В крови задержанного алкоголь не обнаружили.,not_entailment,train
"Сумма долга предприятия перевалила за два миллиона рублей, кроме того, работодатель не спешил выплачивать работникам компенсацию за задержку зарплат.",Долг предприятия полностью выплачен.,not_entailment,train
"""Тело рядового К. Аганаса он оттащил к реке и, предварительно облив его бензином, поджег. На вопрос следователя, почему он решил убить вначале рядового Аганаса, а не спящих, Челах сказал: """"Ну, тогда бы часовой спрятался. (...) Потому что он не спящий был, поэтому его первым"""".""",Челлах потушил тело рядового К. Аганаса.,not_entailment,train
"""В настоящее время сотрудниками ВГСЧ тело погибшего извлечено на поверхность. """"Других пострадавших в результате обрушения нет. На работу шахты это также не повлияло, так как в праздничные и выходные дни она не работала по добыче"""", - сказал собеседник агентства.""",В шахте произошло обрушение.,entailment,train
"Свое преступление подозреваемый планировал заранее – подготовил одежду и пневматический пистолет. И вот такой вышел казус. Ограбил – не ограбил, а статья есть.","У подозреваемого были одежда для преступления и пневматический пистолет, но довести ограбление до конца ему не удалось.",entailment,train
"Где-либо занять деньги, кроме как у потерпевшей, она не может. Поверив в это, женщина перевела необходимую сумму на банковскую карту неизвестного мужчины, который представился хирургом. Врач подтвердил, что получил деньги, вскоре проведет операцию.",Хирург обокрал потерпевшую.,not_entailment,train
"Вину женщина признала частично признала. Мотивом к совершению преступлений была ревность. Похищенные вещи обвиняемая считала своими, так как они были куплены на ее деньги, - рассказали в пресс-службе областной прокуратуры.",Женщина украла сердце.,not_entailment,train
"""""""Что же разместили на бампере, что на дверях, и какую проблему помогали решать таким образом?"""" Знатоки после минутного обсуждения предположили, что на бампере разместили подушку, а на задних дверях – матрас. Но это был неправильный ответ. Оказалось, что компания предложила размещать на переднем бампере видеокамеры, а изображения с них передавать на мониторы, установленные на задних дверях фуры.""",Знатоки неверно ответили на вопрос.,entailment,train
"""Прогнозируя объем возможного выкупа зерна с января по май 2012 года, Н.Школкина заявила, что этот показатель будет зависеть от конъюнктуры и потребностей внутреннего рынка. """"Но большого выкупа ждать не стоит, так как сельхозпроизводители, сдающие зерно в """"ломбард"""", как правило, остро нуждаются в средствах"""", - заявила она.""",Н.Школкина спрогнозировала объем возможного выкупа зерна с января по май 2012 года.,entailment,train
"Такие победы просто так не даются. У нас уже не было выбора, мы выходили с одной целью, с одной задачей – выиграть.","Мы победили, потому что у нас не было выбора.",entailment,train
"Сотрудники городского управления потребительского рынка провели рейд по торговым точкам, где нелегально продают новогодние деревья.",Во всех торговых точках нелегально продают новогодние елки.,not_entailment,train
"Двое мужчин и две женщины выпивали, когда одному из них, недавно освободившемуся из мест лишения свободы, захотелось любви и тепла. С недвусмысленным предложением он обратился к одной из участниц застолья, однако та отказала в близости. Обидевшись, мужчина схватил нож и решил всех «проучить».",Пьяный мужчина схватил нож.,entailment,train
"При этом будущий глава государства отметил, что ему известны «вещи, о которых другие не знают».","Будущему главе государтства известно нечто, неизвестное никому другому.",entailment,train
"Подозреваемый признал вину и пояснил, что в ту ночь им с приятелем очень хотелось выпить. Поэтому они направились в круглосуточный магазин. Но продавец отказалась продать им пиво, так как было слишком поздно.",Подозреваемый с приятелем выпили в круглосуточном магазине.,not_entailment,train
"""""""Зенит"""" считает решение несправедливым и противоречащим регламенту и духу футбола. """"Мы обжалуем его в апелляционный комитет Российского футбольного союза"""", - сказал собеседник агентства в клубе. """"В """"Зените"""" убеждены, что такое решение опасно для всего российского чемпионата, поскольку спортивный принцип больше не является главенствующим при выявлении победителя, и результаты матчей могут определяться на основе провокаций или не связанных с футболом инцидентов"""", - сказали в команде.""","""""""Зенит"""" намерен обжаловать решение.""",entailment,train
"Осторожнее на этом участке, водители и пешеходы! Там уже каток. Трубы не выдержали, прорвало.",Вода из прорвавшихся труб замерзла.,entailment,train
"Я бы дал деньги на командировки, потому что спортивный журналист здесь сидеть не должен, он должен ездить.",У меня есть деньги на командировки.,entailment,train
"Правящая коалиция и кабинет министров вряд ли к нему прислушаются. «Со стороны правительства никогда шаги по уменьшению финансирования программ русского вещания не обсуждались. Наоборот, шла речь, как его можно было бы увеличить», - отметил глава государства.",Глава государства говорил о возможном расширении финансирования русского вещания.,entailment,train
"Из них 5726 случаев ОРВИ и гриппа – в областном центре (67%), здесь эпидпорог превышен на 21%. В лабораторно подтвержденных случаях гриппа в 99% медики выявили вирус подтипа A(H3N2). Карантин не требуется, поскольку в школах – новогодние каникулы.",Карантин вводить не нужно.,entailment,train
"Много вопросов вызвало перекрытие сквера на площади Горького, но в целях безопасности мы обязаны это делать. Там находится огромное количество оборудования, которое мы не в состоянии ежедневно вывозить с площадки. Правда, мы приняли решение перекрывать этот участок не с семи, а с десяти часов вечера, потому что площадка в эти часы активна.",Сквер на площади Горького перекроют с десяти часов утра.,not_entailment,train
"В Калининградской епархии уже заявили, что новый музей представляет собой уникальное явление для нашего региона.",В епархии назвали музей уникальным.,entailment,train
"Аркадий завоевал медаль за профессионализм в компетенции «Гостиничный сервис (ресепшн)». — Необходимо было выстроить приоритеты: какую задачу решать первой, какую — последней. Это было очень тяжело, но и очень интересно, потому что ситуации по легенде были максимально приближены к жизни.",Аркадий получил медаль за работу на ресепшн.,entailment,train
"Женщина попросила личным заявлением освободить ее от должности главы министерства государственного имущества республики по собственному желанию, что и было сделано в течении нескольких минут.",Женщина за несколько минут освободилась от министерской должности.,entailment,train
"Теперь водителям не обязательно будет сразу оплачивать расходы на эвакуацию, и, как следствие, предъявлять документ об оплате также теперь не требуется.",Раньше водители должны были сами эвакуировать свой транспорт.,not_entailment,train
"Что мы хотим делать дальше? У нас три основных направления: первое - это до 1 июля внедрить СМЭВ во всех субъектах и муниципалитетах. Это нам будет проще сделать, так как в каждом субъекте есть представительства федеральных территориальных органов, а они уже реализовали электронное взаимодействие.",У нас есть три основных направления дальнейших действий.,entailment,train
"""""""Установлено, что решение о возбуждении этого уголовного дела является незаконным и необоснованным, так как принято преждевременно, без установления всех данных, достаточных для принятия такого решения"""", - говорится в сообщении.""",Сообщение говорит об основательном возбуждении уголовного дела.,not_entailment,train
"В область приходит, как сейчас принято говорить, «инвестор». А на самом деле - непонятная фирма, которая хотела снести здание театра, получить лакомый кусок земли в центре района и построить там, например, торговый центр! И все для этого уже сделали, имущество списали, деревья спилили, здание признали аварийным!",Непонятная фирма хотела заполучить лакомый кусок земли.,entailment,train
"Когда его пригласили к приставам, мужчина кулаком в грудь бил себя, утверждая, что напрасно приставы к нему пристали.",Мужчина сам пришел к приставам.,not_entailment,train
"Когда внедорожник тронулся, то без труда вырвал бензоколонку с корнем.",Внедорожник поехал.,entailment,train
"После этого они выступят с заявлениями для прессы. Когда состоится ординарное заседание депутатов, решит постоянное бюро парламента. Напомним, что весенняя сессия должна начинаться в феврале и не может заканчиваться позднее июля.",Решение о дате ординарного заседания депутатов примет постоянное бюро парламента.,entailment,train
"""Новый полигон отличается повышенной сложностью и увеличенным количеством препятствий, сообщает """"Федеральное агентство новостей"""".""",Новый полигон сложнее многих.,entailment,train
"""Как говорится в сообщении, следствием была собрана достаточная доказательственная база для признания вины подозреваемого. Однако по результатам судебно-психиатрической экспертизы выяснилось, что в момент совершения преступлений он не осознавал фактический характер и общественную опасность своих действий и не мог руководить ими. """"Поскольку имеющееся у него психическое расстройство связано с возможностью причинения им иного существенного вреда либо с опасностью для себя или других лиц, суд признал необходимость в стационарном лечении"""", - отмечает прокуратура.""",Была отменена судебно-психиатрическая экспертиза.,not_entailment,train
"""""""И когда я узнал, какие там результаты в моей Москве, просто сегодня не мог не прийти"""", - отметил он. Чуть дальше стояла группа молодых людей с плакатами в виде """"диалогов"""" и надписью: """"Свобода выбора"""", """"Свобода должна быть не только в Facebook"""". """"Мы здесь, потому что мы против того, чтобы за нас кто-то что-то решал, хотим честности, справедливости, и чтобы нас услышали"""".""",У молодых людей были флаги.,not_entailment,train
"Полицейским показалось, что парни похожи на тех, кого описывали в ориентировке, и они попытались задержать парней. Те, однако, вырвались, водитель ударил по газам. Машина рванула с места, и полицейские устроили за ней настоящую погоню.",Парни не сумели вырваться.,not_entailment,train
"Правящая коалиция и кабинет министров вряд ли к нему прислушаются. «Со стороны правительства никогда шаги по уменьшению финансирования программ русского вещания не обсуждались. Наоборот, шла речь, как его можно было бы увеличить», - отметил глава государства.",Финансирование программ русского вещания увеличат.,not_entailment,train
"""Его кандидатуру предложил губернатор Тульской области Владимир Груздев, Медведев ее поддержал. """"Михаил Анатольевич, вы как к этой идее относитесь? Потому что на такие позиции нельзя приходить просто потому, что тебя назвали в присутствии президента"""".""",Медведев и Груздев сошлись во мнении относительно кандидатуры.,entailment,train
"Женщина сообщила, что стала жертвой обмана.",Женщина пожаловалась на жертву.,not_entailment,train
"Парни, как выяснилось, ушли из дома во Владимирской области, не поставив в известность родителей.",Парни поставили в известность Владимирскую область.,not_entailment,train
"Он обвинялся в убийстве жены, сообщается в пресс-службе областной прокуратуры.",Он не мог убить жену.,not_entailment,train
"Правда, грабитель оказался не уличным бандитом - он пришел на свидание к потерпевшей.",Грабитель пришел на свидание.,entailment,train
"Их усилиями героями рекламы сайта бесплатных объявлений стали офицеры Северного флота. Сюжет ролика незамысловат и даже напоминает те, что сейчас крутят по нашему телевидению. Два рыбака сидят с удочками и решают, что им делать с холодильником, который находится тут же, в лодке на середине озера.",У рыбаков в лодке холодильник.,entailment,train
"""На парламентских выборах в Польше наблюдается низкая явка избирателей, сообщают в миссии CIS-EMO в воскресенье. """"На 14 часов общеевропейского времени в Польше проголосовало 23 процента избирателей"""", - заявляют наблюдатели. Однако это не окажет влияния на признание выборов, поскольку в польском избирательном законодательстве отсутствует порог явки, отмечают в миссии.""",Большинство польских избирателей проигнорировали выборы.,entailment,train
"Три торговые точки посетили рабочая группа партийного проекта «Народный контроль» и сотрудники управления муниципального заказа и торговли администрации Пуровского района. Как сообщает пресс-служба администрации Пуровского района, основные нарушения, которые были выявлены, - неправильное оформление ценников, отсутствие документов на выпечку, отсутствие маркировки на животноводческой продукции. Предприниматели пообещали исправиться, а контролеры вновь прийти с проверкой на данные объекты.","""""""Народный контроль"""" проверял торговые точки на предмет нарушений.""",entailment,train
"О насилии жертва сообщила врачам, когда ей исполнилось 16 лет. Но норвежские медики не имели права передавать эту информацию в полицию или родителям, поскольку формально девочка уже считалась совершеннолетней.","Девочка сообщила норвежским медикам, что когда-то ее изнасиловали.",entailment,train
"""""""Пишу сюда, потому что надоело отвечать одно и то же: никто ко мне не обращался"""".""",Никто ко мне не обращался.,entailment,train
"Известный в Рунете кот по кличке Барсик решил выдвинуть свою кандидатуру на предстоящих в 2018 году выборах президента России. О намерениях кота говорится на его странице в социальной сети. В сообщении отмечается, что он хочет побороться за этот государственный пост, так как является главным политическим котом.",Модераторы страницы Барсика в социальной сети считают его главным политическим котом.,entailment,train
"Как рассказали в краевой полиции, еще летом прошлого года молодой человек за денежное вознаграждение осуществил фиктивную постановку на учет шести иностранных граждан, указав в месте пребывания свой дом. В действительности граждане в этом жилом помещении не проживали. Обвиняемый объяснил, что решился на преступление, так как не имел постоянно работы и нуждался в деньгах.",Парень осуществил фиктивную постановку оперы.,not_entailment,train
"Вдруг - потому что к метели, которая началась в конце осени и закончилась в начале зимы, оказался никто не готов.",Метель началась вдруг.,entailment,train
"По предварительной версии, местный житель 1990 года рождения выстрелил своей даме сердца прямо в голову после того, как поссорился с ней на бытовой почве. От полученных ранений несчастная умерла до приезда врачей.",Местный житель прострелил даме сердце.,not_entailment,train
"Она сообщила об этом двум своим приятелям. Они изучили распорядок дня бизнесмена и напали на него на улице. Злоумышленники вывезли его за пределы города, отобрали деньги, убили.",Бизнесмена убили за пределами города.,entailment,train
"Первый процесс над Мохаммедом, бин Атташем, бин аль Шибхом, аль Азизом Али и аль Хавзави начался в военном суде США еще в 2008 году. Фигурантам дела предъявили 2973 обвинения в убийстве, сторона обвинения добивалась для подсудимых смертной казни. Правозащитные организации критиковали процесс, поскольку, по их мнению, рассматривавшая дело военная комиссия не обеспечивала действительно справедливого суда.",Обвинение требовало смертной казни подсудимых.,entailment,train
"Во время обыска в квартире подозреваемого полицейские обнаружили нож, а также похищенную сумку. Известно, что нападавший ранее судим за кражу, угон и мошенничество, а освободился из мест лишения свободы в ноябре прошлого года. По его словам, его мучили угрызения совести, поэтому он явился к стражам порядка.",Угон явился к стражам порядка.,not_entailment,train
"""Затем он вылез в окно и покинул здание. Кабинет находился на первом этаже. """"Что там сейчас происходит, не знаю, так как не нахожусь в здании"""".""",Он выбрался в окно.,entailment,train
"Как уточняет ярославская областная прокуратура, жителям одного из подъездов пришлось самим мыть грязные лестницы, потому что этого не делали сотрудники управляющей компании.",Управляющая компания отмыла весь подъезд.,not_entailment,train
"Наполитано подтвердил, что отставка Берлускони ожидается после принятия парламентом Италии пакета антикризисных мер.",Ожидается отставка Берлускони.,entailment,train
"Выпив, он крепко уснул и прибывшей дочери дверь не открыл. Женщине также пришлось проникнуть к отцу через окно. Она убедилась, что родитель жив и здоров, сделала домашние дела и уехала домой.",Женщина привыкла лазить к отцу через окно.,not_entailment,train
"Группа вооруженных до зубов бандитов обстреляла здание прокуратуры мексиканского штата Кинтана-Роо в курортном городе Канкун, убиты как минимум три человека, еще несколько ранены. Как сообщает местное издание Excelsior, преступники подъехали на мотоциклах и открыли огонь по зданию, охрана прокуратуры вступила с ними в перестрелку. Из-за стрельбы пожарным пришлось срочно эвакуировать людей из расположенного рядом магазина, потому что шальная пуля попала в цистерну с газом, была опасность взрыва.",В Канкуне обстреляно здание прокуратуры.,entailment,train
"Об этом на своей странице в Facebook сообщил один из сотрудников университета. - Весь профессорско-преподавательский состав мужского пола не зависимо от возраста и званий должен получить эти справки. Это странно, потому что отдел кадров сам не может запросить этот документ, а он, судя по всему, нужен для будущей аккредитации.",Отдел кадров свалил проблему получения справок на преподавателей.,entailment,train
