premise,hypothesis,label,predicted_label,label_quality_score
"Организацией данной акции для малышей, которые остались без родительской заботы, занимается профсоюзный комитет студентов ТОГУ, - рассказали в пресс-центре ТОГУ.",Это акция для ребят из детского сада.,not_entailment,entailment,0.19147882
"Женщину доставили в больницу, за ее жизнь сейчас борются врачи.",Женщину спасли врачи.,not_entailment,entailment,0.19155443
"Он был уверен, что в процессе был допущен ряд процедурных нарушений.",В процессе был допущен ряд процедурных нарушений.,not_entailment,entailment,0.1917057
"Он был уверен, что в процессе был допущен ряд процедурных нарушений.",Он был уверен в процессе.,not_entailment,entailment,0.19193278
"Преступление удалось раскрыть в кратчайшие сроки благодаря тому, что пострадавшая сразу сообщила о случившемся в полицию. На помощь женщине оперативный дежурный направил ближайший патрульный экипаж. Отрабатывая дворы, прилегающие к месту происшествия, полицейские увидели молодого человека, приметы которого совпадали с описанием грабителя, и задержали его.",Молодого человека задержали по наитию.,not_entailment,entailment,0.19231172
"В ноябре того же года прошел суд. Стрелявшему дали восемь лет колонии строгого режима по статье за сбыт наркотиков. – Мужчина во всем сознался, поэтому его личность и детали преступления тщательно рассмотрели.",Мужчина сознался.,not_entailment,entailment,0.19253936
"Синоптики обещают: морозы, вновь нагрянувшие в Ульяновскую область, совсем скоро отступят, и к концу рабочей недели в регионе заметно потеплеет.",В Ульяновской области заметно потеплеет.,not_entailment,entailment,0.19269122
"Дорожную обстановку сегодня осложнили погодные условия. Всю ночь и утро валил снег, трассу не успели почистить. По предварительным данным, сначала дорогу не поделили две легковушки, затем в них въехала «Газель».",Пять машин попали в аварию.,not_entailment,entailment,0.19299524
"Суд установил, что каждый из подсудимых, действуя в сговоре с другими, выполнял отведенную ему роль в группе.",Подсудимые действовали сообща.,entailment,not_entailment,0.19299524
"Дело из 8 томов рассматривала 7 дней выездная коллегия Приволжского окружного военного суда. Большинство заседаний были закрытыми. Об этом ходатайствовала прокуратура, так как некоторые эксперты со стороны обвинения боялись угроз в случае дачи показаний в суде.",Все заседания были открытыми.,not_entailment,entailment,0.19307129
"""Внедорожник Toyota Land с российскими номерами двигался в сторону границы, когда на него с второстепенной дороги выскочила """"Волга"""". Для джипа, ехавшего на высокой скорости, было достаточно небольшого удара, чтобы вылететь в кювет. Видимо, водитель и пассажир внедорожника были не пристегнуты, так как вылетели через лобовое окно и погибли мгновенно.""","""Водитель и пассажир """"Волги"""" вылетели через лобовое окно и погибли мгновенно.""",not_entailment,entailment,0.19307129
"Парень пытался убежать, но не смог, а позже всю ночь боялся показаться дома. Скорую вызывали уже родители, а врач позвонил следователям. Потерпевший перенес несколько операций на внутренних органах, но остался жив.",Парень не смог убежать и умер.,not_entailment,entailment,0.19329962
"""26-летний житель Советского района Ставропольского края обвиняется в покушении на изнасилование несовершеннолетней. Как сообщили """"Комсомольской правде на Северном КАвказе"""" в пресс-службе СУ СК по СК, 22 июля прошлого года мужчина пришел в одну из торговых точек Георгиевска, где 16-летняя девочка подменяла продавца. Подозреваемый сначала ударил свою жертву по лицу, потом попытался изнасиловать, но не смог, так как на крики девочки прибежали прохожие.""",Мужчина попытался изнасиловать девушку в подсобке.,not_entailment,entailment,0.19337577
"""Четвертого июля ракету планируется вывезти на стартовый комплекс и запустить с космическим аппаратом связи Sirius 5 (SES-5) в 22:23 мск 7 июля. Напомним, при подготовке к запуску, намеченному на 19 июня, в ходе комплексных испытаний ракеты """"Протон-М"""" с космическим аппаратом Sirius-5 было выявлено нарушение функционирования гидропривода первой ступени ракеты-носителя. Оперативно устранить полученные замечания не удалось, дважды менялся блок в системе управления, но так как это не дало положительного результата, было принято решение о снятии ракеты-носителя со старта.""",Полученные замечания быстро устранили.,not_entailment,entailment,0.19345194
"Сначала он начал кружить на лодке вокруг животного с тем, чтобы создать волну. После этого он избил лося веслом. В результате лось утонул, а злоумышленнику удалось вытащить тушу на берег.",Злоумышленник убил лося веслом.,not_entailment,entailment,0.19383317
"""""""И если через три года у меня будет шанс не только принять участие в выборах, но и выиграть, я такой возможности не исключаю"""", - отметил он. Что же касается оппозиции и активных протестов, то их бизнесмен и политик считает более непродуктивными. """"Что касается участия в протестах, я в них участия лично принимать не буду, потому что я не вижу позитивной повестки"""", - сказал он.""",Бизнесмен и политик планирует принять участие в протестах.,not_entailment,entailment,0.19410035
"""""""Это очень хороший и неожиданный показатель, который опровергает опасения высокого уровня неявки избирателей, которые высказывались накануне дня голосования"""", - заявил генеральный директор Института исследования общественного мнения CSA Бернар Сананес в эфире телеканала. Тем не менее эксперт предостерег от преждевременных выводов, так как, по его мнению, """"существует разница между утренним и вечерним голосованием"""".""",Эксперт не видит разницы между утренним и вечерним голосованием.,not_entailment,entailment,0.19413853
"Губернатор осмотрел дома, куда заселят работников.",Губернатор осмотрел работников.,not_entailment,entailment,0.19452077
"27 декабря в полицию обратилась жительница Димитровграда, которая сообщила, что стала жертвой мошенников. Она рассказала полицейским, что ей позвонил якобы сотрудник банка. Он сообщил, что, поскольку женщина является их постоянным клиентом, ей положена компенсация.",Сотрудник банка пообещал женщине компенсацию.,not_entailment,entailment,0.1949036
"Одна из новостей не может не радовать – часть заповедника, горный массив «Оглахты», в скором времени может получить статус объекта Всемирного наследия ЮНЕСКО. - Если это произойдет, это будет способствовать развитию туризма в Республике Хакасия на международном уровне, ведь туристы с большим интересом посещают объекты всемирного наследия, - отметил Игорь Егоров, заместитель директора по развитию туризма в заповеднике «Хакасский». Развитию экологического туризма в республике уделяют особое внимание, поскольку это повышает культуру отдыха туристов, сохраняет природу и историко-культурные объекты.",Горный массив «Оглахты» стал объектом Всемирного наследия ЮНЕСКО.,not_entailment,entailment,0.19498022
Учредителем центра стала Государственная канцелярия.,Государственная канцелярия выступила перед учредителем.,not_entailment,entailment,0.19505687
"Как стало известно, никто не пострадал.",Пострадали многие.,not_entailment,entailment,0.19505687
"Ребята показали сегодня, что у них есть характер, есть самолюбие, есть достоинство и профессионализм. В принципе, полтора тайма выдерживали план на игру, затем случился провал. В конце матча пришлось нелегко, но мы выстояли.",В конце первого тайма случился провал.,not_entailment,entailment,0.19521025
"Как сообщают очевидцы в социальных сетях, в Новом городе на пересечении проспектов Ленинского Комсомола и Ульяновского лоб в лоб столкнулись две легковушки.",В соцсетях сообщается о столкновении трех грузовиков.,not_entailment,entailment,0.19528697
"Но мир не без добрых людей. Нашелся меценат, который взял все расходы на себя. Мы сейчас не говорим о технической составляющей: соответствуют ли шарики и гирлянды тому, что мы прописывали в документации, - пояснил чиновник.",Меценат взял часть расходов на себя.,not_entailment,entailment,0.19536372
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Народ с митинга уверенно расходился.,entailment,not_entailment,0.19544049
"""В Сухуми взорван внедорожник, припаркованный недалеко от жилого дома по ул.Когония, сообщил """"Интерфаксу"""" начальник УВД города Гарри Аршба. По словам собеседника агентства, взрыв произошел около 12:30 в субботу. В результате взрыва никто не пострадал, так как в автомобиле никого не было.""",В Сухуми взлетел на воздух жилой дом.,not_entailment,entailment,0.19590156
"Он сообщил, что после митинга были задержаны, как минимум, четыре человека. Среди них член КПРФ и помощник депутата Госдумы. Как сообщили агентству в пресс-службе правительства Самарской области, уведомление, поданное организаторами митинга, не было рассмотрено, так как было составлено с ошибками.",Митинг завершился.,entailment,not_entailment,0.19613242
"Однако, в ходе прокурорской проверки выяснилось, что на самом деле педагог не занимался с подопечным, его обучали только специалисты из лицея №1, за которым был закреплен мальчик. - После вмешательства педагог вернул незаконно полученный заработок. Заместителю директора интерната, который не проконтролировал исполнение обязанностей специалистом, объявлен выговор, - рассказали в пресс-службе республиканской прокуратуры.",Прокурор не занимался с подопечным.,not_entailment,entailment,0.19620943
"В продуктовом магазине на улице Суворова продают подозрительно дешевый алкоголь. Силовики провели контрольную закупку и выяснили, что алкоголь в павильоне продавали без специальной лицензии.",Дешевый алкоголь оказался нелицензированным.,entailment,not_entailment,0.19636348
"""По его словам, три вагона сошли с колеи по одной оси на грузовой ветке в районе Белоострова. """"Пострадавших и технологических разрушений нет. Задержек в следовании поездов тоже, поскольку по этой линии пассажирские составы не ходят"""", - сказал собеседник.""",Железнодорожной катастрофы удалось избежать.,not_entailment,entailment,0.19651762
"Как констатируют в областной полиции, проблема пьянства за рулем продолжает оставаться для Еврейской автономии актуальной.",В Еврейской автономии возникли проблемы у пьяных за рулем.,not_entailment,entailment,0.19705787
"""""""Ласточки"""" засыпает снегом, они ржавеют и гниют, но в какой-то мере это правильное решение.""","""""""Ласточки"""" гниют от снега.""",not_entailment,entailment,0.19728975
"Мероприятие прошло без инцидентов. По итогам акции был составлен административный протокол, так как количество участников превысило заявленное число.",Акция прошла без нарушений.,not_entailment,entailment,0.19744444
"""Но не одновременно. По ночам он участвует в пятиминутных ограблениях, строго ограничиваясь именно этим временем, не задерживаясь нигде и ни при каких условиях, не трогая деньги, и не соблюдая """"пацанские кодексы чести"""". Только потому что это его работа, а на такой работе он не дружит.""",Он планирует ограбления.,not_entailment,entailment,0.19744444
"Они искали места, где незаконно продают выпивку.",Они искали места незаконной продажи сигарет.,not_entailment,entailment,0.19744444
"""На вопрос, занимался ли задержанный канадский лейтенант шпионажем в пользу России, Г.Мамедов ответил, что """"не знает"""", так как """"не он возглавляет службу разведки"""". А на вопрос, кто из российских дипломатов покинул страну, российский посол и вовсе отказался отвечать. """"Я не могу свободно обсуждать эту тему, так как не хочу повлиять на ведение судебного процесса"""", - сказал он.""",Задержанный канадский лейтенант занимался шпионажем в пользу России.,not_entailment,entailment,0.19752184
"Для этого они изучили запросы, которые делали все эти дни жители Дона.",Они изучили ответы жителей Дона.,not_entailment,entailment,0.19759925
"Она сообщила об этом двум своим приятелям. Они изучили распорядок дня бизнесмена и напали на него на улице. Злоумышленники вывезли его за пределы города, отобрали деньги, убили.",Бизнесмена убили за пределами города.,entailment,not_entailment,0.19798662
"Он воспользовался тем, что владелец машины отлучился, оставив ключи, и решил покататься. В этот момент на заднем сидении находилась пассажирка. Преступник находился в состоянии сильного алкогольного опьянения, по этой причине и не справился с управлением.",Мужчина угнал машину вместе с пассажиркой.,entailment,not_entailment,0.19821934
"Он сделал это только после того, как его лишили водительских прав, сообщает пресс-служба краевого управления Федеральной службы судебных приставов.",Он всё-таки сделал это.,entailment,not_entailment,0.19829693
"Недавно здесь, у пересечения с улицей Трудовой, построили многоквартирный дом, а за конструкцией в виде парусника «прячется» детская площадка.",На Трудовой улице построили многоквартирный дом.,not_entailment,entailment,0.19837458
"Специалисты трудовой инспекции провели внеплановую проверку на заводе и выяснили, что предприятие действительно имеет большие долги по зарплате.",Завод не полностью выплатил зарплату.,entailment,not_entailment,0.19860761
"1 ст. 285 УК РФ (злоупотребление должностными полномочиями). Никто из них не стал предпринимать никаких действий, так как оба полагали, что данное преступление не будет раскрыто, и это отразится на показателях их работы и может повлечь применение к ним мер ответственности.",Преступления не было.,not_entailment,entailment,0.19884089
"""Возраст людей определить не смог. Их лица были закрыты капюшонами, - рассказал журналисту """"Комсомольской правды""""-Саратов один из автолюбителей, проезжавших на мосту. - Со стороны обоих городов образовалась пробка, так как прибывшие машины спасателей и полиции перегородили полосу движения.""",Люди прятали лица под капюшонами.,entailment,not_entailment,0.19899648
"Ведомство направило официальные письма руководителям отделов безопасности самоуправлений, в которых разъясняют их действия.",Ведомство ждет письма.,not_entailment,entailment,0.199308
"Судебные журналисты у нас были хорошо подготовлены, с хорошим языком, игравшие важную роль в развитии судебной системы. Если вы специализируетесь на земле, ничего в этом зазорного нет. Ваш вопрос крайне важен, потому что вопрос земли - это вопрос социальной справедливости.",Вы специализируетесь на земле.,not_entailment,entailment,0.19985402
"Реставраторы саратовского театра, который спустя четыре года после пожара наконец распахнул свои двери, поделились деталями своей работы.",Реставраторы рассказали о пожаре.,not_entailment,entailment,0.20001023
"Минимальные травмы получил водитель автомобиля. Он смог самостоятельно выбраться из машины и наблюдал за происходящим со стороны. По предварительной версии, водитель потерял управление автомобилем, поскольку выбрал небезопасную скорость движения.",Водитель получил значительные травмы.,not_entailment,entailment,0.20001023
"""""""Я не исключаю"""", - сказал Путин в ходе полемики с экс-премьером Франции Франсуа Фийоном в рамках заседания дискуссионного клуба """"Валдай"""". Президент РФ поинтересовался у Фийона, будет ли тот выставлять свою кандидатуру на пост президента Французской Республики, попросив его """"коротко ответить, односложно"""". Французский политик от ответа уклонился: """"Я не стал бы отвечать на этот вопрос, потому что вы на него не ответили"""".""",Французский политик ответил односложно.,not_entailment,entailment,0.20040114
"На «те же грабли» мужчина встал, когда во второй раз сел за руль в пьяном виде. Очевидцы сообщили о пьяном водителе в полицию. И если в первом случае он отказался проходить медицинское освидетельствование, то во втором пытался выдать себя за пассажира.",Пьяный водитель сумел выдать себя за пассажира.,not_entailment,entailment,0.20087102
"У троих участников драки диагностированы различные травмы. Что интересно, в полиции все они заявили, что претензий друг к другу не имеют.",Участники драки остались довольны друг другом.,entailment,not_entailment,0.20087102
"Это будет первый опыт. И, думаю, он будет успешным. Впоследствии постараемся, чтобы этот объект был передан собственнику, который сможет его отреставрировать и использовать по назначению.",Объект был передан собственнику.,not_entailment,entailment,0.20102783
"Однако тот попытался нанести одному из хоругвеносцев удар, и был задержан полицией. Православные активисты не пускают людей с белыми лентами оппозиции к входу в Храм Христа Спасителя. Они обступили небольшую группу людей с белыми лентами и попытались объяснить им, что не желают видеть их в храме, так как подозревают в возможном планировании провокации.",Православные активисты приглашают людей с белыми лентами оппозиции в Храм Христа Спасителя.,not_entailment,entailment,0.2012632
"""Боксер Денис Лебедев не исключил, что в команде Александра Поветкина есть предатель, который мог «подсыпать» ему допинг. Напомним, ранее стало известно, что перед боем за титул """"временного"""" чемпиона мира по версии Всемирного боксерского совета (WBC) с канадцем Бермейном Стиверном в допинг-пробе россиянина был обнаружен запрещенный препарат остарин. В результате бой был отменен, так как соперник отказался его проводить.""",Поветкину подсыпали допинг.,not_entailment,entailment,0.20149878
"""Была установлена личность подозреваемого - 27-летнего мужчины. По словам задержанного, он был давно влюблен в жену убитого и различными способами добивался ее внимания. """"Так как женщина не хотела с ним общаться, он решил похитить ее мужа"""", - говорится в сообщении.""",27-летний мужчина похищен.,not_entailment,entailment,0.20165595
"""Такой законопроект обсудят в Госдуме в ближайшее время. Отмечается, что в настоящее время у людей, страдающих от этого заболевания, часто снимают инвалидность в подростковом возрасте, и они теряют льготы на приобретение жизненно важных лекарств. «Нужно сохранять инвалидность при сахарном диабете, так как это неизлечимое хроническое заболевание"""".""",Законопроект вызывает сахарный диабет.,not_entailment,entailment,0.20173459
"Оно было заброшенным, что там произошло - неизвестно.",Там что-то произошло.,not_entailment,entailment,0.20193122
"""""""Это - финальный аккорд предвыборной кампании"""", - сказал В.Бурматов в четверг, которого цитирует сайт """"Единой России"""". По мнению депутата, митинг демонстрирует, что не только содержательная повестка дня, но и улица полностью перехвачена пропутинскими силами. """"И ни о каких оранжевых сценариях говорить уже просто не придется, потому что улица занята нами"""", - заявил парламентарий.""","""Сайт """"Единой России"""" цитирует неизвестного спикера.""",not_entailment,entailment,0.20212801
"Как сообщает пресс-служба учреждения, влюбленные смогут пройти по одному билету, если признаются в своих чувствах в присутствии кассира.",Влюбленные должны признаться в своих чувствах к кассиру.,not_entailment,entailment,0.20228557
"В соответствии с законом ему выдали подписку о невыезде. На рассмотрение все документы передали в областной суд. Тогда же он пытался обжаловать заведенное уголовное дело, но получил отказ.",Ему удалось обжаловать заведенное уголовное дело.,not_entailment,entailment,0.20244318
"""Количество участников акции протеста """"Захвати Уолл-стрит"""", которые на протяжении нескольких недель не покидают небольшой парк недалеко от Уолл-стрит, превысило 600 человек, сообщает в пятницу британская газета Guardian. Полиция приказала демонстрантам покинуть парк, чтобы в нем можно было провести уборку, необходимую из-за продолжительного пребывания здесь палаточного городка и связанной с этим антисанитарии. Однако демонстранты не собираются выполнять требование полиции, поскольку считают его отговоркой для разгона акции протеста.""",Демонстранты подчинились требованиям полиции.,not_entailment,entailment,0.20291664
"Как считают следователи, в течение трех лет она специально указывала в налоговой декларации цифры, которые были значительно ниже реальных.",Три года она фальсифицировала налоговые декларации.,entailment,not_entailment,0.20362833
"После этого мужчина развернулся и поспешно покинул здание вокзала. Стражам порядка такое поведение показалось подозрительным, и они задержали мужчину. При личном досмотре, выяснилось, что у него в нагрудном кармане лежат семь патронов.",Мужчина украл из здания вокзала семь патронов.,not_entailment,entailment,0.20410384
"Однако через полчаса правоохранители задержали его. Мужчина признал вину. Рассказал, что зашел в квартиру, потому что она была открыта.","Возможно, квартира действительно была открыта.",entailment,not_entailment,0.20426252
"""Он добавил, что поскольку письмо было оформлено с нарушениями, оно отправлено заявителю для устранения """"недостатков"""".""",Письмо вернулось к заявителю.,entailment,not_entailment,0.20442131
"Подробности случившегося не сообщаются. Известно, что о произошедшем в полицию сообщила мать девочки, правда, пришла она в отделение на неделю позже. Она рассказала, что преступник каким-то образом проник к ним в дом и совершил надругательство над дочерью.",Подробности случившегося полиция не знает.,not_entailment,entailment,0.20442131
"Вот только когда вечеринка завершилась, девушка обнаружила, что ее дорогой мобильный телефон пропал.","Во время вечеринки девушка обнаружила, что ее дорогой мобильный телефон исчез.",not_entailment,entailment,0.2055353
"Пока ехала «скорая», очевидцы пытались оказать пенсионерке помощь.","""Очевидцы в """"скорой"""" пытались помочь женщине.""",not_entailment,entailment,0.20561504
"Мужчина сообщил, что к краже может быть причастна его собственная дочь, у которой был доступ к ключам от сейфа.",К краже причастна дочь мужчины.,not_entailment,entailment,0.20681395
"Женщина несколько дней искала пропажу, а потом обратилась в полицию.",Женщина несколько дней обращалась в полицию.,not_entailment,entailment,0.20729496
"""Правозащитники предлагают сократить область применения в России понятия """"экстремистская деятельность"""" и отказаться от списка запрещенной экстремистской литературы. """"Должно быть резко сокращено применение понятия """"экстремистская деятельность"""", кроме случаев самих насильственных преступлений, призывов к насильственным преступлениям, либо организованной деятельности, связанной с насильственными преступлениями"""", - заявил на пресс-конференции в центральном офисе """"Интерфакса"""" в среду директор информационно-аналитического центра """"Сова"""" Александр Верховский. Он также предложил отказаться от федерального списка запрещенных экстремистских материалов, так как он, по мнению правозащитника, """"не работает"""".""","""Правозащитники недовольны слишком узкой областью применения в России понятия """"экстремистская деятельность"""". """,not_entailment,entailment,0.20741533
"""""""Каким образом, скажите мне, действия адвокатов могут вызвать неправосудное судебное решение?"""" - задался вопросом адвокат. По его мнению, """"это дело не требовало глубин, потому что сама конструкция обвинения не соответствовала действиям подсудимых: в них был состав административного правонарушения, а не уголовного"""".""",Адвокат согласен с подходом обвинения.,not_entailment,entailment,0.20745546
"Когда мужчине стало плохо, дежурившие спасатели поспешили на помощь.",Мужчине стало плохо не из-за спасателей.,entailment,not_entailment,0.2087429
"В ходе разбирательств выяснилось, что данное транспортное средство числится в угоне.","Оказалось, что самолет угнан.",not_entailment,entailment,0.20979328
"Прибывшие полицейские обнаружили, что неизвестный почти не оставил следов своего пребывания в доме.",Неизвестный не оставил следов своего пребывания в доме.,not_entailment,entailment,0.21011725
"В четверг, 15 декабря в полицию Екатеринбурга за помощью обратились родители 10-летнего Кости Захаровского. Утром он ушел в школу, а домой так и не вернулся. На телефонные звонки мальчик ответить не мог, так как сотовый был не активен.",В Екатеринбурге нашелся мальчик.,not_entailment,entailment,0.21019831
"Сироты наши герои потому, что люди убили их родителей. А другие люди нашли умиравших детенышей и выходили их, чтобы потом отпустить на волю. Это дрессировка наоборот, потому что целью ее является не вырастить друга и помощника, но вместо этого сделать шимпанзе или слона пригодным для жизни в дикой природе, не дать ему привязаться к человеку и загону.",Родителей этих детенышей убили звери.,not_entailment,entailment,0.21036048
"Как сообщили в правительстве области, на ней можно будет купить товары местных производителей.",В правительстве области можно будет приобрести товары местных производителей.,not_entailment,entailment,0.21052274
"Как выяснилось, женщина выпала из окна собственной квартиры.",Женщина выбросилась из окна.,not_entailment,entailment,0.21101007
"Женщина сообщила, что стала жертвой обмана.","Жертва обмана сообщила, что стала женщиной.",not_entailment,entailment,0.21239536
"""Как сообщил после заседания адвокат Александр Гофштейн, """"ни одно доказательство и ни одна экспертиза не доказывает совершения Макаровым данного преступления"""". """"Доказательства недостоверные, неубедительные и с процессуальной точки зрения недопустимые"""", - сказал Гофштейн. Он намерен обратиться в надзорную инстанцию суда с жалобой, так как намерен добиваться полной отмены приговора для своего подзащитного.""",Адвокат предоставил недостоверные и даже недопустимые доказательства.,not_entailment,entailment,0.21247704
"""""""Есть только несколько причин, по которым мы на государственной экзаменационной комиссии будем рассматривать подобные заявления"""", - сразу подчеркнул замминистра. Откажут школьникам, которые решат поменять направление образования и, следовательно, предметы для экзаменов. А вот, например, тем, кто захочет пойти в армию, дадут положительный ответ.""","Пойти в армию нельзя, а поменять направление образования можно.",not_entailment,entailment,0.21288587
"""Следователи ознакомили лидера националистического движения """"Русские"""" Дмитрия Демушкина с проведенными экспертизами, одна из которых заключила, что в его прошлогоднем интервью, из-за которого было возбуждено одно из уголовных дел, отсутствует элемент разжигания межнациональной розни.""",Одно из интервью националиста не разжигало межнациональную рознь.,entailment,not_entailment,0.2129677
