premise,hypothesis,label,methods,n_methods
"История мужчины не нова - сел за руль в пьяном виде, был остановлен полицией, лишен водительских прав и оштрафован, - штраф в установленное время не заплатил.",Пьяный водитель опоздал с выплатой штрафа.,entailment,"cleanlab, datamaps",2
"Мужчина сначала задушил, а потом обокрал своего знакомого.","Мужчина обокрал знакомого, а потом задушил его.",not_entailment,"cleanlab, datamaps",2
"""""""В случае явки потерпевших на судебное заседание они будут иметь возможность задавать вопросы присяжным, выяснять интересующие их обстоятельства, заявлять ходатайства точно также в закрытом режиме, как это делалось на стадии отбора присяжных"""", - пояснила представитель Мосгорсуда. Она отметила также, что суд не мог откладывать процесс отбора коллегии присяжных до бесконечности. """"При всем уважении к чувствам потерпевших суд не мог затягивать процесс отбора присяжных, поскольку приходилось работать с десятками кандидатов"""", - заявила она, добавив, что и прежде в практике судов бывали случаи, когда по тому или иному делу проходили десятки потерпевших, и они не имели возможности участвовать в начале в стадии отбора присяжных.""",Суд мог откладывать процесс отбора коллегии присяжных до бесконечности.,not_entailment,"cleanlab, datamaps",2
"""Фильм """"Невинность мусульман"""", удаленный из социальной сети """"ВКонтакте"""", больше не появится на ресурсе, но там останутся ролики о нем. """"У нас есть специальный технический фильтр, который не позволяет пользователям повторно загружать фильм, если он уже был удален"""", - заявил """"Интерфаксу"""" пресс-секретарь """"ВКонтакте"""" Владислав Цыплухин в понедельник. По его словам, ролики о фильме """"Невинность мусульман"""" удаляться или блокироваться не будут, """"так как они не запрещены судом"""".""","""Фильм """"Невинность мусульман"""" и ролики о нем не запрещены судом.""",not_entailment,"cleanlab, datamaps",2
"""""""Будем участвовать в выборах (главы Химок - ИФ). Мы уже часть документов собрали, через несколько дней подадим на регистрацию и будем собирать подписи"""", - заявил он """"Интерфаксу"""" в понедельник. По его словам, у него есть несколько идей для предвыборной кампании: """"Например, все посты в правительстве будут занимать немцы, потому что наши чиновники все воруют"""".""",Предстоят выборы главы Химок.,entailment,"cleanlab, ds2",2
"Причиной этому стал звонок от неизвестного мужчины, который сообщил в полицию о нахождении в здании бомбы.",Неизвестный мужчина позвонил в полицию и сообщил о звонке.,not_entailment,"cleanlab, datamaps, ds2",3
"Замоскворецкий суд Москвы постановил провести комплексную экспертизу по делу против чемпиона мира по боевому самбо Расула Мирзаева, который нанес 19-летнему Ивану Агафонову удар, ставший смертельным. Вопрос о проведении новой экспертизы был поставлен председательствующим на процессе судьей. Сторона потерпевших согласилась с необходимостью провести новое исследование, поскольку увидела противоречия в предыдущих.",Чемпион мира по боевому самбо убил Ивана Агафонова одним ударом.,entailment,"cleanlab, ds2",2
"Он уже пришел в сознание. Спорт есть спорт – случилось перенапряжение, поскольку была очень жесткая борьба. Про судейство говорить бессмысленно, поскольку ничего не изменишь.",Он уже в сознании.,entailment,"cleanlab, ds2",2
"Мужчина опубликовал в Интернете музыкальные записи, которые имели экстремистский подтекст.",Мужчина распространил музыкальные записи с экстремистским подтекстом.,entailment,"cleanlab, ds2",2
"Сегодня к экономии средств активно подключаются муниципальные образования, поскольку имеется республиканская поддержка.",Экономией средств занимается все больше территорий.,entailment,"cleanlab, datamaps",2
"Уголовное дело в отношении парня возбудили после того, как неравнодушные граждане пожаловались на него в полицию.",На парня завели уголовное дело.,entailment,"cleanlab, datamaps, ds2",3
"""""""Ласточки"""" засыпает снегом, они ржавеют и гниют, но в какой-то мере это правильное решение.""","""""""Ласточки"""" гниют от снега.""",not_entailment,"cleanlab, datamaps, ds2",3
"Все это может привести к осложнению оперативной обстановки на автомагистралях, которые проходят через Смоленскую область.",Есть риск усложнения оперативной обстановки на автомагистралях.,entailment,"cleanlab, ds2",2
"Искренне разделяем Вашу боль и передаем слова сочувствия и поддержки Вам и Вашим родным. Примите наши искренние соболезнования. В эту горькую минуту разделяем Ваше горе, скорбим вместе с Вами.",Кто-то умер.,entailment,"cleanlab, datamaps",2
"То снегом запорошит, то на улицах появятся сказочные герои.","Случаются и снежная пороша, и явления сказочных персонажей.",entailment,"cleanlab, datamaps",2
"Вдруг раздался выстрел: водитель рухнул на снег, пролилась кровь. Раненный скончался на месте. Неизвестный, а может их было несколько, застрелил мужчину.",Водителя застрелили несколько неизвестных.,not_entailment,"cleanlab, datamaps",2
"Как рассказали «Комсомольской правде» в пресс-службе регионально прокуратуры, мужчину подозревают в хищении крупной суммы денег.",Мужчину подозревают в отравительстве.,not_entailment,"cleanlab, ds2",2
"Они не знают обидчиков. - По словам потерпевших, накануне около четырех часов дня на них напали трое неизвестных подростков и избили. По данному факту проводится проверка, - рассказывает источник в правоохранительных органах.",Потерпевшие обвиняют трех подростков.,entailment,"cleanlab, ds2",2
"""""""Насколько мне известно, они мало чем отличаются от рекомендаций, которые давали специалисты из нашей страны, которые давали консультации по неврологии и нейрохирургии"""", - сообщила Моисеенко. Она, однако, уклонилась от ответа на вопрос можно ли говорить о том, что диагноз немецких врачей совпадает с диагнозом, который ранее поставили украинские медики. """"Я не могу обсуждать этот вопрос, потому что это предварительные выводы.""","Диагноз немецких врачей совпадает с диагнозом, который ранее поставили украинские медики.",not_entailment,"cleanlab, datamaps",2
"""Внедорожник Toyota Land с российскими номерами двигался в сторону границы, когда на него с второстепенной дороги выскочила """"Волга"""". Для джипа, ехавшего на высокой скорости, было достаточно небольшого удара, чтобы вылететь в кювет. Видимо, водитель и пассажир внедорожника были не пристегнуты, так как вылетели через лобовое окно и погибли мгновенно.""","""Водитель и пассажир """"Волги"""" вылетели через лобовое окно и погибли мгновенно.""",not_entailment,"cleanlab, datamaps",2
"""Полицейские возбудили уголовное дело по статье """"Кража"""" и принялись искать вора. В итоге мужчину задержали сотрудники уголовного розыска. Оказалось, что """"дальний родственник"""" ранее уже привлекался к уголовной ответственности за мошенничество.""","""Вора задержал """"дальний родственник"""".""",not_entailment,"cleanlab, datamaps",2
"""""""Википедия"""" пишет, что это был период избирательной президентской кампании в России, а Макфол тогда занимался изучением избирательных технологий. Как писал один из коллег Макфола, он поначалу хотел отклонить приглашение Коржакова, который в то время входил в предвыборный штаб Ельцина. Однако приятель посоветовал ему принять приглашение, поскольку последствия отказа были бы намного хуже.""",Коржаков входил в предвыборный штаб Ельцина.,entailment,"datamaps, ds2",2
"Он обвинялся в убийстве жены, сообщается в пресс-службе областной прокуратуры.",Его обвиняли в смерти супруги.,entailment,"cleanlab, ds2",2
"""""""Воздушные шары символизируют открытость и честность выборов, а их количество равно числу ТИКов в республике"""", - пояснил агентству поднесший спичку к чучелу, облив его перед этим жидкостью для разведения костров, правозащитник Эдвард Мурзин. Участники митинга, организованного одним из лидеров общественного движения """"Голос Уфы"""" Андреем Андреевым, прошли колонной с речевками и знаменами несколько кварталов к площади перед Русским драмтеатром. Полиция не перекрывала движение автотранспорта, поскольку колонна участников акции двигалась только по тротуарам.""",Честность и открытость выборов символизирует колонна с речевками.,not_entailment,"cleanlab, datamaps, ds2",3
"В Нижегородской области выясняют причины крупного пожара, в результате которого сгорел дом и пострадал подросток.",В Нижегородской области сгорел подросток.,not_entailment,"cleanlab, datamaps, ds2",3
"""Береговой в суде пожаловался на противоправные действия и угрозы со стороны друзей Агафонова. """"После инцидента 15 августа 2011 г. ко мне приезжал молодой человек со стороны Агафонова, он требовал видеозапись с камер наблюдения, - рассказал он. По его словам, угрожавший обещал """"всем устроить, так как побили хорошего человека"""".""",Береговой жаловался на качество видеозаписи.,not_entailment,"cleanlab, ds2",2
"Пострадавший пробирался между вагонами состава, когда поезд начал движение.",Человек пострадал.,entailment,"cleanlab, ds2",2
"""По словам марксистов, они продолжат атаки против властей, поскольку те """"нарушают право турецких граждан на свободу мысли и совести"""".""",Марксисты уже организовывали атаки против властей.,entailment,"cleanlab, datamaps",2
"Когда на место приехали сотрудники полиции, они составили описание со слов свидетельницы.",Свидетельница помогла составить описание.,entailment,"cleanlab, ds2",2
"Соотношение скорости встречного автомобиля и его машины… От этого получился сильный удар. Если кто-то читал когда-то физику, то думаю, люди поймут. Звонит очень много людей на его номер и на мой, кто знает.",Его машина и встречный автомобиль столкнулись.,entailment,"cleanlab, ds2",2
"Деньги кто-то перевел на другую карту. Сделали запрос в банк и быстро нашли мошенника. Тут и выяснилось, что пострадавший сам накликал на себя беду, когда указывал свой номер в банке.",Мошенником оказался пострадавший.,not_entailment,"cleanlab, datamaps",2
"""По словам президента, во всем мире референдумы используются достаточно редко, потому что сложна процедура их организации, а последствия референдумов зачастую могут привести к расколу общества. Но по некоторым вопросам, по его мнению, обязательно нужно узнать точку зрения большинства населения страны. """"Сделать это с использованием существующих технологий очень сложно, потому что это дорого и неэффективно"""".""","По мнению президента, по ряду вопросов обязательно нужно узнать точку зрения половины населения страны.",not_entailment,"cleanlab, datamaps",2
"Он сообщил, что после митинга были задержаны, как минимум, четыре человека. Среди них член КПРФ и помощник депутата Госдумы. Как сообщили агентству в пресс-службе правительства Самарской области, уведомление, поданное организаторами митинга, не было рассмотрено, так как было составлено с ошибками.",Митинг завершился.,entailment,"cleanlab, datamaps",2
Водители грузовых автомобилей простаивают в очереди по нескольку суток из-за медленного таможенного оформления товаров в связи с недостатком кадров у таможни.,На таможне слишком мало сотрудников.,entailment,"cleanlab, datamaps, ds2",3
"Циклон уходит в океан, там растворяется.",Циклон рассеивается над океаном.,entailment,"cleanlab, datamaps",2
"""По мнению С.Еничери, это противоречит принципам, сформулированным в Коране. """"Дед Мороз прибирается в дома через окна или дымоходы. Если бы он был честным человеком, то проходил бы через двери, так как у нас так принято"""", - отметил имам.""","По мнению имама, поведение Деда Мороза соответствует принципам Корана.",not_entailment,"cleanlab, datamaps",2
"Во время обыска в квартире подозреваемого полицейские обнаружили нож, а также похищенную сумку. Известно, что нападавший ранее судим за кражу, угон и мошенничество, а освободился из мест лишения свободы в ноябре прошлого года. По его словам, его мучили угрызения совести, поэтому он явился к стражам порядка.",Угон явился к стражам порядка.,not_entailment,"cleanlab, datamaps",2
"Она рассказала, что в дверь ее комнаты в общежитии постучали.",У нее две комнаты в общежитии.,not_entailment,"cleanlab, ds2",2
Выяснять отношения подшофе – одна из самых ужасных и опасных привычек многих людей. Почему опасных? Да потому что именно в таком состоянии большинство не контролируют своих эмоции и в порыве ярости могут пойти на что угодно.,У людей нет опасных привычек.,not_entailment,"cleanlab, ds2",2
"Она рассказала, что поймала на дороге машину, чтобы поехать на работу.",Она хотела поехать на работу.,entailment,"cleanlab, ds2",2
"Свои поступки женщина объяснила тем, что муж бросил бы ее, если бы она родила ему много детей. К 2006 г. в семье уже росли два ребенка. Личность осужденной сохранена в тайне, поскольку разглашение этой информации противоречит немецкой системе правосудия.",Муж не любил много детей.,entailment,"cleanlab, datamaps, ds2",3
"""Члены президентского совета отметили, что это не первое определение КС, указывающее судам, что Уголовный кодекс не предусматривает признание вины обязательным для решения об УДО. Однако такой вывод можно сделать из нормы Уголовно-исполнительного кодекса, где указано, что """"администрация должна представить документы на осужденного, выразить свою позицию о том, что ему не нужно больше отбывать наказание, поскольку он признал вину, раскаялся, возместил ущерб"""", отметила Морщакова. """"Это """"поскольку"""" и заставляет суды считать, что они вправе отказать на таком основании"""", - сказал член президентского совета.""",Члены президентского совета отметили Новый год.,not_entailment,"cleanlab, ds2",2
"Общественный резонанс получил и традиционный Парад Памяти. -Этим парадом мы напомнили россиянам роль Самары в годы Великой Отечественной войны. Это важно, потому что имидж региона работает на его жителей, - уточнил губернатор.",Парад Памяти - традиционное мероприятие.,entailment,"cleanlab, ds2",2
"Как рассказывают очевидцы, инцидент произошел около восьми утра. Всем пассажирам удалось вовремя покинуть салон. - Классным было утро, ничего не скажешь.",Пассажиры покинули салон.,entailment,"cleanlab, ds2",2
"Шествие в Москве, по словам источника, близкого к ФНПР, стартует, как и прежде, от Белорусского вокзала и увенчается митингом у мэрии Москвы с выступлениями лидеров страны.",Шествие станет венцом митинга.,not_entailment,"cleanlab, datamaps",2
"Изначально он попал в поле зрения полиции, так как был в нетрезвом состоянии.","Полиция заметила его, так как он был нетрезв.",entailment,"cleanlab, ds2",2
"С наступлением зимы вопрос качества теплоснабжения выходит на первый план в сфере предоставления жилищно-коммунальных услуг. По каким причинам температура воздуха в квартире может не соответствовать санитарным нормам? И какую работу проводят работники жилищно-коммунального хозяйства, чтобы жильцы обслуживаемых домов чувствовали себя комфортно в квартирах на протяжении всего отопительного периода?",Жильцы обслуживаемых домов чувствуют себя комфортно в квартирах на протяжении всего отопительного периода.,not_entailment,"cleanlab, ds2",2
"Я здесь все взорву! – такую фразу часто можно услышать в захватывающих боевиках. Но вряд ли кто-то обрадуется, когда такое прозвучит от неизвестного человека в обычной жизни.","""В боевиках нередко угрожают """"все здесь взорвать"""".""",entailment,"cleanlab, datamaps",2
"""Новый полигон отличается повышенной сложностью и увеличенным количеством препятствий, сообщает """"Федеральное агентство новостей"""".""",Новый полигон сложнее многих.,entailment,"cleanlab, ds2",2
"Он выпил с хозяином, вышел во двор, увидел велосипед и стащил его. Вскоре мужчину задержали. - Велосипед стоил пять тысяч рублей, поэтому нанесенный ущерб был признан значительным.",Он вышел во двор и украл выпивку.,not_entailment,"cleanlab, datamaps",2
"У женщины, которая почти два года терпела побои и унижения, сдали нервы.",Женщина многие годы терпела побои и унижения.,not_entailment,"cleanlab, datamaps",2
"Чтобы хозяйка ноутбука не заметила пропажу, он подложил ей в сумку книги по кулинарии.",Ноутбук был украден.,entailment,"cleanlab, ds2",2
"Женщина несколько дней искала пропажу, а потом обратилась в полицию.",Женщина несколько дней обращалась в полицию.,not_entailment,"cleanlab, datamaps, ds2",3
"Сначала он позвонил в ГИБДД, чтобы эту машину эвакуировали, но те отказались, так как на авто не было номеров, а поэтому установить его владельца невозможно. После этого рассерженный северянин и сообщил в полицию о бомбе, - пояснила начальник пресс-службы.",На машине не было номеров.,entailment,"cleanlab, ds2",2
"Их стоит запускать в подъезды, офисы и магазины. Желательно также кормить животных. Собаки, а тем более кошки не смогут на улице пережить холод, когда температура воздуха опускается ниже -30 градусов.",В холода животных желательно кормить и пускать в подъезды и магазины.,entailment,"cleanlab, ds2",2
"Это будет первый опыт. И, думаю, он будет успешным. Впоследствии постараемся, чтобы этот объект был передан собственнику, который сможет его отреставрировать и использовать по назначению.",Объект был передан собственнику.,not_entailment,"cleanlab, datamaps",2
"В четверг, 15 декабря в полицию Екатеринбурга за помощью обратились родители 10-летнего Кости Захаровского. Утром он ушел в школу, а домой так и не вернулся. На телефонные звонки мальчик ответить не мог, так как сотовый был не активен.",В Екатеринбурге нашелся мальчик.,not_entailment,"cleanlab, ds2",2
"Как сообщили в правительстве области, на ней можно будет купить товары местных производителей.",В правительстве области можно будет приобрести товары местных производителей.,not_entailment,"cleanlab, datamaps, ds2",3
"Я сегодня первый раз вышла. Когда волна недовольства только начинала подниматься, я как-то равнодушно к этому отнеслась. Тогда муж сказал, что хочет пойти на Болотную - даже пыталась его отговорить, так как очень испугалась, что его могут замести.",Я отговорила мужа.,not_entailment,"cleanlab, datamaps",2
"Но как говорят в Брянской городской администрации, при повторной проверке проверяющие уже не нашли нарушений. - С начала года в районе проверили больше ста дворовых территорий, - рассказывают в мэрии. - Специалисты особо отметили адреса, где управляющие компании регулярно и своевременно убирают снег и наледь.",К повторной проверке управляющие компании подготовились лучше.,entailment,"cleanlab, datamaps",2
"Пассажиры жалуются на то, что отсутствуют последние рейсы, в салонах грязь и холод, водители курят, не покидая салона, и проезжают мимо остановок, экипажи не помогают инвалидам попасть в салон.",Пассажиры хвалят последние рейсы.,not_entailment,"cleanlab, ds2",2
"""""""Я надеюсь, они услышат. Это касается премий, доходов.... Нужно понимать, в какой стране мы живем, и не раздражать людей"""", - подчеркнул президент. Позже он добавил: """"То, что пресса """"пощипывает"""" представителей крупного бизнеса и чиновников - это хорошо"""".""","""Президент расстроен, что пресса """"пощипывает"""" чиновников и представителей крупного бизнеса.""",not_entailment,"cleanlab, datamaps",2
"Метрополитен Екатеринбурга разместил на сайте госзакупок запрос на кредит в 150 миллионов рублей. Напомним, что ранее руководство подземки неоднократно заявляло, что метро работает в убыток, а цена жетона намного ниже себестоимости поездки.",В Екатеринбурге есть метро.,entailment,"cleanlab, ds2",2
"Приехавшие на место стражи порядка выяснили, что женщина пригласила своего знакомого помочь ей по хозяйству. Мужчина пришел и в какой-то момент остался один - хозяйка вышла в соседнюю комнату. Гость в этом доме бывал не раз и даже знал, где пенсионерка хранит свои сбережения.",Хозяйка была на пенсии.,entailment,"cleanlab, datamaps",2
"Если первый блин вышел комом, то второй точно удался.",Кто-то точно совершил как минимум две попытки.,entailment,"cleanlab, datamaps, ds2",3
"К спасательной операции подключились силы Национальной гвардии США и дополнительные полицейские подразделения. На грузовиках они подвезли провиант и воду в районы у восточных склонов Скалистых гор, которые в данный момент оказались полностью блокированы в результате разлива рек. Работы осложняются, так как многие дороги оказались непроходимы из-за оползней, спровоцированных разливом воды.",Национальная гвардия США пытается остановить разливы рек.,not_entailment,"cleanlab, datamaps",2
"Четыре года назад он вышел на пенсию. Устроился на место поспокойнее - дворником в ижевскую школу. Тогда и не думал, что именно здесь он, декоратор по образованию, найдет свое призвание.",Пенсионер работал дворником.,entailment,"cleanlab, datamaps",2
"В пресс-службе ведомства сообщили, что в течение декады в муниципалитетах пройдут профилактические мероприятия.",Муниципалитеты будут заняты профилактическими мероприятиями.,entailment,"cleanlab, ds2",2
"Как выяснилось, причиной аварии на станции стало обрушение крыши в районе пятой турбины: рухнувшая кровля повредила трубы газопровода, от этого и произошел взрыв.",Пятая турбина рухнула на трубы газопровода.,not_entailment,"cleanlab, datamaps",2
"""В Сухуми взорван внедорожник, припаркованный недалеко от жилого дома по ул.Когония, сообщил """"Интерфаксу"""" начальник УВД города Гарри Аршба. По словам собеседника агентства, взрыв произошел около 12:30 в субботу. В результате взрыва никто не пострадал, так как в автомобиле никого не было.""",В Сухуми взлетел на воздух жилой дом.,not_entailment,"cleanlab, ds2",2
"""Следователи ознакомили лидера националистического движения """"Русские"""" Дмитрия Демушкина с проведенными экспертизами, одна из которых заключила, что в его прошлогоднем интервью, из-за которого было возбуждено одно из уголовных дел, отсутствует элемент разжигания межнациональной розни.""",Одно из интервью националиста не разжигало межнациональную рознь.,entailment,"cleanlab, datamaps",2
"Снег с крыши ни разу за зиму не скидывали, и вот лавины снега начали падать, там даже ограждения вырвало, - комментирует автор фото. - Ладно, машины, а если бы это были люди… Однако мнения комментаторов разделились. Одни жалеют пострадавших автовладельцев, которые оставили свои автомобили в непосредственной близости возле дома.",Крышу не чистили всю зиму.,entailment,"cleanlab, datamaps, ds2",3
"""Астахов отметил, что в ситуации разбираются вирусологи и инфекционисты. Главная задача - локализовать распространение вируса. """"Потому что уже несколько версий существует, в том числе - что это внесенный вирус, привезенный кем-то из-за границы"""".""","Это внесенный вирус, привезенный кем-то из-за границы.",not_entailment,"cleanlab, datamaps",2
"Сотни военнослужащих из Катара принимали участие в военных операциях на стороне ливийских оппозиционеров, сообщил в среду журналистам командующий Генеральным штабом катарских Вооруженных сил Хамад бен Али Аттыйя. По его словам, оппозиционеры нуждались в такой поддержке, поскольку большинство из них составляли гражданские люди, никогда не имевшие дело с военной наукой.",Сотни военослужащих Катара воевали за ливийских оппозиционеров.,entailment,"datamaps, ds2",2
"Спустя время парень беспрепятственно открыл машину и угнал ее. Потом разобрал и продал детали. Новому владельцу вернули оставшуюся часть автомобиля, а на молодого человека завели уголовное дело.","Молодой человек разобрал машину, а затем угнал детали.",not_entailment,"cleanlab, datamaps",2
"В Нижегородской области выясняют причины крупного пожара, в результате которого сгорел дом и пострадал подросток.",В Нижегородской области пострадал подросток.,entailment,"datamaps, ds2",2
"Соревнования прошли в бескомпромиссной борьбе, но в этот день случилось более знаковое событие, которое затмило все остальные.",Борьба была бескомпромиссной.,entailment,"cleanlab, ds2",2
"В одной из комнат он нашел икону, которую забрал с собой, чтобы продать.",Он искал в комнате икону.,not_entailment,"cleanlab, datamaps",2
"Как рассказали «Комсомольской правде» в пресс-службе администрации города, на том участке наконец появился светофор.",Светофор установлен.,entailment,"cleanlab, ds2",2
"7 января на личной странице бизнесмена в соцсети Facebook появилось сообщение, в котором говорилось, что он намерен добиваться проведения прокурорского расследования.","Предприниматель хочет, чтобы прокурор во всем разобрался.",entailment,"cleanlab, datamaps, ds2",3
"Я бы дал деньги на командировки, потому что спортивный журналист здесь сидеть не должен, он должен ездить.","Спортивный журналист должен ездить, а не сидеть.",entailment,"cleanlab, ds2",2
"Как сообщает Государственная инспекция труда, водитель подготавливал дежурный автомобиль.",Шофер готовил дежурный автомобиль.,entailment,"cleanlab, ds2",2
"В пресс-службе ведомства сообщили, что в течение декады в муниципалитетах пройдут профилактические мероприятия.",Десять дней в муниципалитетах будут идти профилактические мероприятия.,entailment,"cleanlab, ds2",2
"Коррекция высоты орбиты проводиться не будет, поскольку объект не представляет угрозы станции.",Объект не угрожает станции.,entailment,"cleanlab, ds2",2
"Как сообщила в понедельник газета Daily Telegraph, ожидается, что во вторник законопроект будет отправлен на окончательное согласование в нижнюю палату парламента. Никаких препятствий на пути к окончательному принятию законопроект не должен встретить, поскольку ранее палата общин уже одобрила его первоначальную версию подавляющим большинством голосов.",Газета рассказала о тёмном прошлом законопроекта.,not_entailment,"cleanlab, ds2",2
"Третий месяц зимы тоже не готовит особых климатических сюрпризов. Среднемесячная температура и количество осадков будет соответствовать традиционным для нашего региона значениям. Весна ожидается ранней, но может продлиться дольше обычного.",Весна продлится дольше обычного.,not_entailment,"cleanlab, datamaps",2
"""Целый оружейный арсенал, на который вышли полицейские, вывел на след предполагаемых убийц.""",Полицейские организовали арсенал.,not_entailment,"cleanlab, ds2",2
"Подробности случившегося не сообщаются. Известно, что о произошедшем в полицию сообщила мать девочки, правда, пришла она в отделение на неделю позже. Она рассказала, что преступник каким-то образом проник к ним в дом и совершил надругательство над дочерью.",Подробности случившегося полиция не знает.,not_entailment,"cleanlab, datamaps",2
"По данным следствия, в июне прошлого года в подъезде одного из домов по улице Отрадной обвиняемый избил свою бывшую супругу и сломал ей палец.",Обвиняемый сломал руку бывшей супруге.,not_entailment,"cleanlab, datamaps, ds2",3
"Это предполагает законопроект о фонде субсидирования предприятий, которые создают новые рабочие места, рассмотренный комиссией по сельскому хозяйству и пищевой промышленности и предложенный парламенту.","Парламент рассмотрел законопроект о фонде субсидирования предприятий, которые создают новые рабочие места.",not_entailment,"cleanlab, datamaps",2
