premise,hypothesis,label
"Новый тренер – это новый человек. Слушали меня внимательно и с уважением. Моей задачей было раскрепостить команду, привить хорошее настроение и уверенность в том, что в кратчайшие сроки мы вместе сможем изменить ситуацию, - приводит слова главного тренера пресс-служба клуба.",Новых тренеров всегда слушают с уважением.,not_entailment
"Он нашел награду в новом доме, который купили его родственники, и поспешил выложить фотографии на сайте объявлений в интернете.",В купленном доме нашлась награда.,entailment
"Сговариваются со всеми с кем можно. И те пишут как надо. Но поскольку спешат, ставят вопрос о мотиве, что делать нельзя согласно закону о судебных экспертизах.",Они действуют в соответствии с законом о судебных экспертизах.,not_entailment
"""Мы очень рады, что попали в """"премьерку""""! Это достаточно высокий результат не только для нашей команды, но и для Ижевска в целом. Но могу честно сказать, что мы рассчитывали на Высшую лигу, так как все отборочные туры мы прошли """"на отлично""""!""","Ижевск рассчитывал выйти в Высшую лигу, но не срослось.",entailment
"""Люди в праздники становятся немного неадекватны, начинают друга друга лупить, - посетовал майор полиции. - Также увеличивается число квартирных краж. Злоумышленники следят — кто уехал за город, на отдых, выходят в разведку, а потом пользуются моментом"""".""",Майор полиции рассказал о темной стороне праздников.,entailment
"Параллельно рабочие вели монтаж балок на уже готовые опоры. Таким образом, в настоящий момент смонтирована 21 балка, осталось еще 14 балок, – сообщил генеральный директор Примавтодор Дмитрий Горлов. Старый мост строители разобрали, поскольку он был в аварийном состоянии.",Мост был в прекрасном состоянии.,not_entailment
"""Как передает корреспондент """"Интерфакс-Украина"""", церемония с участием глав облгосадминистрации и облсовета состоялась в рамках традиционного фестиваля """"Свадьба в Малиновке плюс"""". Скульптурная композиция, выполненная из бронзы, воспроизводит эпизод из фильма, в котором Попандопуло обнаруживает Сметану, стащившего сундук. """"Этот сундук для меня был самым главным элементом композиции, потому что две фигуры связать в скульптуре очень сложно"""".""","""Создана скульптура с двумя героями """"Свадьбы в Малиновке"""".""",entailment
"""На """"те же грабли"""" мужчина встал, когда во второй раз сел за руль в пьяном виде.""",Водитель управлял машиной только в трезвом состоянии.,not_entailment
"Следствие установило, что пара встречалась на протяжении последних двух лет.",Пара встречалась ровно два года.,not_entailment
"О насилии жертва сообщила врачам, когда ей исполнилось 16 лет. Но норвежские медики не имели права передавать эту информацию в полицию или родителям, поскольку формально девочка уже считалась совершеннолетней.","Девочка сообщила норвежским медикам, что когда-то ее изнасиловали.",entailment
"Если быть точным, введя в поисковую строку фамилию, можно было узнать много интересного про его владельца, а именно: паспортные данные, номера телефонов, об утерянные документы, зарегистрированные транспортные средства и наложенные штрафы, передвижения по стране (через проданные железнодорожные билеты и регистрации на авиарейсы). Кроме того, в базе содержались данные о регистрации юридических лиц и частных предпринимателей, информация о поднадзорных лицах (тех, кто находится под контролем после освобождения их мест лишения свободы) и лицах, совершивших административные правонарушения. Авторы проекта утверждали, что тем, кому нечего скрывать, сайт не может навредить, поскольку честным гражданам не приходится иметь дело с коррумпированными структурами, По их мнению, истинными мотивами тех, кто пожелает удалить данные с сайта, будет боязнь разоблачения, а вот честным людям прятать от широкой общественности свои данные не имеет смысла.",База не содержала личных данных.,not_entailment
"""""""Поэтому я просто хочу также защитить наших дальнейших спортсменов, потому что сейчас на меня напали, в следующий раз нападут на более, может быть, слабого какого-то спортсмена, но который защищает честь и достоинство нашей страны"""", - продолжил спортсмен. Плющенко подозревает, что """"это какой-то был заказ со стороны неких тренеров и конкуренции"""". """"Да, мне сейчас тяжело, потому что проделана была большая и сложная операция"""".""",Плющенко пережил большую и сложную операцию.,entailment
"Когда его пригласили к приставам, мужчина кулаком в грудь бил себя, уверяя, что напрасно приставы к нему пристали.",Мужчину не звали к приставам.,not_entailment
"Поэтому в последний год мужчина частенько избивал свою жену. В страхе она бежала к участковому, писала на него заявление. А потом супруги мирились, и женщина забирала свое заявление назад.",Мужчина писал заявления участковому.,not_entailment
"Он заверил собравшихся журналистов, что собака будет хорошо себя вести, однако питомец не сразу согласился выполнить команду «сидеть».",Собака не сразу послушала хозяина.,entailment
"""В итоге ранее судимого за угон северянина задержали во время встречи с клиентом. - Мужчина пояснил, что газовый пистолет марки """"МЦРГ-1"""" приобрел случайно несколько лет назад. Он решил продать оружие, так как нуждается в деньгах.""","""У мужчины был газовый пистолет марки """"МЦРГ-1"""".""",entailment
"Как сообщает УМВД ХМАО, в посёлке Белый Яр Сургутского района сотрудники ДПС остановили «Форд Фокус», которым управлял шестнадцатилетний пьяный подросток. Начали разбираться, как он сел за руль. Выяснили, что мальчишка угнал машину у знакомого, потому что уж очень хотелось покататься.","""Пьяный подросток угнал """"Форд Фокус"""".""",entailment
"""С июня по 15 августа 34-летняя жительница Красный Кута растила младенца в доме без воды, света и тепла, ставя под угрозу жизнь и здоровье своего грудничка. - Оставляла его одного в квартире, - рассказали """"Комсомольской правде""""-Саратов в областной прокуратуре. - Проверка показала, что в доме условия проживания были крайне неудовлетворительные, поскольку там не было водоснабжения, газоснабжения, электроснабжения.""",Младенец не нуждался в свете и воде.,not_entailment
Подозреваемого задержали на парковке торгового центра. В его карманах нашли телефон девушки и деньги.,Подозреваемый работал в торговом центре.,not_entailment
"""""""Пишу сюда, потому что надоело отвечать одно и то же: никто ко мне не обращался"""".""",Я устал отвечать одно и то же.,entailment
"Президент Германии Кристиан Вульф объявил в пятницу в Берлине о решении уйти в отставку. Вульф пояснил, что пошел на такой шаг, так как в последние недели стало ясно, что утратил доверие большого числа граждан ФРГ. Президент оказался в центре скандала, так как обвиняется в превышении должностных полномочий.","Президент Германии, несомненно, превысил должностные полномочия.",not_entailment
"""""""И как не подумать о том, что, используя визовый вопрос, хотят такой формой давления получить нечто другое от России на иных направлениях отношений?"""" - предположил Малосс. """"Я нахожу это недостойным, и не боюсь употребить такое слово, потому что тем самым делают заложниками миллионы людей с обеих сторон, особенно с российской, но и с нашей тоже"""".""","Малосс предполагает, что визовый вопрос используется как форма давления.",entailment
"Означает ли введение такой маркировки, что продукты с растительными добавками полностью исчезнут с прилавков наших магазинов?",Новая маркировка появится на продуктах.,entailment
"Шествие в Москве, по словам источника, близкого к ФНПР, стартует, как и прежде, от Белорусского вокзала и увенчается митингом у мэрии Москвы с выступлениями лидеров страны.",Митинг станет венцом шествия.,entailment
Администрация Советского района обратилась в КУП «Гомельское областное управление капитального строительства» для получения информации о продолжении строительства поликлиники возле областной больницы. О результатах рассмотрения будет сообщено дополнительно.,Администрации нужна информация.,entailment
"Сироты наши герои потому, что люди убили их родителей. А другие люди нашли умиравших детенышей и выходили их, чтобы потом отпустить на волю. Это дрессировка наоборот, потому что целью ее является не вырастить друга и помощника, но вместо этого сделать шимпанзе или слона пригодным для жизни в дикой природе, не дать ему привязаться к человеку и загону.",Люди спасли осиротевших детенышей от смерти.,entailment
"Гвардейцы подошли к грузовику, который как оказалось, попросту сломался.",Грузовик  попросту сломался.,entailment
"Маршрутка полыхала несколько минут. Свидетели утверждают, что приезду пожарных салон «Газели» выгорел полностью. К счастью, пассажиров внутри не было, а водитель успел выскочить из кабины.",Маршрутка сгорела.,entailment
"Все контракты заключены, на стройплощадках ведется работа, на некоторых круглосуточная. Думаю, что граждан расселим всех в срок. Хочется извиниться за то, что вышел год просрочки.",Работа на стройплощадках замерла.,not_entailment
"А теперь взялись воевать между собой. Как в автобус не сяду, водители только одно и делают: выясняют по телефону, кто кого обогнал, - возмущаются местные жители.",Водители автобусов играют в шашки.,not_entailment
"Парни делают простые и понятные песни о своей жизни, которые вмиг разлетаются в социальных сетях и звучат из каждого второго автомобиля.",Песни парней популярны.,entailment
"""""""Я хотел бы поблагодарить всех участников заседания, - начал глава региона. - Благодаря тому, что вы смогли сделать, команда продолжает участвовать и радовать болельщиков. На стадионе мы видим знаменитую """"Рыбку"""", все чаще и чаще команда выигрывает"""".""",Глава региона произнес слова благодарности.,entailment
"""""""Соответственно, если мы идем под Москву, в московское подчинение, нам сказали, что у нас не будет общежития. А так как в Гнесинку стремятся со всей России, то приезжим просто негде будет жить"""", - заключил Михаил. Он, как и все мои респонденты, очень молод, но, судя по всему, принимать взрослые решения пришлось даже самым юным ученикам колледжа, если это вообще можно назвать решением, поскольку выбора у них как такового не было.""",Выбора у учеников колледжа не было.,entailment
"Мужчина нашел в Интернете объявление о работе, за которую было обещано крупное вознаграждение.",Объявление обещало большие проблемы.,not_entailment
"Большинством голосов депутаты признали главу государства оставившим свой пост, поскольку посчитали, что он не исполняет свои обязанности.",Глава государства разогнал депутатов.,not_entailment
"Ряд тульских СМИ сообщают, что пенсионер умер своей смертью. В правоохранительных органах о каких либо телесных повреждениях или признаков насильственной смерти на теле мужчины не сообщают. Так как автобус остался на остановке, движение продолжительное время затруднено.",Пенсионер скончался.,entailment
"Зашла речь и об инвесторах. - Приходит бизнесмен с проектом, с четкой и конкретной программой, подписывается договор с администрацией, исполняется проект - строит, например, он элеватор или ферму, и только потом выкупает землю за 15% от кадастровой стоимости. Это то, что сегодня нам нужно, потому что ситуация такая «интересная»: люди хотят работать, но не могут!","Нам сегодня нужно, чтобы у бизнесмена не было необходимости выкупать землю до того, как он на ней что-то построит.",entailment
"При этом стекла никто не бил, автомобили оставались целыми.",Автомобили были повреждены.,not_entailment
"""Драка между водителем и остановившим его инспектором ДПС произошла накануне вечером на северо-западе Москвы, рассказал в воскресенье """"Интерфаксу"""" источник в правоохранительных органах. По его словам, в субботу около 23:00 в Первом Тушинском проезде 47-летний капитан дорожной инспекции остановил автомашину Opel за нарушение правил дорожного движения. От управлявшего ею москвича, рассказал собеседник агентства, чувствовался запах спиртного, и офицер предложил водителю пройти освидетельствование в наркологическом диспансере, однако тот отказался. Так как отказ от освидетельствования является правонарушением, за которое предусмотрено лишение прав, то инспектор начал составлять протокол - и в этот момент, как утверждает источник, москвич с кулаками набросился на офицера.""",Водитель и инспектор ДПС дрались.,entailment
"""""""Насколько в ЕС оценивают ущерб после введения Россией визового режима в отношении экипажей воздушных судов?"""" - """"Европейская Комиссия сожалеет, что Россия приостановила действие моратория и ввела визовые требования для экипажей гражданских судов, для некоторых мы уже достигли соглашения о двусторонней отмене виз"""".""",Россия не стала вводить визовый режим для экипажей воздушных судов.,not_entailment
"""В частности, был задержан  активист, который зажег фаер, и женщина с плакатом. Собравшиеся на площади начали скандировать: """"Позор!"""" Полицейские в мегафон просят граждан разойтись, так как их акция не согласована с органами исполнительной власти.""",Активист с фаером поджег плакат.,not_entailment
"Однако, несмотря на это, горожане не проявили бдительности. В одном случае потерпевшему на мобильный телефон позвонил неизвестный. Незнакомец пояснил, что хочет вернуть деньги, которые случайно снял с карты его сестры.",Потерпевший стал жертвой мошенника.,entailment
"Итальянский астронавт Лука Пармитано вынужден прекратить выход в открытый космос и вернуться на станцию из-за проблем в системе жизнеобеспечения скафандра, сообщает сайт НАСА. По данным американского сайта, в лицевой части скафандра у астронавта скопилась влага, которая мешает ему работать. Некоторое время американские специалисты пытались понять, из какой системы произошла утечка, однако установить точно не смогли, поскольку в системе жизнеобеспечения скафандра много систем с жидкостью.",Итальянский астронавт Лука Пармитано столкнулся с непредвиденными трудностями в открытом космосе.,entailment
"""Как сообщил судья, в больнице на его запрос сообщили, что лидер """"Левого фронта"""" проходит лечение в терапевтическом отделении с диагнозом """"язвенная болезнь"""" и его участие в рассмотрении его жалобы об аресте нецелесообразно. По словам судьи, Удальцова должны выписать 6 января. Адвокаты подтверждают эту информацию, и добавляют, что лечение в клинике не будет зачтено их подзащитному в срок ареста, поскольку соответствующее решение суда было обжаловано и не может вступить в силу.""",Адвокаты подтверждают дату выписки Удальцова.,entailment
"Как установили следователи, обвиняемый потребовал, чтобы бомж вернул долг их общему знакомому, а, услышав отказ, схватил его за горло и задушил. - Чтобы скрыть следы преступления, мужчина поджег дом и скрылся. Эксперты установили, что пострадавший умер насильственной смертью.",Обвиняемый поджег дом.,entailment
"Документы снова вернутся на рассмотрение, поскольку Верховный суд поддержал апелляцию прокуратуры на оправдательный приговор.",Верховный суд завернул апелляцию.,not_entailment
"Родственники жили в одном доме, но отношения не складывались.","""Родственники проживали под одной крышей, но """"Лады"""" у них не было.""",not_entailment
"""Главный тренер мужской сборной России по баскетболу Василий Карасев извинился перед болельщиками за неудачное выступление национальной команды на чемпионате Европы в Словении и выразил уверенность в том, что выбранный курс развития принесет результат в будущем. """"Хочется извиниться перед болельщиками. Потому что российская команда имеет такие традиции, такие победы, а выступление получилось, действительно, провальным.""",Василий Карасев принес болельщикам извинения.,entailment
"""""""Я был рожден в тюрьме, где я не могу свободно выражать свое мировоззрение"""", - сказал он. """"Нападения носили превентивный характер, и поэтому я не признаю за собой уголовной вины"""", - сказал он, добавив: """"Я должен быть освобожден"""". По его словам, он повторил бы все снова, поскольку им двигало добро, а не зло.""","По его словам, им двигало добро, а не зло.",entailment
"Это ДТП попало на запись авторегистратора одного из очевидцев, видео выложили в сеть (в группу «ЧП-Красноярск»). Как рассказали свидетели того, как все случилось, 75-летнего мужчину сбили, когда он переходил дорогу не по светофору, и не по переходу. Возможно, водитель автобуса его попросту не заметил, так как было уже совсем темно.",75-летний мужчина попал под автобус.,entailment
"""""""У нас есть возможность запретить работающим людям получать пенсию. Но нужно делать это очень аккуратно, потому что если человек хочет работать, то пусть работает, конечно"""".""","""""""Запрещать работающим людям получать пенсию нужно очень аккуратно, потому что пусть люди работают"""".""",entailment
"В конце года итоги подводят все службы. Не исключение и комитет природных ресурсов. Они посчитали количество рейдов и то, сколько удалось взыскать с нарушителей.","Комитет природных ресурсов определил, сколько удалось взыскать с нарушителей.",entailment
"Прибывшие на место стражи порядка следов взлома не обнаружили. Однако установили, что злоумышленник проник в помещение через незапертую форточку. На окне он оставил свои отпечатки пальцев, по которым полицейские и нашли причастного к краже мужчину.",Мужчина не смог пролезть в форточку.,not_entailment
"Как утверждает сама Якуб, она познакомилась с бывшим главой МВФ летом 2012 г. — после окончания скандала вокруг ареста ДСК по обвинению в изнасиловании горничной нью-йоркского отеля Sofitel Нафиссату Диалло. Уголовное дело тогда развалилось, поскольку обвинение не смогло доказать достоверность показаний потерпевшей.",Потерпевшая не дала показаний.,not_entailment
"""Люди спешили подняться на поверхность, чтобы уехать на работу наземным транспортом. - На """"Ладожской"""" коллапс! Автобусы не могут закрыть двери, маршрутки битком, - пишут очевидцы.""","""Маршрутки на """"Ладожской"""" переполнены.""",entailment
"О стихах Галины Колесниковой говорить легко и трудно. Легко – потому что это истинная поэзия, идущая от сердца к сердцу. Трудно – потому что автор особенный, пребывающий в поэтической зрелости.","Про стихи Галины Колесниковой говорить и просто, и непросто.",entailment
"""Сделка по продаже 80% ОАО """"Распадская"""" может не состояться в этом году, сообщил журналистам источник, знакомый с ходом переговоров. """"Есть вероятность, что сделка не состоится. Есть вопрос с ценой, поскольку здесь существует сильное расхождение"""", - сказал он.""","""Ведутся переговоры по продаже 80% ОАО """"Распадская"""".""",entailment
"Следствие выяснило, что с мая по июнь 2015 г. к одной из специалистов-экспертов обратилась тюменка с просьбой помочь ей в государственной регистрации права собственности на земельные участки в деревне Дербыши Тюменского района. Разумеется, за взятку. Та согласилась и обратилась к своей коллеге за помощью.",Тюменка предложила взятку.,entailment
"«Мясо конины, обрезки с голов, мясо не прошедшее ветеринарную лабораторию, вместо мяса здоровой туши говядины! В столовых помещениях при варке этого мяса стоит ужасная вонь! Кладовщики и рабочие боятся жаловаться, так как их сразу уволят!», - говорится в сообщении.",Кладовщики боятся жаловаться.,entailment
"Прежде чем обратиться в суд за разделом имущества, супруги могут самостоятельно договориться. В этом случае оформляется соглашение о разделе общего имущества супругов. Данный вариант является более предпочтительным, поскольку супруги, в том числе и бывшие, сами определяют имущество, которое достанется каждому из них в результате раздела.",Супруги могут договориться до судебного раздела имущества.,entailment
"""Трое пострадавших были доставлены в больницу с ожогами разной степени тяжести. """"От полученных телесных повреждений подозреваемый скончался в больнице. Девушка и парень находятся в лечебном учреждении, где им оказывается необходимая медицинская помощь"""".""",Подозреваемый скончался от ожогов.,entailment
"Угрозы распространения огня на рядом стоящие постройки не было. Зато была информация о том, что внутри горящего сарая находятся животные.",Горел сарай со свиньями.,not_entailment
"Ведомство направило официальные письма руководителям отделов безопасности самоуправлений, в которых разъясняют их действия.",Ведомство направило разъяснительные письма.,entailment
"""""""А я никогда не был на этом телеканале, не видел его"""", - сказал """"Интерфаксу"""" Говорухин в пятницу. Также в Твиттере есть высказывания якобы от имени режиссера про изменение состава директоров """"Эха Москвы"""". """"Это тоже бред, я не мог этого заявить, потому что считаю, что это самая талантливая радиостанция, хоть я во многом с ней не согласен, на мой взгляд, она не полезна делу, которым я занимаюсь"""".""",В Твиттере появились высказывания якобы от имени режиссера Говорухина.,entailment
"""""""Если эти документы там есть, то, скорее всего, для передачи в Арбитражый суд Тюменской области эти документы будут изыматься. Либо они, либо копии будут заверяться прямо на месте в офисе"""", - уточнил он. """"Компания злоупотребляет нашими правами, потому что несколько раз пристав выносил постановление, обязывающее компанию предоставить документы, но компания не реагировала на них никаким образом"""".""",Несколько раз пристав обязывал компанию предоставить документы.,entailment
"Напомним, во всех школах города сегодня отменили занятия, малышей в детсады не принимают.",Малышей ждут в детсадах.,not_entailment
"В одной из комнат он нашел икону, которую забрал с собой, чтобы продать. Но затем передумал и вместо того, чтобы продать ее на рынке, отнес икону в один из храмов. Настоятель, которому мужчина предложил похищенное за символическую плату, отказался забирать икону.",Настоятель храма не купил икону.,not_entailment
"Оказалось, злоумышленник проник в дом, пока хозяин отсутствовал — с середины декабря его не было.",Злоумышленник пробрался в сад.,not_entailment
"""А вот один из фаворитов гонки среди грузовиков Алеш Лапрайс выбыл из борьбы за победные места на """"Шелковом пути"""". В самом разгаре специального участка  у него сломалась машина, и он вынужден был попроситься на асфальт. """"У нас сломался один из электрических вентиляторов, мы вынуждены были остановиться, так как вся система охлаждения полетела"""".""",Система охлаждения испортилась.,entailment
"Эвакуировать никого не пришлось, в заведении был выходной.","Был выходной, эвакуировали только сотрудников.",not_entailment
"Новшеством в этом году станет установленное электронное табло, на котором будут отражаться данные о температуре воды и воздуха.",Табло станет новшеством.,entailment
"""""""Под амнистию обязательно должны попасть фигуранты """"болотного дела"""" и, само собой, фигуранты """"дела ЮКОСа"""" — сколько можно их там терзать"""", — сообщила она. Со своей стороны, адвокат Ходорковского Вадим Клювгант сказал """"Интерфаксу"""", что принятие решения об амнистии для его клиента будет зависеть от политической воли тех, кто на такое решение уполномочен. """"Я не уверен, что это будет единственный проект (амнистии), потому что ничего не мешает другим субъектам подготовить свой"""".""","""Обсуждается вопрос об амнистиях для фигурантов """"болотного дела"""" и """"дела ЮКОСа"""".""",entailment
"Полицейским показалось, что парни похожи на тех, кого описывали в ориентировке, и они попытались задержать парней. Те, однако, вырвались, водитель ударил по газам. Машина рванула с места, и полицейские устроили за ней настоящую погоню.",Парни вырвались.,entailment
"По версии следствия, он ворвался в офис и угрожал работникам ножом.","Следствие предполагает, что в офисе работал человек с ножом.",not_entailment
"На первом же заседании подсудимый попытался отвести весь состав суда – под предлогом того, что судьи также были вкладчиками «НМБ» и поэтому могут предвзято к нему отнестись. Однако в ходатайстве было отказано, так как подобных обстоятельств не установлено. Однако заседание суда все же пришлось перенести, так как другое ходатайство - о возврате уголовного дела прокурору, поскольку подсудимый и адвокаты не ознакомлены со всеми материалами дела – пришлось удовлетворить.",Заседание суда перенесли в другой город.,not_entailment
"Лиса забежала на водонапорную станцию «Малиновая гряда», где имела контакт с двумя служебными собаками «Нижегородского водоканала». Лабораторное исследование выявило у лисы бешенство. Из-за этого пришлось усыпить собак, с которыми она имела контакт.",На водонапорной станции лиса заразила собак бешенством.,entailment
"""""""Не вижу смысла увеличивать число статей Уголовного кодекса, так как там уже есть меры уголовной ответственности в отношении лиц, которые пропагандируют сепаратизм"""".""",В Уголовном кодексе достаточно статей.,entailment
"Специалисты трудовой инспекции провели внеплановую проверку на заводе и выяснили, что предприятие действительно имеет большие долги по зарплате.",Долги завода по зарплате незначительны.,not_entailment
"Маршрутка полыхала несколько минут. Свидетели утверждают, что приезду пожарных салон «Газели» выгорел полностью. К счастью, пассажиров внутри не было, а водитель успел выскочить из кабины.",Маршрутка восстановлена.,not_entailment
"Несмотря на решение суда, бизнесмен не спешил возвращать деньги. Чтобы подействовать на должника, приставы арестовали металлические ворота у его дома и с помощью рабочих сняли их с петель и увезли. Бизнесмен полностью погасил задолженность, так как отсутствие ворот портило внешний вид его дома и репутацию среди соседей.",Приставы сами вернули бизнесмену ворота.,not_entailment
"Полицейские отрабатывают места возможного местонахождения нелегальных мигрантов. Кроме того, с близлежащих улиц эвакуированы машины. Как удалось узнать позднее от очевидцев, всего была задержано больше двух десятков нарушителей.",Полицейские ищут мигрантов.,entailment
