id,text,label,error_type,detailed_source,original_split
2697,"Да, благородного слушателя получил Иван Николаевич в лице таинственного похитителя ключей.",1,0,Seliverstova,in_domain_train
2698,Будет искать новых сторонников.,1,0,Testelets,in_domain_train
2699,Закон — я немею перед законом.,1,0,Testelets,in_domain_train
2700,"Средства, отправляющиеся из центра, поступают в банки нашего города с большим опозданием.",0,Syntax,USE8,in_domain_train
2701,Телевизора на тумбочке не стояло.,1,0,Paducheva2013,in_domain_train
2702,Мы обращаем внимание на некоторые ихние письма.,0,Morphology,USE7,in_domain_train
2703,"Утро началось с того, что каша подгорела.",1,0,Paducheva2004,in_domain_train
2704,Начавшийся процесс его обращения надломился и кончился трагически.,1,0,Paducheva2004,in_domain_train
2705,Он оговаривает это в примечании.,1,0,Paducheva2004,in_domain_train
2706,"Каждый из учеников Кольцова выбирает в его работах свои любимые идеи, каждый лепит свой образ, создаёт свой портрет.",1,0,Testelets,in_domain_train
2707,Сообщение не испугало Марию.,1,0,Paducheva2013,in_domain_train
2708,Пять веселых солдат интендантами сразу назначил.,1,0,Paducheva2004,in_domain_train
2709,Глаза резало на свету.,1,0,Testelets,in_domain_train
2710,В озере никакой утки не плавало.,1,0,Testelets,in_domain_train
2711,Он не хотел ничего делать.,1,0,Seliverstova,in_domain_train
2712,"Я думаю, что книгу взял кто-нибудь из сотрудников.",1,0,Seliverstova,in_domain_train
2713,Он нас обидел обоих.,1,0,Testelets,in_domain_train
2714,"Те, кто знает больше в силу своего образования или увлечённости, будет восполнять пробелы других.",0,Syntax,USE8,in_domain_train
2715,"Грушницкий был из числа людей, имеющим на все случаи жизни готовые пышные фразы.",0,Syntax,USE8,in_domain_train
2716,Они жили в Крыму семь лет.,1,0,Paducheva2010,in_domain_train
2717,Он снял шляпу с гвоздя.,1,0,Seliverstova,in_domain_train
2718,В то время у меня был друг.,1,0,Seliverstova,in_domain_train
2719,"Он отомстил врагу, убив его родственника.",1,0,Testelets,in_domain_train
2720,После короткого завтрака мы продолжаем двигаться.,1,0,Paducheva2010,in_domain_train
2721,"Товар в складе и дом были застрахованы, так что в случае пожара я не рисковал потерей своих богатств.",1,0,Paducheva2004,in_domain_train
2722,История обогатила нас новыми идеями и расширяет наш умственный горизонт.,0,Syntax,USE8,in_domain_train
2723,Я казался себе молодым.,1,0,Paducheva2004,in_domain_train
2724,Отдай кольцо и ступай.,1,0,Seliverstova,in_domain_train
2725,Но эти демонстранты просто живут у него и их тревога вполне понятна.,0,Syntax,Testelets,in_domain_train
2726,Дача продалась от брата.,0,Semantics,Paducheva2004,in_domain_train
2727,"Взяли и чего-то обрадовались: нацепили бутоньерки, поехали во все места на извощиках, перепились, немного поругались, и всё это с важною миною жрецов науки.",1,0,Testelets,in_domain_train
2728,"И третья вина: наглая непрерывная подача заявлений в Совнарком о глумлениях местных работников над церковью, о грубых кощунствах и нарушениях закона о свободе совести.",1,0,Paducheva2004,in_domain_train
2729,Ты купался в горных реках?,1,0,Paducheva2010,in_domain_train
2730,"Тут он взглянул на дверь в кабинет Берлиоза, бывшую у передней, и тут, как говорится, остолбенел.",0,Semantics,Seliverstova,in_domain_train
2731,"Он пошел к брату, чтобы узнать последние новости.",1,0,Seliverstova,in_domain_train
2732,Почему бы твоим друзьям обоим не прийти.,1,0,Testelets,in_domain_train
2733,"Это движение, началось как-то самопроизвольно, почти стихийно, снизу, без какого-либо давления со стороны администрации.",1,0,Paducheva2013,in_domain_train
2734,В статье «Вы и ваши дети» психолог стремится привлечь внимание родителей к теме воспитания детей; для этого он рассказывал об интересных случаях из собственной практики.,0,Syntax,USE8,in_domain_train
2735,Стать дипломантом Московской консерватории — большая честь даже для знаменитостей.,1,0,USE5,in_domain_train
2736,"Все, бывало, с ней через забор разговариваю и под конец, чтобы недалеко было ходить, сделал в заборе калиточку.",1,0,Seliverstova,in_domain_train
2737,"Я показал этот текст студентам, самим знающим эскимосский язык.",0,Syntax,Testelets,in_domain_train
2738,Я этого не знаю.,1,0,Paducheva2013,in_domain_train
2739,Он решал эту задачу.,1,0,Paducheva2010,in_domain_train
2740,Мальчик взял кувшин и принялся жадно пить.,1,0,Seliverstova,in_domain_train
2741,"Музыка, лишь только вы вошли, как сразу началась.",0,Syntax,Testelets,in_domain_train
2742,Провода гудят от ветра.,1,0,Paducheva2004,in_domain_train
2743,"Она все еще не доставала то, что держала в ридикюле.",1,0,Seliverstova,in_domain_train
2744,Она смотрела себя в зеркало.,0,Semantics,Rusgram,in_domain_train
2745,Я не достал билетов на «Щелкунчик».,1,0,Paducheva2013,in_domain_train
2746,Около сторожки дорога поворачивает.,1,0,Paducheva2010,in_domain_train
2747,Он отказался от всякой помощи.,1,0,Paducheva2013,in_domain_train
2748,Вчера в 10 часов я лежал на диване.,1,0,Paducheva2010,in_domain_train
2749,Я не разрешаю тебе ставить кресло в мою комнату.,1,0,Paducheva2013,in_domain_train
2750,"Картины этой группы молодых художников не только выставлялись в скромных клубах и на городских площадках, но и в больших музейных залах.",0,Syntax,USE8,in_domain_train
2751,У нее интересные книги.,1,0,Seliverstova,in_domain_train
2752,"Если он отказался, то он уже пожалел об этом.",1,0,Paducheva2010,in_domain_train
2753,Могу резко не тормозить.,1,0,Paducheva2013,in_domain_train
2754,Мне не надо отдыхать.,1,0,Paducheva2013,in_domain_train
2755,"Согласно семейного предания, предки Зульфикара служили погонщиками слонов ещё в войсках Великих Моголов.",0,Syntax,USE8,in_domain_train
2756,"Экологи пытаются определить заболевание, которое угрожает самшиту, особенно его молодым всходам, исчезновением.",1,0,USE5,in_domain_train
2757,Ивана разбудил звонок в дверь.,1,0,Paducheva2010,in_domain_train
2758,Пуля попала в стену возле самого его плеча.,1,0,Seliverstova,in_domain_train
2759,"Неизвестно, где его искать, тот банк.",1,0,Paducheva2010,in_domain_train
2760,"В этом сотворении участвовало все, — и мягкие литографии на стенах, и щебет за окном, и коричневый лик Христа в киоте, и даже фонтанчик умывальника.",1,0,Paducheva2013,in_domain_train
2761,А дом превращался в груду развалин.,1,0,Paducheva2010,in_domain_train
2762,Разве мосты еще не сняли?,1,0,Paducheva2013,in_domain_train
2763,"Я отдал бы многое для того, чтобы сделать это сегодня.",1,0,Seliverstova,in_domain_train
2764,"У нее только и радости, что в детях.",1,0,Paducheva2010,in_domain_train
2765,"Все это не так весело, как вам кажется, садитесь и пишите объяснительную!",1,0,Paducheva2010,in_domain_train
2766,В тот момент Ян дважды ударял Павла.,0,Semantics,Paducheva2010,in_domain_train
2767,У нас сейчас белые ночи.,1,0,Testelets,in_domain_train
2768,"У него были сухие, а раз так, сообразит разве, что у кого-то могут быть мокрые?",0,Semantics,Paducheva2010,in_domain_train
2769,Я живу у самой Волги.,1,0,Seliverstova,in_domain_train
2770,Он где-то достал 30 фунтов меда.,1,0,Paducheva2010,in_domain_train
2771,"Глюцилин, ― сказал Миша, смотрев вперёд, на спящую бледную девушку.",0,Morphology,USE7,in_domain_train
2772,"Так что фискалы, мягко говоря, не совсем правы.",1,0,Paducheva2013,in_domain_train
2773,Сообщение не взволновало Марию.,1,0,Paducheva2013,in_domain_train
2774,"Ни Петя не выпил, ни Петя не закусил.",0,Syntax,Rusgram,in_domain_train
2775,Генерала не выдали испанскому прокурору предать суду за совершенные преступления.,0,Syntax,Testelets,in_domain_train
2776,Она долго звала сына домой.,1,0,Paducheva2010,in_domain_train
2777,"Вода была ледяная, от неё ныли зубы, и глоталась она со звоном.",1,0,USE5,in_domain_train
2778,Он решил не все задачи.,1,0,Paducheva2013,in_domain_train
2779,Они уже две недели путешествуют по Кавказу и вчера пришли в Терскол.,1,0,Paducheva2004,in_domain_train
2780,Кто решал эту задачу?,1,0,Paducheva2013,in_domain_train
2781,"Я не принимаю его за крупного ученого, хотя и знаю, что это так.",0,Semantics,Seliverstova,in_domain_train
2782,С первыми четырьмя из приведенных тезисов мы уже разобрались.,1,0,Testelets,in_domain_train
2783,"О соседках Васин сообщил, что живут они здесь недели с три.",1,0,Paducheva2010,in_domain_train
2784,Он получил решительное отвращение к книгам.,1,0,Seliverstova,in_domain_train
2785,"Мы – его ученики – шли на урок, чтобы послушать его, чтобы прикасаться к новому и неизведанному, чтобы поделиться тем, что нас волнует.",0,Syntax,USE8,in_domain_train
2786,Маше указано на ошибку преподавателем.,1,0,Testelets,in_domain_train
2787,Что главный фактор победы России в Отечественной войне 1812 г.?,0,Syntax,Rusgram,in_domain_train
2788,Ответ еще не пришел.,1,0,Paducheva2013,in_domain_train
2789,Мы должны выжить самим.,0,Syntax,Testelets,in_domain_train
2790,Ребята накупили хорошую книгу.,0,Syntax,Testelets,in_domain_train
2791,"Разгадка «тонкого английского юмора» заключается в его простоте, в том факте, потому что за ним не скрывается глубокий подтекст.",0,Syntax,USE8,in_domain_train
2792,Коля увидел себя в зеркале.,1,0,Testelets,in_domain_train
2793,"Вера Корнильевна вышла и увидела, что прямо на полу около запертой каморки старшей сестры, близ большой лестницы, вытянулся долговязый мужчина в сапогах.",1,0,Seliverstova,in_domain_train
2794,"Проходя мимо дуба, уходящего ветвями далеко в небо, на меня свалился жёлудь.",0,Syntax,USE8,in_domain_train
2795,Я хочу посоветоваться с кем-нибудь из хороших врачей.,1,0,Seliverstova,in_domain_train
2796,"На свете счастья нет, но есть покой и воля.",1,0,Seliverstova,in_domain_train
2797,"Зато как никогда захотелось быть с Ангелиной, и это не из-за только упрямства, – поднялась в душе волна уверенности, что любит её.",0,Syntax,Testelets,in_domain_train
2798,Посетители подолгу рассматривали и восхищались полотнами художников-передвижников.,0,Syntax,USE8,in_domain_train
2799,В зал вносят четыре ящика.,1,0,Paducheva2010,in_domain_train
2800,Он начал речь приветствием.,1,0,Paducheva2004,in_domain_train
2801,"Он не хочет, чтобы я читал журналов.",0,Syntax,Rusgram,in_domain_train
2802,Солдаты грелись поблизости от костров.,0,Semantics,Seliverstova,in_domain_train
2803,Он ищет какую-нибудь интересную пьесу на современную тему.,1,0,Seliverstova,in_domain_train
2804,"Может и ему ни к чему были ее воскресные, скажем, завтраки.",0,Semantics,Paducheva2010,in_domain_train
2805,"Необходимо добавить, что на поэта иностранец с первых же слов произвел отвратительное впечатление.",1,0,Paducheva2010,in_domain_train
2806,"Он воображает, что его примут.",1,0,Paducheva2010,in_domain_train
2807,Причиной пожара было повреждение изоляции.,1,0,Paducheva2010,in_domain_train
2808,"Она казалась тонкой и худенькой и выше, чем на самом деле, в своей длинной ночной убашке до пят.",1,0,Paducheva2010,in_domain_train
2809,Мы пойдем до него.,1,0,Testelets,in_domain_train
2810,"Город, около которого я жил.",1,0,Seliverstova,in_domain_train
2811,Иван прождал ее два часа.,1,0,Paducheva2010,in_domain_train
2812,"Рисковал жизнью, перенося сообщения через линию фронта.",1,0,Paducheva2004,in_domain_train
2813,"Папа, а бабушка точно будет ехать этим поездом?",1,0,Testelets,in_domain_train
2814,Я своими близорукими глазами и то увидел.,1,0,Paducheva2004,in_domain_train
2815,Он зарабатывает деньги на квартиру.,1,0,Paducheva2010,in_domain_train
2816,Я стучал три раза.,1,0,Paducheva2010,in_domain_train
2817,"Мы зашли к Ивану, но его не было дома.",1,0,Paducheva2004,in_domain_train
2818,От гражданина требуется только одно: будь честным.,1,0,Testelets,in_domain_train
2819,"У дома стоял грузовик, вблизи него прямо на тротуаре сидел человек.",1,0,Seliverstova,in_domain_train
2820,"Мама намеренно покосилась в мою сторону, но больше вопросов задавать не стала и ушла на кухню.",0,Semantics,Paducheva2004,in_domain_train
2821,"Петербургский период в творчестве А.С. Пушкина не только характеризуется большей стилистической свободой, но и ломкой жанровых границ.",0,Syntax,USE8,in_domain_train
2822,Его отъезд за границу всем воспринимался как побег.,0,Syntax,Rusgram,in_domain_train
2823,"Нет, весь я не умру.",1,0,Paducheva2013,in_domain_train
2824,"Но он почти не видел одним глазом, запойную страсть к чтению он унаследовал от отца и основательно испортил зрение.",1,0,Paducheva2004,in_domain_train
2825,Из всех четырех углов зала поднимались лестницы этого белого камня.,0,Syntax,Lutikova,in_domain_train
2826,Я принимаю белье в прачечную.,0,Semantics,Seliverstova,in_domain_train
2827,"Юля бросилась наперерез всадника, чтобы попросить его о помощи.",0,Syntax,USE8,in_domain_train
2828,"Мама, вернувшись с работы, спросила меня, «позавтракал ли ты».",0,Syntax,USE8,in_domain_train
2829,Отмель врезается в море.,1,0,Paducheva2010,in_domain_train
2830,Эта черта характера мне в себе не нравилась.,1,0,Testelets,in_domain_train
2831,"Читатель Пушкина имел прежде полное основание представлять себе, если не эту даму, то, во всяком случае, отношение к ней поэта в самом возвышенном идеальном свете.",1,0,Seliverstova,in_domain_train
2832,Но как пробить дыру в стене?,1,0,Paducheva2004,in_domain_train
2833,"Мы с помощником посовещались, где ночевать.",1,0,Paducheva2004,in_domain_train
2834,"Эти люди не платили денег за билет, а остались здесь с предыдущего матча.",1,0,Paducheva2013,in_domain_train
2835,Она передумала задавать им какие-либо вопросы.,1,0,Paducheva2013,in_domain_train
2836,С вас тридцать два рубля.,1,0,Testelets,in_domain_train
2837,Ведь я тогда каждый день гулял с собакой.,1,0,Paducheva2010,in_domain_train
2838,Суббота началась со скандала.,1,0,Paducheva2004,in_domain_train
2839,Он до сих пор встречается со своими школьными друзьями.,1,0,Seliverstova,in_domain_train
2840,После войны эта местность получила новое название.,1,0,Seliverstova,in_domain_train
2841,Он скакал по комнате с мячиком в руках и валидолом во рту и пытался весело смеяться.,1,0,Testelets,in_domain_train
2842,"Пришел бы он вовремя, мы бы успели.",1,0,Testelets,in_domain_train
2843,Железо тонет в воде.,1,0,Paducheva2010,in_domain_train
2844,"Первый огонек блеснул вдали на противоположной горе, в отдаленном домике близ шлагбаума.",1,0,Seliverstova,in_domain_train
2845,Я дала ей на рождение коробку конфет.,0,Semantics,Seliverstova,in_domain_train
2846,Лет десять — пятнадцать назад такая выставка не могла пройти незамеченной.,1,0,Paducheva2013,in_domain_train
2847,Никто из внуков не смогли устоять перед бабушкиным свежеиспечённым караваем.,0,Syntax,USE8,in_domain_train
2848,"Долина сменилась трясиной, где росли кривые и чахлые болотные берёзки.",1,0,USE5,in_domain_train
2849,"Мне послышалось, что кто-то плачет.",1,0,Paducheva2004,in_domain_train
2850,"Чтобы получить льготы на санаторно-курортное лечение, необходимо представить документы, перечисленные ниже.",1,0,USE5,in_domain_train
2851,"Прославив своё имя глубокими исследованиями болезней и применением вакцин, у меня сложились замечательные отношения со всеми учёными.",0,Syntax,USE8,in_domain_train
2852,"Мне не хватило двух минут, чтобы высказать ему все, что я о нем думаю.",1,0,Paducheva2013,in_domain_train
2853,Иван не порадовал нас своим возвращением.,1,0,Paducheva2013,in_domain_train
2854,"Он долго не писал, и вдруг я получаю сразу два письма.",1,0,Paducheva2004,in_domain_train
2855,Внезапно за песчаным холмом показался камень ею с дом.,0,Syntax,Testelets,in_domain_train
2856,Оба эти вектора существовали на протяжении всего советского периода.,1,0,Rusgram,in_domain_train
2857,"Ты подыграйся к тетушке, она женщина богатая.",1,0,Seliverstova,in_domain_train
2858,"Огни реклам погасли, не осталось ни покупателей, ни продавцов.",1,0,Paducheva2013,in_domain_train
2859,"Директор сообщил, что «предусмотрели ли разработчики проекта возможные риски и меры их предупреждения».",0,Syntax,USE8,in_domain_train
2860,Я лежал в больнице в прошлом году.,1,0,Paducheva2010,in_domain_train
2861,Он прошел близко от меня.,1,0,Seliverstova,in_domain_train
2862,Его рука уверенно лежит на пульте управления.,1,0,Seliverstova,in_domain_train
2863,"Едва Степан Трофимович остановился и пригляделся к скользившим белым облачкам по небу, как вдруг услышал лёгкий шорох.",0,Syntax,USE8,in_domain_train
2864,А вы ему кем придетесь?,0,Morphology,Rusgram,in_domain_train
2865,"Я сел около пирога с капустой, и мне пришлось раскладывать его по тарелкам.",1,0,Seliverstova,in_domain_train
2866,Каждый шаг причинял Мересьеву нестерпимую боль.,1,0,USE5,in_domain_train
2867,"Отец писал, что скучает по нам.",0,Syntax,USE8,in_domain_train
2868,Сколько горя было в этом взгляде.,1,0,Seliverstova,in_domain_train
2869,У Ефросиньи есть седые волосы.,1,0,Paducheva2004,in_domain_train
2870,Возьмите у него из стола мои книги.,1,0,Seliverstova,in_domain_train
2871,Дай мне тот стакан с водой.,1,0,Paducheva2010,in_domain_train
2872,"Когда бы я ни пришел, она всегда спит.",1,0,Seliverstova,in_domain_train
2873,Кресло на веранде есть.,1,0,Paducheva2013,in_domain_train
2874,"Если у вас нет способностей, то нет никого, кто вам поможет.",0,Semantics,Seliverstova,in_domain_train
2875,"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.",0,Semantics,Seliverstova,in_domain_train
2876,"Не скрою, он мне понравился.",1,0,Paducheva2010,in_domain_train
2877,У нее был грипп.,1,0,Paducheva2004,in_domain_train
2878,Они проводят вечера у телевизора.,1,0,Seliverstova,in_domain_train
2879,Мы решим свой спор пистолетами.,1,0,Paducheva2004,in_domain_train
2880,"Здесь недостаточно места, чтобы заседать.",1,0,Testelets,in_domain_train
2881,С того времени русские люди заговорили и записали двоечленными предложениями.,1,0,Paducheva2010,in_domain_train
2882,Тебя давно не было в Москве.,1,0,Paducheva2013,in_domain_train
2883,По выдаваемым специальным ордерам на детей можно было купить пару рубашек на год или сшить их из полтора метров материи.,0,Morphology,USE7,in_domain_train
2884,"Не только победители, но и все те, кто просто участвовал в олимпиаде, получил грамоту и памятный приз.",0,Syntax,USE8,in_domain_train
2885,В сражении у Гастингса англичане потерпели поражение.,0,Semantics,Seliverstova,in_domain_train
2886,Кружева выглядывают из-под юбки.,1,0,Paducheva2004,in_domain_train
2887,"Те, кто знал Николая до войны, не мог не заметить перемен в его характере.",0,Syntax,USE8,in_domain_train
2888,Знакомство с «Сатириконом» несомненно отразилось на исторической концепции повести.,1,0,Paducheva2010,in_domain_train
2889,Участок назначен к продаже.,1,0,Paducheva2004,in_domain_train
2890,Он сейчас совершает двухчасовую прогулку.,1,0,Paducheva2010,in_domain_train
2891,"Родители опасались то, что состояние сына ухудшится.",0,Syntax,USE8,in_domain_train
2892,"Дед Трифон был человеком экономным, но не жадным.",1,0,USE5,in_domain_train
2893,Белинский еще не раз вернется к той теме.,1,0,Paducheva2010,in_domain_train
2894,"Они касались подвала здания, который первым было принято решение превратить в эксплуатируемое помещение.",0,Syntax,Lutikova,in_domain_train
2895,Симптомов болезни не появилось.,1,0,Paducheva2004,in_domain_train
2896,Операцию делали ему в Москве.,1,0,Paducheva2010,in_domain_train
2897,"Назначьте, когда вам угодно будет выступить.",1,0,Paducheva2004,in_domain_train
2898,"Очень жаль, что ее муж он большой начальник.",0,Semantics,Paducheva2010,in_domain_train
2899,"Возле нее сидел молодой человек, по виду баскетболист, на полторы головы выше довольно высокой Наташи.",1,0,Seliverstova,in_domain_train
2900,"Немного поодаль, у забора, стояли Афанасьевна и Софья и тоже слушали.",1,0,Seliverstova,in_domain_train
2901,"Проект, мягко говоря, оригинальный.",1,0,Paducheva2013,in_domain_train
2902,У нее есть красота.,1,0,Seliverstova,in_domain_train
2903,И тогда желанный берег из тумана выйдет к нам.,1,0,Paducheva2004,in_domain_train
2904,"Ты зачем говоришь, что наш папа в тюрьме?",1,0,Rusgram,in_domain_train
2905,"Если вы сознаетесь в том, то я вполне буду вознагражден за свой, может быть, слишком длинный рассказ.",1,0,Paducheva2010,in_domain_train
2906,"Тем не менее, он преуспевает.",1,0,Paducheva2010,in_domain_train
2907,"Найдя, это ее обрадовало.",0,Syntax,Rusgram,in_domain_train
2908,Сообщение не обрадовало Марию.,1,0,Paducheva2013,in_domain_train
2909,"Я думаю, что слушатели, наверное, устали.",1,0,Paducheva2010,in_domain_train
2910,Шестой уж год я царствую спокойно.,1,0,Paducheva2010,in_domain_train
2911,"Как боится Иван, изменения необходимы.",0,Semantics,Paducheva2010,in_domain_train
2912,Машину я ему уже покупал.,1,0,Paducheva2010,in_domain_train
2913,После этого он утратил всякий интерес к происходящему.,1,0,Paducheva2013,in_domain_train
2914,"Если бы кто-нибудь из них пришел, все было бы иначе.",1,0,Seliverstova,in_domain_train
2915,По дежурному оставаться на каждом этаже.,1,0,Testelets,in_domain_train
2916,От этого большой беды не приключится.,1,0,Paducheva2004,in_domain_train
2917,"Занятий, мне жаль, не будет.",0,Semantics,Paducheva2010,in_domain_train
2918,"С такими, как он, часто что-нибудь случается.",1,0,Rusgram,in_domain_train
2919,Нужны мне ваши деньги!,1,0,Paducheva2010,in_domain_train
2920,Вода кипит при 100 градусах.,1,0,Paducheva2010,in_domain_train
2921,И именно в это самое время в нем возникло какое-то чувство беспокойства.,1,0,Seliverstova,in_domain_train
2922,Я смогла ему помочь.,1,0,Seliverstova,in_domain_train
2923,"Подстрочник ему подготовил мой ученик немецкого языка Ноенкирхен, чудесный старик, влюбленный в язык Гете и Шиллера.",0,Syntax,Testelets,in_domain_train
2924,"В поредевшем саду далеко видна дорога к большому шалашу, усыпанная соломой, и самый шалаш, около которого мещане обзавелись за лето целым хозяйством.",1,0,Seliverstova,in_domain_train
2925,Он рисковал попасть за решетку.,1,0,Paducheva2004,in_domain_train
2926,"Я за сырки выбивала, а они кончились.",1,0,Paducheva2010,in_domain_train
2927,Каждый день он приносил мне какую-нибудь новую игрушку.,1,0,Seliverstova,in_domain_train
2928,"Ряд авторов считают, что все изученные ими собаки генетически друг к другу ближе, чем волки.",0,Syntax,USE8,in_domain_train
2929,Студентов первого курса включи в список!,1,0,Testelets,in_domain_train
2930,Сейсмограф регистрирует любое колебание земной коры.,1,0,Seliverstova,in_domain_train
2931,"Молодые Турбины не заметили, как в крепком морозе наступил белый, мохнатый декабрь.",1,0,Paducheva2010,in_domain_train
2932,"Человек идет в аптеку, предоставляет свою ID-карту, и аптекарь видит все назначения у себя в компьютере.",1,0,Paducheva2004,in_domain_train
2933,"Подождав минут двадцать, мы двинулись назад, как вдруг на опушке возникла наша собака.",1,0,Paducheva2004,in_domain_train
2934,Тогда руководители NASA также сначала отрицали наличие каких бы то ни было серьезных технологических проблем.,1,0,Paducheva2013,in_domain_train
2935,Сегодня мы выдаем замуж Машу Кулакову.,1,0,Paducheva2010,in_domain_train
2936,"Следователь обязан выяснить обстоятельства, также и оправдывающие обвиняемого, также и смягчающие его вину.",1,0,Paducheva2004,in_domain_train
2937,"Как только прозвучал третий звонок, но вдруг у меня тоже зазвенел телефон.",0,Syntax,USE8,in_domain_train
2938,Король Хуссейн не сделал преемником Хасана.,1,0,Paducheva2004,in_domain_train
2939,Лодка скрежетала цепями о причал.,1,0,Paducheva2004,in_domain_train
2940,В театре я сидела поблизости от их ложи.,1,0,Seliverstova,in_domain_train
2941,План Саши Маше продать квартиру.,0,Syntax,Testelets,in_domain_train
2942,Его убили вблизи «Трех утопленников».,0,Semantics,Seliverstova,in_domain_train
2943,"Олег Александрович хотел, чтобы я напомнила руководителю музыкального кружка, чтобы она уточнила репертуар ансамбля на ближайшее выступление.",0,Syntax,USE8,in_domain_train
2944,У каждого входа им было поставлено по часовому.,1,0,Testelets,in_domain_train
2945,Стаканы будут поставлены в шкаф.,1,0,Testelets,in_domain_train
2946,Германия воевала с половиной Европы.,1,0,Paducheva2010,in_domain_train
2947,Хозяин просит дорогих гостей послушать пастораль “Искренность пастушки”.,1,0,Paducheva2004,in_domain_train
2948,"Молодая исполнительница не только любила классическую музыку, но и джаз.",0,Syntax,USE8,in_domain_train
2949,"Боюсь, что ты не прав.",1,0,Paducheva2004,in_domain_train
2950,"На нем полковничья шинель без погонов, в руке тонкая тросточка.",0,Morphology,USE7,in_domain_train
2951,Все дети в семье Ковалёвых увлекаются водными видами спорта.,1,0,USE5,in_domain_train
2952,Звезды погасли одна за другой.,1,0,Testelets,in_domain_train
2953,"Природа врачует не только душу человека, но и может быть слепа и жестока к нему.",0,Syntax,USE8,in_domain_train
2954,По крайней мере сын-изверг не спас себя отцеубийством: он был казнен вместе с другими.,1,0,Paducheva2013,in_domain_train
2955,Город все еще захвачен врагом.,1,0,Testelets,in_domain_train
2956,У него серые глаза.,1,0,Testelets,in_domain_train
2957,Есть за что любить!,1,0,Paducheva2013,in_domain_train
2958,В последнее время здесь много строят.,1,0,Seliverstova,in_domain_train
2959,Маши дома не оказалось.,1,0,Paducheva2013,in_domain_train
2960,Иван обнаружил у себя в кармане дыру.,1,0,Paducheva2004,in_domain_train
2961,"Искусственный международный язык эсперанто стал 64-м языком, используемым в автоматическом переводе в Интернете.",1,0,USE5,in_domain_train
2962,Иван перестал бить свою жену.,1,0,Paducheva2013,in_domain_train
2963,"Он соизмерял сегодняшние события с историческими фактами, цитируя Павла Рябушинского: «Господа социал-демократы, не разрушайте здания, в котором мы живем».",1,0,Paducheva2013,in_domain_train
2964,Найдена альтернатива громоздким вышкам сотовой связи.,1,0,USE5,in_domain_train
2965,"Территорию усадьбы огородили забором, а около этого забора посадили берёзки.",1,0,USE5,in_domain_train
2966,"Не может быть, чтобы он не усмехнулся исподтишка.",1,0,Paducheva2013,in_domain_train
2967,"Проверка, произведенная в банке, подтвердила его показания.",1,0,Paducheva2010,in_domain_train
2968,Я разбирал одно похожее дело в прошлом году.,1,0,Paducheva2010,in_domain_train
2969,"Подвинься, чтобы и мне видеть.",1,0,Testelets,in_domain_train
2970,"Меженин кончил чистить штык, вдруг перехватил мимолетно сощуренный взгляд сержанта на верхнем окне дома.",1,0,Paducheva2004,in_domain_train
2971,Всю молодость она была красива.,0,Semantics,Paducheva2010,in_domain_train
2972,Спортсмен еще не отдохнул.,1,0,Paducheva2013,in_domain_train
2973,Я не стану давать тебе никаких указаний.,1,0,Paducheva2013,in_domain_train
2974,Вдали близ шлагбаума виднелся маленький красный домик.,1,0,Seliverstova,in_domain_train
2975,"Эти двое парней обладали действенной силой, благодаря которой ситуация быстро разрешилась.",1,0,USE5,in_domain_train
2976,"Чтобы как следует использовать окружающее их на суше пространство, люди изобрели всевозможные приспособления: эскалаторы, лифты, лестница и многое другое.",0,Syntax,USE8,in_domain_train
2977,Он выбрал сотрудницу по внешности.,1,0,Paducheva2004,in_domain_train
2978,Книга была продана букинистом студенту.,1,0,Testelets,in_domain_train
2979,В Красноярске впервые состоялся международный конкурс артистического мастерства «Весна — 2012».,1,0,USE5,in_domain_train
2980,Он получил доказательство теоремы Ферма.,1,0,Seliverstova,in_domain_train
2981,"Вероятно, он с кем-нибудь там общается.",1,0,Seliverstova,in_domain_train
2982,Очки лежали возле книги.,1,0,Seliverstova,in_domain_train
2983,Деревни пока не видно.,1,0,Paducheva2004,in_domain_train
2984,Ты показал ей это письмо?,1,0,Paducheva2010,in_domain_train
2985,Я воздержался от каких-либо комментариев.,1,0,Paducheva2013,in_domain_train
2986,Покупателей в аптеке не было.,1,0,Paducheva2013,in_domain_train
2987,Поговори же хоть с любым из них.,0,Semantics,Seliverstova,in_domain_train
2988,"Порази толпу ужасом, который бы отнял какую бы то ни было способность к сопротивлению.",1,0,Paducheva2013,in_domain_train
2989,Американские девушки перестали курить.,1,0,Paducheva2013,in_domain_train
2990,"Девочки, давай зайдем в магазин!",0,Syntax,Rusgram,in_domain_train
2991,"Ну сядь, я тебя прошу.",1,0,Paducheva2010,in_domain_train
2992,Последнее пять человек пришли.,0,Syntax,Testelets,in_domain_train
2993,Ваня завтра не пойдет в школу.,1,0,Paducheva2004,in_domain_train
2994,"Оказалось, шуршание фольги, постукивание ложкой омиску и даже звон бокалов провоцирует припадки у кошек.",0,Syntax,USE8,in_domain_train
2995,"Хотя лагерь еще был окутан туманом, вдалеке совсем про светлело.",0,Semantics,Seliverstova,in_domain_train
2996,Университета Бернард Шоу не кончил.,1,0,Paducheva2010,in_domain_train
2997,Кто находил мой кошелек?,1,0,Paducheva2010,in_domain_train
2998,Так быстро он не справится.,1,0,Testelets,in_domain_train
