premise,hypothesis,label,curated_score,compressed_score,diversity_score
"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.",Налетчика судили и раньше.,entailment,2,2,0.0477
"Они стажировались на крупных событиях регионального проекта «Моя территория», где выступали в качестве модераторов рабочих групп.",Они выступали в качестве модераторов рабочих групп.,entailment,0,0,0.0866
"Спасатели рассказали, что точки находятся в режиме постоянной готовности и в случае необходимости быстро окажут помощь пострадавшим.",Пострадавшие получат помощь.,entailment,2,2,0.0823
"На вопрос классного руководителя о причинах их появления мальчик ответил, что подрался со старшим братом.",У мальчика были синяки или ссадины.,entailment,0,0,0.072
"Судно прибывает в сочинский порт за 7 часов. В то же время, билет на самолет до Сочи в летнее время стоит 3 тысячи, а время в пути – чуть меньше часа.",Билет на самолет до Сочи летом стоит 3 тысячи.,entailment,0,0,0.1251
"Когда силовики стали досматривать автомобиль, то обнаружили в нем подозрительный пакет с порошком внутри, который был отправлен на экспертизу.",Пакет с порошком нашли в автомобиле.,entailment,0,0,0.0706
"""Он добавил, что поскольку письмо было оформлено с нарушениями, оно отправлено заявителю для устранения """"недостатков"""".""",Письмо вернулось к заявителю.,entailment,0,4,0.0821
"Вину женщина признала частично признала. Мотивом к совершению преступлений была ревность. Похищенные вещи обвиняемая считала своими, так как они были куплены на ее деньги, - рассказали в пресс-службе областной прокуратуры.",Обвиняемая признала часть вины.,entailment,3,3,0.0586
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был ключарь.,entailment,1,1,0.076
"Как сообщил источник в правоохранительных органах, начальник полиции уже подал рапорт о своем увольнении.",Источник сообщил о местонахождении начальника полиции.,not_entailment,3,5,0.0811
"Разбив оконное стекло, преступник проник в помещение бани и вынес оттуда два электрических чайника и фонарь на общую сумму более 3500 рублей. По подозрению в совершении преступления был задержан 41-летний безработный, ранее уже привлекавшийся к уголовной ответственности. Задержанный пояснил, что в баню залез, потому что не было свидетелей, а похищенной техникой собирался пользоваться сам.",В бане было не меньше двух чайников.,entailment,0,0,0.0657
"Суд не стал рассматривать соответствующее ходатайство, поскольку оно было заявлено не в письменной форме.",Суд не смог разобрать ходатайство.,not_entailment,0,5,0.0812
"""""""В зависимости от того, какое решение будет принято премьером, президентом, я буду принимать решение, откликаться. Хотя я сказал, что, наверное, на их месте я бы учел первое соображение, а именно, что необходима определенная рокировка, и попробовал бы поставить каких-то новых людей"""", - заявил Фурсенко в онлайн-интервью """"Газете.ru"""". По его словам, он остается """"долгожителем"""" среди министров образования и науки разных стран - и западных, и восточных, и южных, однако """"на таких постах так долго не живут"""", поскольку это """"направление, которое требует постоянных изменений"""".""",Фурсенко пообещал откликнуться на решения премьера и президента.,entailment,2,2,0.0841
"В дежурную часть отдела полиции Пролетарского района поступило сообщение о том, что на одной из улиц города неизвестный похитил у гражданина мобильный телефон, - рассказали в правоохранительных органах.",Неизвестный отжал у гражданина мобильник.,entailment,3,4,0.0581
"""По словам очевидцев, их было как минимум три. Сотрудник министерства рассказал местной газете Postimees, что сидя у себя в кабинете на первом этаже услышал стрельбу, после чего быстро закрыл двери и покинул здание через окно. """"Что там сейчас происходит, не знаю, так как не нахожусь в здании"""".""",Сотрудник министерства слышал стрельбу.,entailment,1,1,0.0785
"Несколько дней назад мужчине позвонил незнакомец и, узнав, что пенсионер когда-то приобретал биологические добавки, предложил получить компенсацию.",Пенсионер продавал биодобавки.,not_entailment,2,5,0.098
"По имеющимся данным, это произошло в пятницу, когда судно с пиратами, несмотря на предупредительные выстрелы, не подчинилось требованию остановиться. Британские морские пехотинцы на быстроходных катерах приблизились к судну, поднялись на его борт и арестовали пиратов, которые были вооружены пулеметами и гранатометами. Пираты, судя по всему, решили сдаться без боя, так как силы оказались неравными.",У пиратов были гранатометы.,entailment,0,0,0.0921
"Полицейские поймали похитителя сосен, который прославился благодаря видео.",Похититель сосен прославился благодаря видео.,entailment,0,0,0.0955
"То, что трасса здесь сложная, было известно в прошлом году. Она с того времени не изменилась, но погодные условия внесли коррективы. Я шел с запасом, так как знал, что на финишном круге будет непросто.",Эта трасса сложна.,entailment,0,0,0.0744
"Врачи диагностировали у мужчины перелом плеча и травму тела, которые оцениваются как вред здоровью средней тяжести.",У мужчины сломано плечо.,entailment,1,1,0.0791
"В отделение полиции обратился пациент больницы. Он объяснил, что вышел на несколько минут, а когда вернулся, не обнаружил в палате планшет и своего соседа. Как оказалось, пока мужчины не было, другой больной забрал планшет, связал несколько простыней и по ним сбежал через окно.",У пациента есть еще один планшет.,not_entailment,1,1,0.0426
"""Начиная от магазина """"Крейсер"""", скопилась крупная пробка, так как троллейбусы объехать затор не могут.""",Пробка была незначительной.,not_entailment,1,5,0.078
"Сыграло ли это событие роль в решении обвиняемого начать работать на иностранную разведку, пока не известно. Рассмотрение дела Дивенни по существу начнется 12 декабря. Поскольку речь идет о секретных материалах, часть процесса будет проходить в закрытом режиме.",Часть рассмотрения дела Дивенни будет проходить в закрытом режиме.,entailment,0,0,0.0659
"Преступная группа, осужденная этим летом, смогла вывести из Фонда более миллиарда рублей. 4 августа суд приговорил фигурантов данного дела к срокам от трех до шести с половиной лет лишения свободы. Процесс проходил в особом порядке, поскольку все подсудимые признали свою вину.",Все подсудимые признали свою вину.,entailment,0,0,0.0806
"На заседании областного Совета при губернаторе по развитию физической культуры и спорта чиновники отметили, что прошедший год был для отрасли успешным.",Чиновники довольны итогами года.,entailment,3,3,0.0741
"""Как сообщил Кобзев агентству """"Интерфакс"""" во вторник, сам Навальный также ожидает, что приговор будет обвинительным, """"он в этом уверен"""". При этом Кобзев отметил, что каким будет обвинительный приговор - условным или реальным - ни он, ни Навальный судить не берутся. """"Поскольку здесь явно решение будет приниматься не судьей, то и предполагать очень трудно"""".""",Решение об обвинительном приговоре будет приниматься не судьей.,entailment,3,5,0.0669
"Впрочем, водителя машины вскоре нашли. Им оказался 32-летний местный житель. Он сообщил, что скрылся с места аварии, потому что испугался.",32-летний местный житель испугался.,entailment,3,3,0.0621
"Сотрудники городского управления потребительского рынка провели рейд по торговым точкам, где нелегально продают новогодние деревья.",Во всех торговых точках нелегально продают новогодние елки.,not_entailment,3,5,0.0794
"""""""В зависимости от того, какое решение будет принято премьером, президентом, я буду принимать решение, откликаться. Хотя я сказал, что, наверное, на их месте я бы учел первое соображение, а именно, что необходима определенная рокировка, и попробовал бы поставить каких-то новых людей"""", - заявил Фурсенко в онлайн-интервью """"Газете.ru"""". По его словам, он остается """"долгожителем"""" среди министров образования и науки разных стран - и западных, и восточных, и южных, однако """"на таких постах так долго не живут"""", поскольку это """"направление, которое требует постоянных изменений"""".""",Фурсенко пообещал не принимать решения без учета мнений премьера и президента.,entailment,2,4,0.0839
"Если раньше редакции только гадали, сколько человек реально читают газету, какой у них возраст и какие темы нравятся больше всего, то сейчас все изменилось.","Теперь редакции могут не только гадать, сколько человек реально читают газету, какой у них возраст и какие темы нравятся больше всего.",entailment,0,0,0.0803
"Жители неоднократно жаловались в полицию, но им было отказано в розыске коллекторов.",Полиция отказалась разыскивать коллекторов.,entailment,2,2,0.0872
"В воскресенье в Липецкой области потеплеет, сообщают синоптики.",В воскресенье в Липецкой области точно потеплеет.,not_entailment,1,4,0.098
"Как пояснили в пресс-службе городской администрации, в качестве конкурентного преимущества представители бизнеса предлагают использовать технологию «сложения потенциалов», состоящую в создании замкнутых циклов из отдельных разрозненных экономических цепочек.",Представители бизнеса предлагают использовать технологию «сложения потенциалов» в качестве конкурентного преимущества.,entailment,3,4,0.0746
"Три торговые точки посетили рабочая группа партийного проекта «Народный контроль» и сотрудники управления муниципального заказа и торговли администрации Пуровского района. Как сообщает пресс-служба администрации Пуровского района, основные нарушения, которые были выявлены, - неправильное оформление ценников, отсутствие документов на выпечку, отсутствие маркировки на животноводческой продукции. Предприниматели пообещали исправиться, а контролеры вновь прийти с проверкой на данные объекты.","""""""Народный контроль"""" проверял торговые точки на предмет нарушений.""",entailment,2,2,0.0983
"Он направлялся из города Сергиева Посада в Санкт-Петербург, с туристической группой в количестве 41 человека, в том числе там был один ребёнок. На место происшествия отправились отделение пожарно-спасательной части №13, экипаж ДПС и бригада скорой помощи. Пассажиры автобуса не пострадали, так как спасатели прибыли оперативно и доставили их в ближайший гостиничный комплекс.",В составе туристической группы был 1 ребенок.,entailment,0,0,0.0906
"Группа вооруженных до зубов бандитов обстреляла здание прокуратуры мексиканского штата Кинтана-Роо в курортном городе Канкун, убиты как минимум три человека, еще несколько ранены. Как сообщает местное издание Excelsior, преступники подъехали на мотоциклах и открыли огонь по зданию, охрана прокуратуры вступила с ними в перестрелку. Из-за стрельбы пожарным пришлось срочно эвакуировать людей из расположенного рядом магазина, потому что шальная пуля попала в цистерну с газом, была опасность взрыва.",В Канкуне разрушено здание прокуратуры.,not_entailment,1,5,0.0909
"Я бы дал деньги на командировки, потому что спортивный журналист здесь сидеть не должен, он должен ездить.",У меня есть деньги на командировки.,entailment,1,1,0.0745
"""В Сухуми взорван внедорожник, припаркованный недалеко от жилого дома по ул.Когония, сообщил """"Интерфаксу"""" начальник УВД города Гарри Аршба. По словам собеседника агентства, взрыв произошел около 12:30 в субботу. В результате взрыва никто не пострадал, так как в автомобиле никого не было.""",В Сухуми взлетел на воздух внедорожник.,entailment,2,2,0.0718
"Мужчина опубликовал в Интернете музыкальные записи, которые имели экстремистский подтекст.",Музыкальные записи имели экстремистский подтекст.,entailment,0,0,0.0804
"""Адвокат участницы группы Pussy Riot Марии Алехиной заявил отвод судье Таганского суда Наталье Коноваловой. Как передает корреспондент """"Интерфакса"""", на рассмотрении ходатайства следствия об ограничении сроков ознакомления с материалами дела Алехиной и ее защиты, адвокат Николай Полозов высказал свое недоверие суду. Адвокат заявил отвод председательствующей по данному делу, поскольку она вынесла уже два аналогичных решения не в пользу наших подзащитных.""",В Таганском суде разбирают дело участницы группы Pussy Riot Марии Алехиной.,entailment,1,1,0.0912
"""""""Я всегда мечтал играть за """"Барс"""", ничего не изменилось. Я счастлив быть здесь и даже не думаю об уходе. Я не просил о продлении контракта, потому что и так хочу здесь остаться"""".""","""Я хочу остаться в """"Барсе"""".""",entailment,2,2,0.0903
"""""""Будем участвовать в выборах (главы Химок - ИФ). Мы уже часть документов собрали, через несколько дней подадим на регистрацию и будем собирать подписи"""", - заявил он """"Интерфаксу"""" в понедельник. По его словам, у него есть несколько идей для предвыборной кампании: """"Например, все посты в правительстве будут занимать немцы, потому что наши чиновники все воруют"""".""",Предстоят выборы главы Химок.,entailment,0,0,0.079
"По словам очевидцев, злоумышленников было около десятка, и они внезапно появились из-за памятника.",Очевидцы не видели злоумышленников.,not_entailment,3,5,0.0785
"За несколько минут пламя пожара охватило крышу, а затем огонь перекинулся на другие постройки.",За несколько минут пожар охватил крышу.,entailment,1,1,0.0615
"Тут ведь запросто можно ноги переломать! Соседям, похоже, все равно, все давно привыкли, что управляющая компания ничего не делает. Я ни разу не видела дворника и не знаю, есть ли он вообще.",Дворника нет вообще.,not_entailment,0,5,0.0893
"Трагедия произошла из-за того, что водитель машины забыл закрыть дверь.",Водитель машины оставил дверь открытой.,entailment,0,1,0.0748
"Причиной этому стал звонок от неизвестного мужчины, который сообщил в полицию о нахождении в здании бомбы.",Неизвестный мужчина позвонил в полицию и сообщил о звонке.,not_entailment,1,5,0.071
"«Скорбим вместе со всей страной...», говорится в сообщении команды.",Команда скорбит со всей страной.,entailment,1,1,0.0877
"Производители молока подали в суд, который в итоге вынес решение.",Производители молока решили судиться.,entailment,0,2,0.103
"Замоскворецкий суд Москвы постановил провести комплексную экспертизу по делу против чемпиона мира по боевому самбо Расула Мирзаева, который нанес 19-летнему Ивану Агафонову удар, ставший смертельным. Вопрос о проведении новой экспертизы был поставлен председательствующим на процессе судьей. Сторона потерпевших согласилась с необходимостью провести новое исследование, поскольку увидела противоречия в предыдущих.",Чемпион мира по боевому самбо убил Ивана Агафонова одним ударом.,entailment,2,2,0.0915
"Он уже пришел в сознание. Спорт есть спорт – случилось перенапряжение, поскольку была очень жесткая борьба. Про судейство говорить бессмысленно, поскольку ничего не изменишь.",Он уже в сознании.,entailment,2,3,0.0842
"Мужчина опубликовал в Интернете музыкальные записи, которые имели экстремистский подтекст.",Мужчина распространил музыкальные записи с экстремистским подтекстом.,entailment,0,3,0.0815
"Передачу помещений школ спортивным секциям городские власти хотят сделать правилом, так как в администрацию постоянно обращаются различные спортивные секции, которые не могут найти средства на аренду залов.",Некоторые спортивные секции не могут найти средства на аренду залов.,entailment,3,3,0.0829
"Уголовное дело в отношении парня возбудили после того, как неравнодушные граждане пожаловались на него в полицию.",На парня завели уголовное дело.,entailment,1,1,0.0672
"Сначала он позвонил в ГИБДД, чтобы эту машину эвакуировали, но те отказались, так как на авто не было номеров, а поэтому установить его владельца невозможно. После этого рассерженный северянин и сообщил в полицию о бомбе, - пояснила начальник пресс-службы.","Северянин сделал ложный звонок о бомбе, чтобы эвакуировать машину.",entailment,1,5,0.0639
"На реке в Новосибирской области погиб мужчина, который упал со снегохода.",Мужчина упал со снегохода на озере.,not_entailment,2,5,0.1186
"""""""Это очень важно, что тысячи людей сейчас заявляют о своем желании быть наблюдателями. Это значит, что процесс наблюдения будет вестись не только Советом Европы, БДИПЧ. Это важно, потому что они нам помогут"""", - сказал он.""",Совет Европы будет наблюдать.,entailment,3,5,0.0792
"Хозяин авто рассказал оперативникам, что приехал на машине в гости к знакомому.",Оперативники пообщались с хозяином машины.,entailment,0,0,0.0788
"""Военнослужащие ВМС Израиля в субботу высадились на судно """"Эстель"""", перевозившее активистов в сектор Газа, передает агентство АФП. Источник в израильском военном командовании сообщил агентству, что военные захватили контроль над судном. По его словам, в ходе этой операции силу применять не пришлось, так как никто из активистов не стал оказывать сопротивление.""",Активисты отчаянно сопротивлялись военным.,not_entailment,0,5,0.102
"""""""Ласточки"""" засыпает снегом, они ржавеют и гниют, но в какой-то мере это правильное решение.""","""""""Ласточки"""" гниют от снега.""",not_entailment,0,5,0.0942
"По предварительным данным, водитель иномарки не справился с управлением и вылетел на встречную полосу.",Произошло ДТП.,entailment,0,0,0.0634
"Исследователи отмечают, что такое развитие ситуации может во много раз увеличить в море содержание ртути.",В море будет больше ртути.,not_entailment,0,0,0.0937
"Все это может привести к осложнению оперативной обстановки на автомагистралях, которые проходят через Смоленскую область.",Есть риск усложнения оперативной обстановки на автомагистралях.,entailment,3,3,0.0693
"""Как говорится в сообщении, следствием была собрана достаточная доказательственная база для признания вины подозреваемого. Однако по результатам судебно-психиатрической экспертизы выяснилось, что в момент совершения преступлений он не осознавал фактический характер и общественную опасность своих действий и не мог руководить ими. """"Поскольку имеющееся у него психическое расстройство связано с возможностью причинения им иного существенного вреда либо с опасностью для себя или других лиц, суд признал необходимость в стационарном лечении"""", - отмечает прокуратура.""",Была отменена судебно-психиатрическая экспертиза.,not_entailment,0,5,0.0666
"Сумма долга предприятия перевалила за два миллиона рублей, кроме того, работодатель не спешил выплачивать работникам компенсацию за задержку зарплат.",Долг предприятия полностью выплачен.,not_entailment,0,5,0.0764
"""По ее словам, суд согласился с доводами следствия, что Воротников уклоняется от участия в расследовании, не является на допросы. Кроме того, в отношении него было возбуждено второе уголовное дело. """"Мы будем обжаловать, потому что следователь указал на суде, что Воротников не является по вызовам в рамках второго дела"""".""",Воротников не является на допросы.,entailment,0,0,0.0718
"Ранее в допинг-пробе боксера обнаружили запрещенный препарат остарин. «Мое мнение - это некомпетентность людей, которые работают с Александром Поветкиным, из чьих рук он получил этот препарат», - заявил Хрюнов Радио «Комсомольская правда». Он добавил, что считает произошедшее «ужасом», поскольку раньше спортсмен не употреблял допинг.",В допинг-пробе Поветкина нашли остарин.,entailment,0,0,0.077
"Как сообщают в социальных сетях местные жители, на свет появилось одноглазое животное, напоминающее циклопа.",Местные жители увидели рождение настоящего циклопа.,not_entailment,3,5,0.0828
"""В ходе встречи с участниками акции прокурор разъяснил им причины, по которым было отказано в проведении митинга. """"Когда они пришли подавать заявление, то не указали в нем ответственного за порядок, время проведения акции и численность участников, поэтому им было отказано. Никого из пришедших на площадь привлекать к ответственности не будут, так как собрались всего несколько человек, так что можно сказать, что никакой акции протеста и не было"""", - подчеркнул он.""",Прокурор согласился встретиться с участниками.,entailment,0,0,0.0699
"Дело возвращено для устранения препятствий его рассмотрения судом, так как в обвинительном заключении были нарушены права потерпевшего.",В обвинительном заключении были нарушены права потерпевшего.,entailment,0,0,0.072
"Как рассказали «Комсомольской правде» в пресс-службе регионально прокуратуры, мужчину подозревают в хищении крупной суммы денег.",Мужчину подозревают в отравительстве.,not_entailment,0,0,0.0789
"""""""Это обыкновенная гнусная ложь, потому что я никакую коммерческую деятельность не веду, находясь на должности депутата, никаким отмыванием денег я не занимаюсь"""".""",Я нахожусь на должности депутата.,entailment,0,0,0.0894
"Пока пристав-исполнитель опрашивала пожилую хозяйку, ее коллега прошелся по квартире. В кладовке висела зимняя одежда – старые шубы, пальто. Именно эти вещи и привлекли пристава, потому что одежда подрагивала, словно кто-то за ней прятался.",Одежда была мокрой.,not_entailment,0,0,0.083
"""Приговор суда о мере наказания подсудимого должен быть объявлен позднее в пятницу. Сам он в суде заявил: """"Даже если вы мне не верите, я сожалею о содеянном. Я хотел представить вам мои извинения, потому что это последний раз, когда я могу выступить"""".""",Приговор объявят в пятницу.,entailment,0,0,0.0815
"Они не знают обидчиков. - По словам потерпевших, накануне около четырех часов дня на них напали трое неизвестных подростков и избили. По данному факту проводится проверка, - рассказывает источник в правоохранительных органах.",Потерпевшие обвиняют трех подростков.,entailment,2,2,0.0737
"Большинство застрявших в пробках водителей жаловались на неубранные дороги. В выходные в городе не прекращался снегопад и, похоже, городские власти вновь оказались к этому не готовы. Впрочем, если верить заявлениям чиновников, они сделали все, что смогли.",Водители застряли в пробках.,entailment,0,0,0.068
"Сотрудники городского управления потребительского рынка провели рейд по торговым точкам, где нелегально продают новогодние деревья.",По нелегальным точкам продажи елок проведен специальный рейд.,entailment,3,3,0.0829
"""""""Мы в ежедневном формате с коллегами в Турции держим связь, никаких инцидентов нет, паник нет среди российских граждан и российских туристов. Абсолютно спокойная ситуация. Кончено, есть напряжение, потому что это крайне шокирующая новость"""".""",Российские туристы никогда не паникуют.,not_entailment,2,5,0.0866
"""По словам Касима Джамаля Сулеймана, руководителя правительственной комиссии по расследованию произошедшего, все """"мученики"""" были выходцами из """"мирных семей, которые никогда не участвовали в вооруженной борьбе с государством"""". """"Они были не согласны с вооруженными группировками, это подтверждает, что у последних был интерес и цель для убийств"""", - сказал Сулейман, добавив, что все погибшие умерли от пуль и """"острых предметов"""", а не от артиллерии. Он также отметил, что правительственные войска не входили в Хулу во время бойни, поскольку пострадавшие районы находятся вдали от их позиций.""","""Касим Джамаль Сулейман назвал погибших """"мучениками"""".""",entailment,0,0,0.0832
"""""""Википедия"""" пишет, что это был период избирательной президентской кампании в России, а Макфол тогда занимался изучением избирательных технологий. Как писал один из коллег Макфола, он поначалу хотел отклонить приглашение Коржакова, который в то время входил в предвыборный штаб Ельцина. Однако приятель посоветовал ему принять приглашение, поскольку последствия отказа были бы намного хуже.""",Коржаков входил в предвыборный штаб Ельцина.,entailment,3,3,0.0763
"Он обвинялся в убийстве жены, сообщается в пресс-службе областной прокуратуры.",Его обвиняли в смерти супруги.,entailment,3,3,0.0682
"""""""Воздушные шары символизируют открытость и честность выборов, а их количество равно числу ТИКов в республике"""", - пояснил агентству поднесший спичку к чучелу, облив его перед этим жидкостью для разведения костров, правозащитник Эдвард Мурзин. Участники митинга, организованного одним из лидеров общественного движения """"Голос Уфы"""" Андреем Андреевым, прошли колонной с речевками и знаменами несколько кварталов к площади перед Русским драмтеатром. Полиция не перекрывала движение автотранспорта, поскольку колонна участников акции двигалась только по тротуарам.""",Честность и открытость выборов символизирует колонна с речевками.,not_entailment,3,5,0.0672
"""Проректор ВГУ по инновационной деятельности и коммерциализации технологий Татьяна Давыденко покинула занимаемый ею пост. Информацию подтвердили в пресс-службе вуза. Однако причину ухода прокомментировать не смогли, так как это """"конфиденциальная информация"""".""",Проректор ВГУ покинула пост по конфиденциальным причинам.,entailment,2,5,0.0969
"Псковская область получит из федерального бюджета больше пяти миллионов рублей, которые потратят на подготовку к проведению единого государственного экзамена.",Псковская область получит деньги из федерального бюджета.,entailment,0,0,0.1095
"В Нижегородской области выясняют причины крупного пожара, в результате которого сгорел дом и пострадал подросток.",В Нижегородской области сгорел подросток.,not_entailment,1,5,0.0875
"""Береговой в суде пожаловался на противоправные действия и угрозы со стороны друзей Агафонова. """"После инцидента 15 августа 2011 г. ко мне приезжал молодой человек со стороны Агафонова, он требовал видеозапись с камер наблюдения, - рассказал он. По его словам, угрожавший обещал """"всем устроить, так как побили хорошего человека"""".""",Береговой жаловался на качество видеозаписи.,not_entailment,1,1,0.0612
"Суд не стал рассматривать соответствующее ходатайство, поскольку оно было заявлено не в письменной форме.",Суд не рассмотрел ходатайство.,entailment,0,0,0.0837
"Они стажировались на крупных событиях регионального проекта «Моя территория», где выступали в качестве модераторов рабочих групп.",Они стажировались как модераторы.,entailment,0,3,0.0869
