text,label,error_type,curated_score,compressed_score,diversity_score
Хутор лежал вдалеке от железной дороги.,1,0,2,3,0.0787
Теперь появился новый лекарственный препарат.,1,0,2,2,0.0658
"Отправиться бы нам на море, захватив с собой детей.",1,0,2,4,0.0993
Даже лебеда не выросла.,1,0,2,4,0.1159
Они не замечали меня.,1,0,2,2,0.0667
Путешествие отвлечет его от себя.,1,0,2,4,0.0712
Я не ел ветчины.,1,0,2,3,0.084
Лейтенант-коммандер Ходжкинсон получил приказ быть готов к взлету.,1,0,3,3,0.0665
"Мне кажется, что кто-то пришел.",1,0,2,2,0.0425
Он часто сюда приходит.,1,0,3,3,0.0586
Они считали его талантливым.,1,0,3,3,0.0428
Я говорю с Машей.,1,0,2,2,0.0706
Они давно живут в Стрелецке.,1,0,2,3,0.0842
"Получила письмо из дома — мать написала, что все в порядке.",1,0,2,4,0.0855
"В прошлом году дом был желтым, а потом его покрасили в красный цвет.",1,0,2,2,0.092
А вот Марат Сафин после турнира в «Куинс-клубе» не покидал Альбион.,1,0,2,2,0.1146
Тормозов не лязгало.,0,Semantics,2,4,0.0501
"Похоже, что он выиграет.",1,0,2,3,0.0651
"Заканчиваем перерыв, приступаем за работу!",0,Syntax,2,4,0.0852
Новый ключ открыл дверь без труда.,1,0,2,2,0.0702
Я очень гордился своим отцом.,1,0,2,2,0.0733
Я готов помочь любому из них.,1,0,3,3,0.0552
"Ему не повезло, что он встретил эту женщину.",1,0,2,3,0.0645
"Маша читает книгу, и Саша читает.",1,0,3,4,0.028
В музее капитолия Аризоны представлены пятнадцать символов.,1,0,2,2,0.1311
"Выбирай, жизнь или кошелек.",1,0,2,5,0.0964
"Я понимаю, на что он намекал.",1,0,3,3,0.0569
Любой школьник решил эту задачу.,0,Semantics,2,4,0.0741
Они прошли совсем близко друг от друга.,1,0,3,4,0.059
Посылку у меня не приняли.,1,0,3,4,0.063
"Мне жаль, что занятий не будет.",1,0,3,3,0.0661
Иван нарушил обещание встретиться с нами самому.,1,0,3,3,0.0508
С каким напряжением она следила за этой сценой.,1,0,3,3,0.0685
Он ест одну грушу.,0,Semantics,2,3,0.0612
Меня удивил его приход.,1,0,2,2,0.0329
Я получил к нему склонность.,0,Semantics,3,4,0.0592
Только мой ключ открыл дверь.,1,0,3,4,0.0533
Когда же выпадал этот снег?,0,Semantics,2,3,0.0672
"Мой друг работает, чтобы заработать на покупку квартиры.",1,0,2,2,0.0935
Зимой сопротивляемость организма болезням ослабляется.,1,0,2,3,0.0958
Он рисковал попасть за решетку.,1,0,3,3,0.0641
Он ездит туда один.,1,0,2,2,0.0606
Сейчас я пишу статью о местоимениях.,1,0,2,3,0.0898
Свечка погорела и погасла.,1,0,2,2,0.0717
"Обнаруживается, что преступник на свободе.",1,0,3,3,0.0644
Разрешаю тебе поставить кресло в мою комнату.,1,0,3,3,0.0669
Я тогда не могла ему ничего сказать.,1,0,3,4,0.0498
Иван не был в своей комнате.,1,0,3,3,0.0627
Я принимаю ваше приглашение.,1,0,3,3,0.0648
"Я был в кино, а Иван не был.",1,0,3,3,0.0692
Эта работа дала мне удовлетворение.,1,0,2,2,0.071
Нашему теляти да волка поймати!,1,0,2,4,0.092
Поселок расположен вдали от железных дорог.,1,0,3,3,0.0511
Почему вы не хотите принять эти деньги?,1,0,2,2,0.0797
"Он отрицает, что все знает об этом.",1,0,2,3,0.0623
Какое-нибудь задание было дано каждому из них.,1,0,3,4,0.0666
Вани в комнате не было.,1,0,3,3,0.0692
"Тем не менее, он только предсказывает, что болен.",0,Semantics,2,3,0.0714
Что вы думаете о Томе?,1,0,2,2,0.0888
В комнате книжный шкаф и письменный стол.,1,0,2,2,0.0733
Глаза у нее сияли.,1,0,2,2,0.0645
У Маши сын пошел в школу.,1,0,2,2,0.0896
Женская команда заняла девятое место на Олимпийских играх в 2004 году.,1,0,2,2,0.1376
Мне дали квартиру поблизости от Филевского парка.,1,0,2,3,0.0918
Я предложила ей жить в моей комнате.,1,0,3,4,0.0635
Эти стены видели многое.,1,0,2,2,0.0852
Я не знаю Машу Трофимову.,1,0,2,4,0.0865
Это произошло на этот раз.,0,Syntax,1,1,0.0806
Этот замок имеет красивое положение.,0,Semantics,2,2,0.0932
Над столом висели фотографии.,1,0,2,2,0.0624
В тот день он сидел дома ровно в шесть.,0,Semantics,2,4,0.0791
На прошлой неделе картина была продана.,1,0,2,3,0.0905
Нет ли где поспать?,0,Semantics,3,3,0.065
Прошу у вас прощенья за вчерашнее.,1,0,3,3,0.0674
"Но, как только она сказал это, он вдруг выпрямился, и лицо его приняло гордое и строгое выражение.",1,0,2,2,0.0743
Мы осмотрели их каждого по отдельности.,1,0,3,3,0.0689
Я не был дома весь день.,1,0,0,2,0.0544
"Вы надеетесь, что вам этого не нужно делать.",1,0,1,4,0.0898
"Были в ней и скромность, и изящество, и достоинство.",1,0,3,3,0.0483
Затем в 2007 году шахту приобрела компания Petra Diamonds и до сих пор находится в эксплуатации.,0,Syntax,2,2,0.1338
"В 2017 году компанией ""БелАЗ"" запустили завод по производству тормозных колодок, дисков, накладок в городе Старые дороги.",0,Syntax,2,4,0.1165
Я взял лыжи напрокат.,1,0,2,2,0.0903
Железо тонет в воде.,1,0,2,2,0.1042
Маша только что мыла пол в коридоре.,1,0,2,2,0.0976
Ответа мы не получили.,1,0,2,4,0.0454
Внимательно вы эту статью не прочли.,1,0,2,3,0.0494
"Я не мог поверить, что этот человек и есть я.",1,0,3,3,0.0619
Поселок расположен далеко от реки.,1,0,2,2,0.0508
Она с любопытством поглядывала на меня вблизи.,0,Semantics,3,3,0.0526
Перед домом есть колодец.,1,0,2,2,0.0763
"Я считаю, что Маша очень мила.",1,0,2,2,0.0727
Узенькая тропинка шла вдоль реки.,1,0,2,2,0.0699
Стаканы есть поставлены в шкаф.,0,Syntax,3,4,0.0618
Он получил ее согласие.,1,0,2,2,0.0363
"Если ты возьмешь сумку, то я— чемодан.",1,0,3,4,0.0637
Прошу тебя открыть окно.,1,0,2,2,0.0637
Величественный горный пейзаж вызывал восхищение.,1,0,2,2,0.0639
Мы пойдем до него.,1,0,3,3,0.0621
"Нельзя ни к кому не обращаться, когда ты нуждаешься в помощи.",1,0,3,3,0.0643
Он дал ему подзатыльник.,1,0,3,3,0.0661
У нас в лесу есть озеро.,1,0,1,3,0.0633
"Ваня видел, как они купались.",1,0,2,4,0.0914
Мне еще решить задачу.,0,Syntax,3,4,0.067
"Точно что вы хотите, чтобы я сделал?",0,Syntax,3,4,0.0554
Я увидел этот фильм.,1,0,2,2,0.0605
Том никогда не забывал Мэри.,1,0,2,2,0.0794
Это был 16-миллиметровый безопасный фильм.,0,Hallucination,2,4,0.1262
Этот институт находится близко от метро «Академическая».,1,0,2,4,0.0958
В 13 лет он дал первый концерт профессиональной музыки.,1,0,2,4,0.1103
Он выпил стакан воды.,1,0,1,1,0.0661
Я хочу посоветоваться с хорошим врачом.,1,0,3,3,0.045
Весь год у меня был помощник.,1,0,2,2,0.0684
Эта трава выше деревьев.,1,0,2,2,0.0725
С этим ушибом каждый врач справится.,1,0,2,2,0.0948
"Тома, вероятно, будет бояться собаки Мэри.",0,Syntax,2,5,0.0825
Я буду завтра в банке.,1,0,1,3,0.0653
"Не скрою, он мне понравился.",1,0,2,2,0.0507
Президент лично пригласил нас.,1,0,3,3,0.0697
"Чтобы как следует использовать окружающее их на суше пространство, люди изобрели всевозможные приспособления: эскалаторы, лифты, лестница и многое другое.",0,Syntax,2,4,0.1059
Он уехал из Москвы в Петербург.,1,0,1,1,0.0827
"Я никогда не думал, что это сделаю.",1,0,2,2,0.088
Эта речка впадает в небольшое озеро.,1,0,2,3,0.0721
В этот момент он врывается в комнату и открывает окно.,1,0,3,3,0.0652
Студент купил книгу у букиниста.,1,0,3,3,0.0297
Напротив моего дома есть колокольня.,1,0,3,3,0.0712
"Он в таком восторге от всего, что связано с Францией, что хочет жениться на какой-нибудь француженке.",0,Semantics,3,4,0.0693
Сейчас картина была вывезена в Америку.,0,Semantics,2,4,0.0897
Маша считает этот суп достаточным.,0,Semantics,2,4,0.0891
"Я считаю, что ты, несомненно, справишься.",1,0,1,4,0.0699
Сразу по приезде приехавшие родственники к нам в гости поселились на даче.,0,Syntax,0,4,0.0801
Я дочитал вашу рукопись до середины.,1,0,3,4,0.0589
Вместе с тем у нее не было никаких причин скрывать от меня что бы то ни было.,1,0,3,3,0.0646
Здесь всегда холодно.,1,0,2,2,0.0915
Я люблю отдыхать у Черного моря.,1,0,2,3,0.093
По дороге шла женщина.,1,0,1,1,0.0843
"Я звонил Маше, но ее дома не оказалось.",1,0,3,3,0.0668
Названо самое популярное произведение рэпера XXXTentacion.,1,0,2,4,0.1346
Он дал мне десять рублей.,1,0,2,2,0.0391
Коли где-то не было.,0,Semantics,3,3,0.0649
Они читали мои жалобы на себя.,1,0,3,4,0.0635
Я получила незаслуженный упрек.,1,0,3,3,0.0646
Мы просим вас нам спеть.,1,0,2,3,0.0898
"Иван считает, что он почти закончил диссертацию.",1,0,3,3,0.0672
Около стола стояло большое кресло.,1,0,1,1,0.0598
Бабушка до сих по любит его без памяти.,1,0,1,3,0.0836
Он страшно был в отчаянии.,0,Semantics,3,3,0.0442
"В шкафу стоят книги, на полках лежат не только газеты, но также и стеклянная посуда.",0,Syntax,2,4,0.0737
"Я думал, ты со мной согласишься.",1,0,2,3,0.0664
"Дюшен послал свою диссертацию в Институт Пастера, но не получил ответа.",1,0,2,4,0.1128
"Мне было тяжело обращаться к кому-нибудь с такой просьбой, и я решил все сделать сам.",1,0,2,4,0.0734
На чем они разговаривают?,0,Syntax,3,3,0.0589
"Он существовал, и между прочим существовал он неплохо.",0,Semantics,2,4,0.0715
Он решил задачу прямым перебором.,1,0,3,4,0.0549
"Создатели Roland Gar собрались устроить для школьников ""роль"" Роскосмоса.",0,Hallucination,2,4,0.1141
Кириллин день еще не миновал.,1,0,0,4,0.1067
Он не прислал ответ.,1,0,2,2,0.0404
С 1973 года уровень льда контролируется спутниками.,1,0,2,3,0.112
Неужели мы не можем ее сжечь?,1,0,2,3,0.097
"Среди моих студентов есть такие, которые видели этот фильм.",1,0,3,4,0.064
Публика с возмущением приняла его выступление.,0,Semantics,3,4,0.0704
Иван не может опоздать.,1,0,2,3,0.0674
"Наверное, я казался себе смешным.",0,Semantics,2,4,0.0607
Мне было приятно обращаться к кому-нибудь с такой просьбой.,0,Semantics,3,4,0.0573
Вопрос: Нужны ли России малые предприятия вообще?,1,0,2,2,0.1209
Отец не был на море.,1,0,2,2,0.0433
"Я чувствую, что он прав.",1,0,2,2,0.0302
Он сажал все деревья в том саду.,1,0,2,2,0.0825
Только это дало мне смелость обратиться к Вам за помощью.,1,0,3,4,0.0699
Дерево над корнями было срублено.,0,Semantics,3,3,0.053
Я уговаривал ее вернуться.,1,0,2,4,0.0671
"Он чувствовал, что между им и ею существовала преграда.",1,0,3,4,0.0617
"Я звонил в дверь, но звонка не было.",1,0,3,4,0.0704
Наконец-то я ее увидел.,1,0,3,4,0.0534
Вместе с тем у нее не было никаких причин скрывать от меня что-либо.,1,0,3,4,0.0624
У него было много любых дел.,0,Semantics,2,4,0.0588
Он обозначил мне границы.,1,0,3,4,0.0569
Вопреки рекомендаций врачей спортсмен не снижал нагрузки во время тренировок.,0,Syntax,2,5,0.0942
"Я был близко от ее дома, но подойти к самому дому не смог.",1,0,2,2,0.0617
"Вырыли яму, чтобы ловить людей, но ни одного человека в нее не упало.",1,0,2,4,0.1112
Иван был назначен командованием на свою нынешнюю должность.,1,0,2,2,0.0754
Доход на душу населения в 2017 году составит $20543.,1,0,2,2,0.1392
Он живет недалеко возле каменной церкви.,1,0,1,3,0.0795
Он отказался от всякой помощи.,1,0,3,3,0.0624
"Мне было неприятно им помогать, но я все-таки помогал.",1,0,3,3,0.0609
Его давно не было в Москве.,1,0,3,3,0.0458
"Лучше разговаривать в саду, а не на пыльной дороге.",1,0,2,2,0.0975
Она решила взять сына домой.,1,0,3,3,0.0702
"Я видел желтое пятнышко, но не понял, что это оно.",0,Semantics,3,3,0.0676
Ты должен ей помочь.,1,0,2,2,0.0671
"Писатель пригласил журналистку, чтобы дать ей интервью.",1,0,3,3,0.0352
"Он бывал везде: и на Рейне, и на Ганге.",1,0,2,3,0.0868
Стены уже который год грозятся перекрасить.,1,0,2,4,0.098
"Я вижу, там кто-то есть.",1,0,3,3,0.0419
Возьми у меня корзинку и поставь ее куда-нибудь поблизости.,1,0,3,4,0.07
Тебе надо показаться врачу.,1,0,3,4,0.061
Она сидела рядом со мной и горько плакала.,1,0,2,3,0.0508
Давным-давно они жили в Стрелецке.,1,0,2,2,0.0772
"Чтобы встать пораньше, надо завтра завести будильник.",1,0,3,3,0.0708
Иван взял с собой плащ или куртку.,1,0,3,3,0.0684
Я взяла его за своего брата.,0,Semantics,3,4,0.0605
Где-то невдалеке и вверху замигал огонек.,1,0,3,4,0.0615
Том не пытается вас впечатлить.,1,0,3,3,0.0673
"Какой тут отдых, когда дел столько?",1,0,2,5,0.0889
Мне видится это так.,1,0,3,3,0.0707
Компания начинает обсуждать дальнейший план действий.,1,0,2,2,0.0857
Есть о чем рассказывать!,1,0,3,3,0.0663
Сообщение не рассердило Марию.,1,0,2,4,0.0627
Мы приняли его в партию.,1,0,2,2,0.0654
Над сектором сгущаются тучи.,1,0,2,3,0.0803
Церковь стоит на холме.,1,0,2,2,0.0884
О староверах я уже писал.,1,0,2,3,0.0911
Он вскоре понял свою ошибку.,1,0,2,2,0.0543
Его доклад был информативным и познавательным.,1,0,1,1,0.0837
"Я думаю, что он этого не сделает.",1,0,1,1,0.0717
Том разговаривает с Геком.,1,0,1,1,0.0914
Приноси книги в аудиторию.,0,Semantics,3,4,0.0692
Я слышу хрип звонка.,1,0,3,3,0.0659
"И мы столкнем их с другим лучом протонов, движущимся в противоположном направлении.",1,0,2,4,0.0975
Вани не было дома.,1,0,0,3,0.0559
"Хочу любить вас вечно, хочу спасти вас от самого себя.",1,0,1,4,0.0872
С ребятами занимаются опытные тренеры.,1,0,2,2,0.0872
Кассир выдал мне зарплату.,1,0,2,2,0.0687
Мне не нужно отдыхать.,1,0,2,3,0.0696
Ваня не решал задачу.,1,0,2,2,0.0545
В работе имеются ссылки на Якобсона.,1,0,2,4,0.0935
"Хотя погода была хорошая, он не пошел гулять.",1,0,1,1,0.0703
"Они зайдут, когда ты спрячешься.",1,0,3,3,0.0377
Я хочу увидеть Машу.,1,0,2,2,0.064
"Вероятно, он что-нибудь там делает.",1,0,1,4,0.0482
Все лето трава была зеленой.,1,0,2,3,0.0865
Солдаты получили от командира приказ выдвигаться на позицию.,1,0,1,1,0.0458
Меня рассердила его невнимательность.,1,0,2,4,0.0417
Возьмите у него из стола мои книги.,1,0,3,3,0.0594
Столицей провинции является город Палпа.,1,0,1,2,0.1229
Хозяйки в доме не чувствуется.,1,0,3,3,0.0635
Мы дали металлу твердость.,0,Semantics,2,4,0.0845
Он часто кому-нибудь помогает.,1,0,3,3,0.0653
У нас сейчас есть урок.,0,Semantics,0,0,0.0622
Объяснение с ним я беру на себя.,1,0,2,5,0.0687
Муж собирается просить Лену разрешить ему поехать туда одному.,1,0,3,3,0.068
"Задача отряда состояла в том, чтобы принять на себя его охрану до Мурманска.",1,0,1,4,0.0973
Твои советы мне не нужны.,1,0,3,3,0.054
Я с удовольствием с ним говорил.,1,0,3,3,0.0501
В первую зону парка можно увидеть гнездовье.,0,Syntax,2,3,0.0969
Мосты еще не сняли.,1,0,3,3,0.0662
Он показывал мне эти письма.,1,0,2,2,0.0613
Этот фильм показали по телевизору?,1,0,2,4,0.0752
На город за время войны не упало ни одной бомбы.,1,0,2,4,0.1025
Я сегодня буду гулять.,1,0,1,1,0.0753
"Он сказал, что Иван болеет.",1,0,1,3,0.0567
Я выслушала его возражения.,1,0,3,3,0.0539
"Меня посадили около какого-то молодого человека, удивительно похожего на Блока.",1,0,2,4,0.0855
Вчера в два часа магазин закрыт.,0,Semantics,3,4,0.0618
Эта порода тигров встречается на Дальнем Востоке.,1,0,2,2,0.1174
Вы хотите посмотреть мои картины?,1,0,2,2,0.0826
"Я не мог поверить своим глазам, когда впервые увидел это.",1,0,3,3,0.071
"В 1856 году на место Линкольна, названного в честь Джорджа Блумбергского острова был основан город Ланкастер.",0,Hallucination,1,4,0.1305
В отдалении показался человек.,0,Semantics,3,4,0.0588
"Я сделаю, как вы попросили.",1,0,3,3,0.0614
После завершения подготовительных работ в квартире нашли сбойное место.,1,0,2,3,0.0881
"У нас точные данные, что они знали все это.",1,0,3,4,0.0637
Так вы берете этот свитер или нет?,1,0,2,3,0.0864
"Тут пара чулков барышниных, да наволочка, да два полотенца.",0,Morphology,3,3,0.0636
"Что полиция арестует несколько демонстрантов, не вызывало сомнений.",0,Syntax,2,5,0.0967
"Эта ваза стоит 300 рублей, но я отдам ее за 250 рублей.",1,0,2,2,0.118
Он поцеловал ее трижды.,1,0,3,3,0.07
Он подошел совсем близко ко мне.,1,0,1,1,0.0357
"Я видел вашу жену, но не узнал ее.",1,0,2,3,0.0712
"Не думаю, что он снова выиграл.",1,0,3,3,0.0657
И вот он едет сейчас в сторону водокачки.,1,0,2,2,0.0792
Я брал твой ключ.,1,0,3,3,0.0527
"Они ей отказали, дураки.",1,0,2,4,0.0785
Его поведение меня удивило.,1,0,2,2,0.0346
Он дал мне рану.,0,Semantics,3,4,0.0608
"Я стоял около него и случайно слышал, что он сказал своему адъютанту.",1,0,3,3,0.0603
"Отец сейчас, наверное, в банке.",1,0,2,2,0.0758
"Я опасаюсь, что он, может быть, забудет.",0,Semantics,3,3,0.0652
Здесь денег не лежало.,1,0,3,4,0.0696
Я этого не знаю.,1,0,2,2,0.0513
Они принесли мне некоторые бумаги подписать.,1,0,3,4,0.0712
После этого она получила к нему доверие.,0,Semantics,3,4,0.0515
"Вероятно, там кто-то был?",1,0,2,2,0.0475
"Занятий, мне жаль, не будет.",0,Semantics,3,4,0.0652
Завтра я буду иметь демонстрацию.,0,Semantics,3,4,0.0618
Это будет лучше для вас.,1,0,2,2,0.084
Вани здесь ни разу не было.,0,Semantics,3,4,0.0695
Коты по чердаку бегают.,1,0,2,2,0.0984
Он взял на себя управление имением.,1,0,3,3,0.0658
Иван выучился в колледже на слесаря и решил пойти на завод им.,0,Syntax,2,3,0.0815
В прошлом году я лежал в больнице с воспалением легких.,1,0,3,3,0.0653
Я жду его уже довольно долго.,1,0,3,3,0.0681
В 1980 году исполнялось столетие со дня рождения Блока.,1,0,2,4,0.1319
Он говорил об упразднении каких-либо званий.,0,Semantics,3,3,0.0714
Они виделись всего несколько минут.,1,0,2,2,0.0769
Я не взяла ключи.,1,0,2,2,0.0566
"Адмирал Родни провел 1780 и 1781 годы в Карибском бассейне, грабив и угнав голландские Карибские острова.",0,Syntax,2,4,0.122
Мне нездоровится и лучше прилечь.,1,0,2,4,0.0738
Ты еще не взял белье из прачечной?,1,0,3,3,0.0686
Он постепенно решил эту задачу.,1,0,3,3,0.0443
Я живу у самой Волги.,1,0,2,4,0.0805
Появились новые лекарственные препараты.,1,0,2,2,0.0675
Эту книгу я уже покупал.,1,0,1,3,0.0599
Одна женщина подарила мальчику яблоко.,1,0,1,1,0.0919
Работать вчера мне было.,0,Syntax,3,4,0.0572
Я впервые столкнулся с такой проблемой.,1,0,2,3,0.0656
"Что он испугался, не удивительно.",1,0,3,3,0.0507
На улице была толпа народа.,1,0,2,2,0.0699
"Сожалею, что не смог вас известить.",1,0,2,2,0.0734
Иди скорее в школу.,1,0,2,2,0.0908
"Иван не знает, что занятия отменяются.",1,0,2,3,0.068
"Это была либо моя мать, либо сестра.",1,0,2,3,0.0758
"Я чувствую, мне, кажется, придется уступить.",1,0,3,4,0.0631
Она сидела на диване рядом с мужем.,1,0,2,2,0.0734
Я получил от него указание.,1,0,3,3,0.0519
"Я не могла прийти, потому что у меня было собрание.",1,0,2,2,0.0753
Мы разбили палатку у подножия горы.,1,0,2,2,0.0854
"Пойманных акул выбрасывают за борт, уровень выживаемости до низкого (траления), пойманные.",0,Hallucination,2,4,0.0976
"Маршрут и маршрут ""Старухи"" на 7 Июня.",0,Hallucination,2,3,0.1364
Окна смотрят на юг.,1,0,2,2,0.073
"Я заметил это желтое пятнышко, но не придал ему значения.",1,0,3,3,0.0706
"Вскакивая с рундука на рассвете, она сразу вспомнила, что в мире — радость.",1,0,2,5,0.086
Завтра я приеду и подпишу акт.,1,0,2,3,0.0609
Он работает мимо сада.,0,Syntax,1,4,0.0763
Он спокойно принял возражения оппонента.,1,0,3,3,0.0631
"Иногда он шел домой пешком, а иногда садился в троллейбус.",1,0,2,2,0.0866
Вчера этот прибор имел использование.,0,Semantics,3,4,0.0565
Она сидела за столом и кормила двоих детей.,1,0,2,2,0.0992
Почему же вы сердитесь?,1,0,2,2,0.0911
Он живет поблизости от меня.,1,0,1,1,0.0407
Мы оба здесь по одной и той же причине.,1,0,2,2,0.0807
Он живет очень поблизости со мной.,0,Semantics,1,4,0.0433
Его положили в больницу.,1,0,3,4,0.0596
Вчера все время с кем-нибудь говорила.,1,0,3,3,0.0613
В это время мы сидели у стола и обедали.,0,Semantics,1,1,0.0604
"Я поступил, и Иван очень обрадовался, в институт.",0,Syntax,3,3,0.0481
У него было много всяких дел.,1,0,2,2,0.0553
"Иван не знал, что там есть гостиница.",1,0,1,3,0.069
"Если он может решить любую из этих задач, то у него выдающиеся математические способности.",1,0,3,4,0.0627
Я имею деньги в кармане.,0,Semantics,2,3,0.0426
Это платье больше по ширине в длину.,1,0,2,2,0.0766
Мальчики принесли каждый по яблоку.,1,0,1,4,0.0806
Вчера я смогла весь день работать.,1,0,3,3,0.0636
Том взял немного денег из коробки.,1,0,2,3,0.0863
Всего мы прошли пешком около пятиста километров.,0,Morphology,2,3,0.0764
Я не знаю эту женщину.,1,0,2,2,0.0664
"Он всегда говорил очень убедительно, а у меня возникали некоторые сомнения.",1,0,3,3,0.0214
Технология выращивания клубники имеет свои особенности.,1,0,2,2,0.118
"Она как-то странно восприняла то, что я ей сказала.",1,0,3,4,0.0619
У него был какой-то испуганный ви.,1,0,3,4,0.0476
"Я не принимаю то, как они живут.",0,Semantics,3,3,0.0652
Вы не хотите посмотреть мои картины?,1,0,2,3,0.0866
"Были неприятности, имеются последствия.Например, долго нельзя на государственную службу.",1,0,2,4,0.0924
"Он вообразил, что он гений.",1,0,3,3,0.0607
"Исполняя эту пьесу, было чувство радости, переполнявшее исполнительницу.",0,Syntax,3,4,0.0674
У него не было никаких причин что-либо менять.,1,0,3,4,0.0663
Завтра в это время я буду уже далеко.,1,0,3,4,0.0687
При термической обработке металлы становятся очень твердыми.,1,0,2,2,0.0811
Здесь нельзя переходить улицу.,1,0,3,3,0.0653
После этого она стала ему доверять.,1,0,3,3,0.0549
"Мне сообщили об этих планах, и они понравились.",0,Syntax,2,3,0.0612
Кто строил эту дорогу?,1,0,2,2,0.1045
Его приняли в институт.,1,0,3,3,0.057
Вчера мне не передали этого письма.,1,0,2,3,0.0501
"Я пригласила ее, чтобы пригласить кого-нибудь.",1,0,3,3,0.0633
"По глазам вижу, что у тебя и на уме-то.",1,0,3,5,0.0709
Кто из женщин вышел в этот момент из дома?,1,0,2,4,0.0869
"Я на минуту подняла глаза, но сейчас же опять опустила, потому что он продолжал серьезно смотреть мне прямо в лицо.",1,0,1,4,0.0786
"Они зайдут, а ты спрячешься.",1,0,3,3,0.0365
Глаза резало на свету.,1,0,2,4,0.0833
Он схватил ее в объятия.,1,0,3,3,0.0581
Петя принял решение уехать.,1,0,2,2,0.0689
Под затрудненным дыханием подразумевается неприятное ощущение сложности выполнения вдоха или выдоха.,1,0,2,2,0.107
Они ссорятся из-за пустяков.,1,0,2,2,0.0742
Между тем эксперты считают подобные меры популистскими и нереализуемыми.,1,0,2,2,0.1034
Длинные перечисления утомили меня.,1,0,3,3,0.0599
"Тут начинает звонить телефон, и он вскакивает.",1,0,3,3,0.0636
Я читал около трех страниц.,0,Semantics,3,3,0.0594
У меня есть для вас одно приятное известие.,1,0,3,4,0.0696
Афанасьевна и Софья стояли вблизи и слушали.,0,Semantics,3,4,0.0705
Всякий школьник знает теорему Пифагора.,1,0,2,2,0.1074
Мы недалеко от вас.,1,0,2,2,0.0635
Что он на это сказал?,1,0,2,2,0.0637
"Она ожидала, что родители похвалят ее.",1,0,2,3,0.0814
"Запомни, мои друзья: Том здесь был до того, как вода потекла и деревья выросли.",0,Syntax,2,4,0.0904
Иностранных туристов не остановилось.,0,Semantics,2,4,0.0833
"Говорю, что это я написал тебе записку, потому что хочу, чтобы ты знала.",0,Semantics,3,4,0.0662
"Она выдержит, она, женщина, многое выдержит.",1,0,3,4,0.0707
Она живет в маленьком городе поблизости от Курска.,1,0,2,2,0.0774
Он представлял Индию в ООН.,1,0,2,2,0.1215
Он рискует остаться один.,1,0,2,4,0.0703
И именно в это самое время в нем возникло какое-то чувство беспокойства.,1,0,3,4,0.0652
Художественная гимнастика — один из самых эффектных и красивых видов спорта.,1,0,2,2,0.1066
В данный момент я разговаривал с директором.,0,Semantics,2,5,0.0583
"Все, кто пробовали савойское фондю, считают, что французы знают толк в еде.",0,Syntax,2,4,0.1117
Я склонился к тому же мнению.,0,Semantics,2,3,0.0738
Я не читаю газет.,1,0,2,2,0.0751
"Вот эта девушка, что я влюблен.",1,0,1,4,0.0815
"Мне не нравится то, как они живут.",1,0,3,3,0.0699
Английский язык является языком мира.,1,0,2,2,0.0918
Вася и Маша целовались друг с другом.,0,Semantics,2,3,0.095
"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.",1,0,2,4,0.1015
"Ашот лежал около меня, спал.",1,0,2,2,0.0668
Я поставил чемодан около себя.,1,0,3,3,0.0626
"Не понимаю, как я здесь очутился.",1,0,3,3,0.0678
Том старается изо всех сил.,1,0,1,1,0.0835
Окно было открыто час назад.,1,0,3,3,0.0535
"Она хотела что-то сказать, но голос отказался произносить какие-нибудь звуки.",1,0,2,4,0.0662
"Я представляю, как дедушка сидит в лесу над костром, зажаривает куски буйволятины и ест.",1,0,2,4,0.0941
У Маши есть ее брат.,1,0,1,1,0.0706
Я отдала ему твой свитер.,1,0,2,2,0.0647
"Он не знает, приехал ли Иван.",1,0,1,4,0.0428
Его приняли в партию.,1,0,2,2,0.0655
Я купил ее на рынке рядом с метро «Университет».,1,0,2,3,0.0783
"Сусанинская площадь была переименована в ""историческое название"" с 1992 года.",1,0,2,3,0.1225
Иван оставил надежду встретиться с тобой сам.,1,0,3,4,0.0394
Зарубежным коллегам предложили проповерять результаты.,0,Morphology,2,5,0.0961
Я передал ему эти деньги.,1,0,2,2,0.0435
"Выясняется, что он здесь.",1,0,3,3,0.042
В натюрморте И. И. Машкова «Снедь московская» изображены возвышающиеся караваи на столе.,0,Syntax,2,4,0.1127
Он не хотел ничего делать.,1,0,2,2,0.0689
Я получил 10 рублей за работу.,1,0,2,2,0.0436
Его появление не вызвало замешательства.,1,0,2,4,0.0709
Он оказался очень сообразительным мальчиком.,1,0,3,3,0.0607
Вчера в два часа дня иду я по Кузнецкому.,1,0,3,3,0.0642
Руки у него дрожали.,1,0,3,3,0.063
Отказ от игры роняет его в глазах шахматистов.,1,0,3,3,0.0665
Я взял с него обещание.,1,0,3,4,0.0497
Инспекторы рыбнадзора продолжают выявлять злостных браконьеров на реках.,1,0,1,4,0.0773
"Если ты требуешь, то любой из нас ей поможет.",0,Semantics,3,3,0.0563
"Я сказал это, чтобы что-то сказать.",1,0,3,4,0.0578
У меня есть хорошие студенты.,1,0,2,2,0.0556
"Я почувствовал, что он несомненно устал.",0,Semantics,3,3,0.0595
Ценность сведений установилась на основе предпочтений.,0,Semantics,2,4,0.093
